Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-30;09:00:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);1;96.0000;0.0000;0.00;1;96.00
2026-07-30;09:17:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);2;95.4000;0.0000;0.00;3;286.20
2026-07-30;09:59:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);3;95.4000;0.0000;0.00;20;1908.00
2026-07-30;10:39:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);4;95.4000;0.0000;0.00;2;190.80
2026-07-30;11:12:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);5;94.4000;-0.6000;-0.63;20;1890.40
2026-07-30;11:20:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);6;94.4000;0.0000;0.00;8;755.20
2026-07-30;11:40:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);7;94.0000;-0.4000;-0.42;5;471.20
2026-07-30;11:45:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);8;94.8000;0.0000;0.00;53;5024.40
2026-07-30;12:06:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);9;94.0000;0.0000;0.00;15;1410.00
2026-07-30;13:02:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);10;94.8000;0.0000;0.00;1;94.80
2026-07-30;13:26:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);11;94.0000;0.0000;0.00;3;282.00
2026-07-30;13:28:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);12;94.0000;0.0000;0.00;20;1880.00
2026-07-30;14:36:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);13;96.0000;1.2000;1.27;11;1045.20
2026-07-30;14:47:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);14;96.0000;0.0000;0.00;1;96.00
2026-07-30;15:23:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);15;95.4000;0.0000;0.00;1;95.40
2026-07-30;16:06:00;CLOUD-TECHNOLOGIES;CLD (CLOUD);16;95.0000;0.0000;0.00;1;95.00
