Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-22;09:00:00;COAL-ENERGY;CLE (COALENERG);1;1.8900;0.0000;0.00;79;149.31
2026-09-22;09:18:00;COAL-ENERGY;CLE (COALENERG);2;1.9150;0.0250;1.32;500;945.95
2026-09-22;10:11:00;COAL-ENERGY;CLE (COALENERG);3;1.8800;0.0000;0.00;9;16.92
2026-09-22;10:17:00;COAL-ENERGY;CLE (COALENERG);4;1.9120;0.0280;1.49;1000;1909.29
2026-09-22;10:18:00;COAL-ENERGY;CLE (COALENERG);5;1.9100;0.0000;0.00;442;844.22
2026-09-22;10:37:00;COAL-ENERGY;CLE (COALENERG);6;1.8670;-0.0130;-0.69;400;750.19
2026-09-22;10:38:00;COAL-ENERGY;CLE (COALENERG);7;1.9030;0.0000;0.00;20;38.06
2026-09-22;10:41:00;COAL-ENERGY;CLE (COALENERG);8;1.9030;0.0000;0.00;21;39.96
2026-09-22;10:47:00;COAL-ENERGY;CLE (COALENERG);9;1.9020;0.0000;0.00;20;38.04
2026-09-22;11:08:00;COAL-ENERGY;CLE (COALENERG);10;1.9070;0.0370;1.98;3607;6729.69
2026-09-22;11:27:00;COAL-ENERGY;CLE (COALENERG);11;1.8570;0.0000;0.00;5201;9658.26
2026-09-22;11:29:00;COAL-ENERGY;CLE (COALENERG);12;1.8560;0.0000;0.00;435;807.36
2026-09-22;11:30:00;COAL-ENERGY;CLE (COALENERG);13;1.8480;-0.0070;-0.38;4000;7409.00
2026-09-22;11:32:00;COAL-ENERGY;CLE (COALENERG);14;1.8530;0.0000;0.00;500;926.50
2026-09-22;11:33:00;COAL-ENERGY;CLE (COALENERG);15;1.8530;0.0000;0.00;109;201.98
2026-09-22;11:53:00;COAL-ENERGY;CLE (COALENERG);16;1.8490;0.0000;0.00;190;351.31
2026-09-22;12:32:00;COAL-ENERGY;CLE (COALENERG);17;1.8530;0.0000;0.00;2742;5080.93
2026-09-22;12:35:00;COAL-ENERGY;CLE (COALENERG);18;1.8530;0.0000;0.00;1513;2803.59
2026-09-22;13:01:00;COAL-ENERGY;CLE (COALENERG);19;1.8570;0.0000;0.00;10;18.57
2026-09-22;13:45:00;COAL-ENERGY;CLE (COALENERG);20;1.8570;0.0000;0.00;490;909.93
2026-09-22;13:46:00;COAL-ENERGY;CLE (COALENERG);21;1.8900;0.0150;0.80;22;41.28
2026-09-22;13:49:00;COAL-ENERGY;CLE (COALENERG);22;1.8890;0.0000;0.00;1;1.89
2026-09-22;13:58:00;COAL-ENERGY;CLE (COALENERG);23;1.8580;0.0000;0.00;300;557.40
2026-09-22;14:10:00;COAL-ENERGY;CLE (COALENERG);24;1.8580;0.0000;0.00;387;719.05
2026-09-22;14:35:00;COAL-ENERGY;CLE (COALENERG);25;1.8600;0.0000;0.00;177;329.22
2026-09-22;14:41:00;COAL-ENERGY;CLE (COALENERG);26;1.8580;-0.0010;-0.05;1858;3452.38
2026-09-22;14:54:00;COAL-ENERGY;CLE (COALENERG);27;1.8700;0.0000;0.00;500;935.00
2026-09-22;14:56:00;COAL-ENERGY;CLE (COALENERG);28;1.8880;0.0080;0.43;6520;12257.76
2026-09-22;15:01:00;COAL-ENERGY;CLE (COALENERG);29;1.8880;0.0000;0.00;1500;2832.00
2026-09-22;15:04:00;COAL-ENERGY;CLE (COALENERG);30;1.8900;0.0020;0.11;1172;2213.65
2026-09-22;15:19:00;COAL-ENERGY;CLE (COALENERG);31;1.8900;0.0010;0.05;570;1077.23
2026-09-22;15:21:00;COAL-ENERGY;CLE (COALENERG);32;1.8900;0.0000;0.00;930;1757.70
2026-09-22;15:25:00;COAL-ENERGY;CLE (COALENERG);33;1.8600;-0.0010;-0.05;521;969.51
2026-09-22;15:29:00;COAL-ENERGY;CLE (COALENERG);34;1.8990;0.0000;0.00;20;37.98
2026-09-22;15:31:00;COAL-ENERGY;CLE (COALENERG);35;1.9000;0.0010;0.05;1900;3608.40
2026-09-22;15:34:00;COAL-ENERGY;CLE (COALENERG);36;1.8650;0.0000;0.00;1;1.86
2026-09-22;15:37:00;COAL-ENERGY;CLE (COALENERG);37;1.8990;0.0000;0.00;20;37.98
2026-09-22;16:07:00;COAL-ENERGY;CLE (COALENERG);38;1.8990;0.0000;0.00;21;39.88
2026-09-22;16:09:00;COAL-ENERGY;CLE (COALENERG);39;1.8730;0.0000;0.00;350;655.55
2026-09-22;16:23:00;COAL-ENERGY;CLE (COALENERG);40;1.8990;0.0260;1.39;150;281.47
2026-09-22;16:27:00;COAL-ENERGY;CLE (COALENERG);41;1.8900;0.0000;0.00;70;132.30
2026-09-22;16:30:00;COAL-ENERGY;CLE (COALENERG);42;1.8720;-0.0010;-0.05;160;299.53
2026-09-22;16:31:00;COAL-ENERGY;CLE (COALENERG);43;1.8990;0.0000;0.00;20;37.98
2026-09-22;16:38:00;COAL-ENERGY;CLE (COALENERG);44;1.8730;0.0000;0.00;140;262.22
2026-09-22;16:45:00;COAL-ENERGY;CLE (COALENERG);45;1.8990;0.0260;1.39;860;1610.48
2026-09-22;16:49:00;COAL-ENERGY;CLE (COALENERG);46;1.8690;-0.0040;-0.21;480;898.21
2026-09-22;17:00:00;COAL-ENERGY;CLE (COALENERG);47;1.8990;0.0000;0.00;120;227.88
