Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-20;09:00:00;COGNOR;COG (COGNOR);1;5.9300;0.0000;0.00;1476;8752.68
2026-07-20;09:01:00;COGNOR;COG (COGNOR);2;5.8600;-0.0700;-1.18;907;5358.63
2026-07-20;09:05:00;COGNOR;COG (COGNOR);3;5.8600;0.0000;0.00;765;4479.67
2026-07-20;09:06:00;COGNOR;COG (COGNOR);4;5.8500;0.0000;0.00;842;4925.70
2026-07-20;09:07:00;COGNOR;COG (COGNOR);5;5.8900;0.0000;0.00;2;11.77
2026-07-20;09:10:00;COGNOR;COG (COGNOR);6;5.9000;0.0100;0.17;334;1969.76
2026-07-20;09:11:00;COGNOR;COG (COGNOR);7;5.9000;0.0000;0.00;873;5154.00
2026-07-20;09:12:00;COGNOR;COG (COGNOR);8;5.9000;-0.0100;-0.17;300;1773.00
2026-07-20;09:13:00;COGNOR;COG (COGNOR);9;5.9000;-0.0100;-0.17;400;2361.00
2026-07-20;09:14:00;COGNOR;COG (COGNOR);10;5.9100;0.0000;0.00;9;53.19
2026-07-20;09:17:00;COGNOR;COG (COGNOR);11;5.8700;-0.0300;-0.51;987;5831.92
2026-07-20;09:18:00;COGNOR;COG (COGNOR);12;5.8700;0.0000;0.00;10;58.70
2026-07-20;09:21:00;COGNOR;COG (COGNOR);13;5.9100;0.0400;0.68;1783;10454.35
2026-07-20;09:22:00;COGNOR;COG (COGNOR);14;5.8500;-0.0100;-0.17;4803;28102.78
2026-07-20;09:23:00;COGNOR;COG (COGNOR);15;5.8900;0.0000;0.00;1;5.89
2026-07-20;09:24:00;COGNOR;COG (COGNOR);16;5.9100;0.0000;0.00;7;41.34
2026-07-20;09:25:00;COGNOR;COG (COGNOR);17;5.9100;0.0500;0.85;107;632.02
2026-07-20;09:26:00;COGNOR;COG (COGNOR);18;5.9100;0.0500;0.85;701;4139.36
2026-07-20;09:27:00;COGNOR;COG (COGNOR);19;5.8600;0.0000;0.00;18;105.43
2026-07-20;09:29:00;COGNOR;COG (COGNOR);20;5.8600;-0.0400;-0.68;242;1424.30
2026-07-20;09:30:00;COGNOR;COG (COGNOR);21;5.8700;0.0000;0.00;12;70.44
2026-07-20;09:31:00;COGNOR;COG (COGNOR);22;5.8700;-0.0300;-0.51;81;475.10
2026-07-20;09:32:00;COGNOR;COG (COGNOR);23;5.9100;0.0200;0.34;3690;21703.41
2026-07-20;09:33:00;COGNOR;COG (COGNOR);24;5.9300;0.0200;0.34;676;4001.55
2026-07-20;09:34:00;COGNOR;COG (COGNOR);25;5.9200;0.0100;0.17;740;4378.73
2026-07-20;09:37:00;COGNOR;COG (COGNOR);26;5.9300;0.0000;0.00;1;5.92
2026-07-20;09:38:00;COGNOR;COG (COGNOR);27;5.9300;0.0100;0.17;16;94.73
2026-07-20;09:39:00;COGNOR;COG (COGNOR);28;5.8800;0.0000;0.00;2050;12043.74
2026-07-20;09:42:00;COGNOR;COG (COGNOR);29;5.8600;0.0000;0.00;685;4010.67
2026-07-20;09:43:00;COGNOR;COG (COGNOR);30;5.8900;0.0000;0.00;2;11.77
2026-07-20;09:44:00;COGNOR;COG (COGNOR);31;5.8500;0.0000;0.00;65;380.25
2026-07-20;09:52:00;COGNOR;COG (COGNOR);32;5.8900;0.0200;0.34;44;258.48
2026-07-20;09:53:00;COGNOR;COG (COGNOR);33;5.8900;0.0000;0.00;1;5.89
2026-07-20;09:55:00;COGNOR;COG (COGNOR);34;5.8900;0.0000;0.00;40;235.60
2026-07-20;09:56:00;COGNOR;COG (COGNOR);35;5.8900;0.0000;0.00;1272;7480.92
2026-07-20;09:59:00;COGNOR;COG (COGNOR);36;5.8600;-0.0100;-0.17;640;3755.40
2026-07-20;10:00:00;COGNOR;COG (COGNOR);37;5.8700;0.0000;0.00;1;5.87
2026-07-20;10:05:00;COGNOR;COG (COGNOR);38;5.8900;0.0000;0.00;2;11.78
2026-07-20;10:07:00;COGNOR;COG (COGNOR);39;5.8700;0.0000;0.00;2478;14527.47
2026-07-20;10:09:00;COGNOR;COG (COGNOR);40;5.8500;0.0000;0.00;1;5.85
2026-07-20;10:16:00;COGNOR;COG (COGNOR);41;5.8500;0.0000;0.00;15;87.75
2026-07-20;10:17:00;COGNOR;COG (COGNOR);42;5.8500;0.0000;0.00;443;2592.76
2026-07-20;10:18:00;COGNOR;COG (COGNOR);43;5.8500;0.0000;0.00;269;1573.65
2026-07-20;10:20:00;COGNOR;COG (COGNOR);44;5.8800;0.0000;0.00;2;11.76
2026-07-20;10:24:00;COGNOR;COG (COGNOR);45;5.8800;0.0000;0.00;11;64.68
2026-07-20;10:27:00;COGNOR;COG (COGNOR);46;5.8800;0.0200;0.34;1720;10064.06
2026-07-20;10:30:00;COGNOR;COG (COGNOR);47;5.8300;-0.0100;-0.17;2197;12810.51
2026-07-20;10:35:00;COGNOR;COG (COGNOR);48;5.8400;0.0000;0.00;99;577.66
2026-07-20;10:36:00;COGNOR;COG (COGNOR);49;5.8500;0.0100;0.17;105;614.18
2026-07-20;10:37:00;COGNOR;COG (COGNOR);50;5.8500;0.0000;0.00;620;3627.00
2026-07-20;10:41:00;COGNOR;COG (COGNOR);51;5.8300;-0.0100;-0.17;500;2915.48
2026-07-20;10:42:00;COGNOR;COG (COGNOR);52;5.8300;0.0000;0.00;500;2915.00
2026-07-20;10:43:00;COGNOR;COG (COGNOR);53;5.8700;0.0000;0.00;22;129.14
2026-07-20;10:45:00;COGNOR;COG (COGNOR);54;5.8600;0.0000;0.00;10;58.65
2026-07-20;10:47:00;COGNOR;COG (COGNOR);55;5.8600;0.0000;0.00;150;878.25
2026-07-20;10:49:00;COGNOR;COG (COGNOR);56;5.8600;0.0000;0.00;10;58.65
2026-07-20;10:50:00;COGNOR;COG (COGNOR);57;5.8600;0.0000;0.00;17;99.70
2026-07-20;10:53:00;COGNOR;COG (COGNOR);58;5.8600;0.0000;0.00;83;486.80
2026-07-20;11:00:00;COGNOR;COG (COGNOR);59;5.8600;0.0000;0.00;22;129.03
2026-07-20;11:01:00;COGNOR;COG (COGNOR);60;5.8600;0.0000;0.00;5;29.32
2026-07-20;11:03:00;COGNOR;COG (COGNOR);61;5.8400;0.0000;0.00;8;46.72
2026-07-20;11:05:00;COGNOR;COG (COGNOR);62;5.8600;0.0000;0.00;25;146.62
2026-07-20;11:08:00;COGNOR;COG (COGNOR);63;5.8600;0.0000;0.00;2682;15729.95
2026-07-20;11:11:00;COGNOR;COG (COGNOR);64;5.8400;0.0000;0.00;2;11.68
2026-07-20;11:13:00;COGNOR;COG (COGNOR);65;5.8700;0.0000;0.00;2;11.74
2026-07-20;11:14:00;COGNOR;COG (COGNOR);66;5.8600;0.0000;0.00;8;46.92
2026-07-20;11:19:00;COGNOR;COG (COGNOR);67;5.8400;0.0000;0.00;194;1132.49
2026-07-20;11:21:00;COGNOR;COG (COGNOR);68;5.8600;0.0000;0.00;5;29.32
2026-07-20;11:27:00;COGNOR;COG (COGNOR);69;5.8400;0.0000;0.00;2932;17107.18
2026-07-20;11:28:00;COGNOR;COG (COGNOR);70;5.8600;0.0200;0.34;1310;7658.40
2026-07-20;11:29:00;COGNOR;COG (COGNOR);71;5.8300;0.0000;0.00;440;2565.20
2026-07-20;11:30:00;COGNOR;COG (COGNOR);72;5.8600;0.0000;0.00;12;70.32
2026-07-20;11:31:00;COGNOR;COG (COGNOR);73;5.8200;-0.0200;-0.34;194;1129.37
2026-07-20;11:34:00;COGNOR;COG (COGNOR);74;5.8200;-0.0100;-0.17;1001;5830.86
2026-07-20;11:35:00;COGNOR;COG (COGNOR);75;5.8600;0.0000;0.00;102;597.72
2026-07-20;11:36:00;COGNOR;COG (COGNOR);76;5.8200;0.0000;0.00;900;5242.31
2026-07-20;11:39:00;COGNOR;COG (COGNOR);77;5.8600;0.0000;0.00;5;29.30
2026-07-20;11:40:00;COGNOR;COG (COGNOR);78;5.8200;0.0000;0.00;74;430.68
