Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-30;09:00:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);1;2.4650;0.0000;0.00;570;1405.05
2026-07-30;09:01:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);2;2.4650;-0.0250;-1.00;100;247.28
2026-07-30;09:05:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);3;2.4650;0.0000;0.00;472;1163.48
2026-07-30;09:25:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);4;2.4600;0.0000;0.00;14;34.44
2026-07-30;09:33:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);5;2.4900;0.0050;0.20;15;37.30
2026-07-30;09:59:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);6;2.4850;0.0000;0.00;4;9.94
2026-07-30;10:11:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);7;2.4850;0.0000;0.00;20;49.70
2026-07-30;10:12:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);8;2.4850;0.0000;0.00;16;39.76
2026-07-30;10:17:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);9;2.4450;-0.0250;-1.01;579;1417.74
2026-07-30;10:42:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);10;2.5000;0.0200;0.81;2016;5022.11
2026-07-30;11:03:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);11;2.4600;0.0000;0.00;10;24.60
2026-07-30;11:06:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);12;2.4600;0.0000;0.00;40;98.40
2026-07-30;11:20:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);13;2.4950;0.0000;0.00;38;94.81
2026-07-30;11:34:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);14;2.4650;0.0000;0.00;1;2.46
2026-07-30;12:37:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);15;2.4900;0.0000;0.00;19;47.31
2026-07-30;13:23:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);16;2.4600;-0.0300;-1.20;509;1251.03
2026-07-30;14:09:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);17;2.4600;0.0000;0.00;670;1648.20
2026-07-30;14:55:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);18;2.4600;0.0000;0.00;95;233.70
2026-07-30;14:57:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);19;2.4500;-0.0050;-0.20;40;98.05
2026-07-30;15:23:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);20;2.4600;0.0000;0.00;5;12.30
2026-07-30;15:26:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);21;2.4600;0.0000;0.00;20;49.20
2026-07-30;15:40:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);22;2.4600;0.0000;0.00;36;88.56
2026-07-30;16:03:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);23;2.4500;0.0000;0.00;22;53.90
2026-07-30;16:24:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);24;2.4500;0.0000;0.00;278;681.10
2026-07-30;16:38:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);25;2.4450;0.0000;0.00;944;2308.08
2026-07-30;16:43:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);26;2.4550;0.0000;0.00;200;491.00
2026-07-30;17:00:00;COLUMBUS-CAPITAL;CLC (COLUMBUS);27;2.4400;0.0000;0.00;109;265.96
