Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;COMP;CMP (COMP);1;100.6000;1.0000;1.00;1011;100702.60
2026-08-05;09:01:00;COMP;CMP (COMP);2;100.4000;0.0000;0.00;39;3915.60
2026-08-05;09:02:00;COMP;CMP (COMP);3;100.0000;0.3000;0.30;143;14288.00
2026-08-05;09:03:00;COMP;CMP (COMP);4;98.2000;-1.4000;-1.41;256;25360.80
2026-08-05;09:04:00;COMP;CMP (COMP);5;99.9000;0.4000;0.40;182;18122.00
2026-08-05;09:05:00;COMP;CMP (COMP);6;99.9000;0.1000;0.10;141;14081.70
2026-08-05;09:06:00;COMP;CMP (COMP);7;100.0000;0.1000;0.10;151;15099.90
2026-08-05;09:07:00;COMP;CMP (COMP);8;102.2000;1.6000;1.59;1425;145514.60
2026-08-05;09:08:00;COMP;CMP (COMP);9;102.6000;0.0000;0.00;66;6766.00
2026-08-05;09:09:00;COMP;CMP (COMP);10;102.0000;0.0000;0.00;51;5202.00
2026-08-05;09:10:00;COMP;CMP (COMP);11;101.0000;-0.4000;-0.39;469;47416.20
2026-08-05;09:11:00;COMP;CMP (COMP);12;101.0000;0.0000;0.00;108;10908.00
2026-08-05;09:12:00;COMP;CMP (COMP);13;101.0000;0.0000;0.00;52;5252.00
2026-08-05;09:16:00;COMP;CMP (COMP);14;101.0000;0.0000;0.00;60;6060.00
2026-08-05;09:18:00;COMP;CMP (COMP);15;101.4000;0.4000;0.40;89;8998.60
2026-08-05;09:19:00;COMP;CMP (COMP);16;101.0000;0.0000;0.00;50;5050.00
2026-08-05;09:21:00;COMP;CMP (COMP);17;100.2000;0.0000;0.00;12;1202.40
2026-08-05;09:26:00;COMP;CMP (COMP);18;101.6000;0.0000;0.00;19;1930.40
2026-08-05;09:32:00;COMP;CMP (COMP);19;100.2000;0.0000;0.00;35;3507.00
2026-08-05;09:33:00;COMP;CMP (COMP);20;101.0000;0.0000;0.00;20;2020.00
2026-08-05;09:34:00;COMP;CMP (COMP);21;100.2000;-0.8000;-0.79;9;905.80
2026-08-05;09:39:00;COMP;CMP (COMP);22;100.6000;0.0000;0.00;22;2213.20
2026-08-05;09:44:00;COMP;CMP (COMP);23;101.6000;0.0000;0.00;5;508.00
2026-08-05;09:45:00;COMP;CMP (COMP);24;100.6000;0.0000;0.00;4;402.40
2026-08-05;09:48:00;COMP;CMP (COMP);25;100.6000;0.0000;0.00;60;6036.00
2026-08-05;09:49:00;COMP;CMP (COMP);26;100.4000;0.0000;0.00;4;401.60
2026-08-05;09:50:00;COMP;CMP (COMP);27;100.4000;0.0000;0.00;10;1004.00
2026-08-05;09:51:00;COMP;CMP (COMP);28;100.4000;0.0000;0.00;55;5522.00
2026-08-05;09:53:00;COMP;CMP (COMP);29;100.0000;-1.0000;-0.99;102;10211.60
2026-08-05;09:55:00;COMP;CMP (COMP);30;100.8000;0.0000;0.00;5;504.00
2026-08-05;10:00:00;COMP;CMP (COMP);31;100.8000;0.0000;0.00;4;403.20
2026-08-05;10:05:00;COMP;CMP (COMP);32;100.8000;0.0000;0.00;6;604.80
2026-08-05;10:09:00;COMP;CMP (COMP);33;99.6000;-0.4000;-0.40;271;27080.00
2026-08-05;10:11:00;COMP;CMP (COMP);34;98.5000;-0.5000;-0.51;18;1779.00
2026-08-05;10:12:00;COMP;CMP (COMP);35;99.0000;0.3000;0.30;55;5439.00
2026-08-05;10:14:00;COMP;CMP (COMP);36;98.7000;0.0000;0.00;23;2270.10
2026-08-05;10:18:00;COMP;CMP (COMP);37;100.0000;0.6000;0.60;435;43413.40
2026-08-05;10:37:00;COMP;CMP (COMP);38;98.9000;-0.2000;-0.20;112;11095.20
2026-08-05;10:40:00;COMP;CMP (COMP);39;98.9000;0.0000;0.00;20;1978.00
2026-08-05;10:43:00;COMP;CMP (COMP);40;99.1000;0.0000;0.00;1;99.10
2026-08-05;10:45:00;COMP;CMP (COMP);41;99.1000;0.0000;0.00;4;396.40
2026-08-05;10:48:00;COMP;CMP (COMP);42;99.1000;0.2000;0.20;60;5943.80
2026-08-05;11:06:00;COMP;CMP (COMP);43;99.5000;0.0000;0.00;5;497.50
2026-08-05;11:12:00;COMP;CMP (COMP);44;99.5000;0.0000;0.00;4;398.00
2026-08-05;11:16:00;COMP;CMP (COMP);45;99.5000;0.0000;0.00;22;2189.00
2026-08-05;11:20:00;COMP;CMP (COMP);46;99.2000;0.0000;0.00;2;198.40
2026-08-05;11:25:00;COMP;CMP (COMP);47;99.8000;0.6000;0.60;335;33234.60
2026-08-05;11:30:00;COMP;CMP (COMP);48;100.0000;0.0000;0.00;150;15000.00
2026-08-05;11:36:00;COMP;CMP (COMP);49;101.0000;0.0000;0.00;1;101.00
2026-08-05;11:37:00;COMP;CMP (COMP);50;101.0000;0.2000;0.20;358;36154.00
2026-08-05;11:38:00;COMP;CMP (COMP);51;100.6000;0.0000;0.00;317;31890.20
2026-08-05;11:40:00;COMP;CMP (COMP);52;101.2000;0.0000;0.00;13;1315.60
2026-08-05;11:41:00;COMP;CMP (COMP);53;100.0000;-0.4000;-0.40;279;27923.60
2026-08-05;11:44:00;COMP;CMP (COMP);54;100.0000;0.0000;0.00;125;12500.00
2026-08-05;11:54:00;COMP;CMP (COMP);55;99.7000;0.0000;0.00;20;1994.00
2026-08-05;11:56:00;COMP;CMP (COMP);56;100.8000;0.0000;0.00;6;604.80
2026-08-05;12:02:00;COMP;CMP (COMP);57;99.8000;0.0000;0.00;25;2495.00
2026-08-05;12:12:00;COMP;CMP (COMP);58;100.0000;0.3000;0.30;31;3092.50
2026-08-05;12:18:00;COMP;CMP (COMP);59;99.4000;-0.2000;-0.20;31;3083.60
2026-08-05;12:25:00;COMP;CMP (COMP);60;99.3000;0.0000;0.00;2;198.60
2026-08-05;12:30:00;COMP;CMP (COMP);61;99.7000;0.0000;0.00;11;1096.70
2026-08-05;12:35:00;COMP;CMP (COMP);62;99.7000;0.2000;0.20;35;3482.70
2026-08-05;12:43:00;COMP;CMP (COMP);63;99.7000;0.0000;0.00;15;1495.50
2026-08-05;12:45:00;COMP;CMP (COMP);64;99.7000;0.0000;0.00;10;997.00
2026-08-05;12:50:00;COMP;CMP (COMP);65;99.7000;0.0000;0.00;20;1994.00
2026-08-05;12:51:00;COMP;CMP (COMP);66;99.7000;0.1000;0.10;104;10360.90
2026-08-05;13:00:00;COMP;CMP (COMP);67;100.0000;0.0000;0.00;206;20600.00
2026-08-05;13:08:00;COMP;CMP (COMP);68;99.5000;0.0000;0.00;4;398.00
2026-08-05;13:10:00;COMP;CMP (COMP);69;100.8000;0.0000;0.00;1;100.80
2026-08-05;13:19:00;COMP;CMP (COMP);70;100.0000;0.0000;0.00;25;2500.00
2026-08-05;13:24:00;COMP;CMP (COMP);71;100.0000;0.0000;0.00;25;2500.00
2026-08-05;13:27:00;COMP;CMP (COMP);72;100.2000;0.0000;0.00;44;4408.80
2026-08-05;13:40:00;COMP;CMP (COMP);73;100.4000;0.0000;0.00;25;2510.00
2026-08-05;13:41:00;COMP;CMP (COMP);74;100.6000;0.0000;0.00;5;503.00
2026-08-05;13:47:00;COMP;CMP (COMP);75;100.2000;0.0000;0.00;25;2505.00
2026-08-05;13:54:00;COMP;CMP (COMP);76;100.2000;0.0000;0.00;33;3306.60
2026-08-05;14:02:00;COMP;CMP (COMP);77;100.4000;0.0000;0.00;50;5020.00
2026-08-05;14:10:00;COMP;CMP (COMP);78;100.2000;0.0000;0.00;5;501.00
2026-08-05;14:18:00;COMP;CMP (COMP);79;100.4000;0.0000;0.00;5;502.00
2026-08-05;14:20:00;COMP;CMP (COMP);80;100.4000;0.0000;0.00;40;4016.00
2026-08-05;14:37:00;COMP;CMP (COMP);81;100.0000;-0.2000;-0.20;100;10003.20
2026-08-05;14:44:00;COMP;CMP (COMP);82;100.0000;-0.2000;-0.20;221;22111.60
2026-08-05;14:48:00;COMP;CMP (COMP);83;100.0000;0.0000;0.00;125;12500.00
2026-08-05;14:50:00;COMP;CMP (COMP);84;100.2000;0.0000;0.00;123;12324.60
