Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-18;09:00:00;CORMAY;CRM (CORMAY);1;0.5360;0.0000;0.00;89;47.70
2026-09-18;09:05:00;CORMAY;CRM (CORMAY);2;0.5520;0.0000;0.00;60;33.12
2026-09-18;09:53:00;CORMAY;CRM (CORMAY);3;0.5520;0.0000;0.00;40;22.08
2026-09-18;10:16:00;CORMAY;CRM (CORMAY);4;0.5480;0.0000;0.00;18;9.86
2026-09-18;11:11:00;CORMAY;CRM (CORMAY);5;0.5340;-0.0060;-1.11;1633;874.29
2026-09-18;11:14:00;CORMAY;CRM (CORMAY);6;0.5340;0.0000;0.00;1512;807.41
2026-09-18;11:20:00;CORMAY;CRM (CORMAY);7;0.5520;0.0040;0.73;224;123.50
2026-09-18;12:23:00;CORMAY;CRM (CORMAY);8;0.5340;-0.0060;-1.11;1500;801.30
2026-09-18;12:40:00;CORMAY;CRM (CORMAY);9;0.5340;0.0000;0.00;42;22.43
2026-09-18;12:45:00;CORMAY;CRM (CORMAY);10;0.5300;-0.0040;-0.75;3818;2027.61
2026-09-18;13:00:00;CORMAY;CRM (CORMAY);11;0.5300;0.0000;0.00;1;0.53
2026-09-18;13:33:00;CORMAY;CRM (CORMAY);12;0.5300;-0.0040;-0.75;2500;1325.18
2026-09-18;13:58:00;CORMAY;CRM (CORMAY);13;0.5480;0.0020;0.37;100;54.74
2026-09-18;13:59:00;CORMAY;CRM (CORMAY);14;0.5300;0.0000;0.00;8000;4240.00
2026-09-18;14:40:00;CORMAY;CRM (CORMAY);15;0.5480;0.0020;0.37;122;66.80
2026-09-18;15:17:00;CORMAY;CRM (CORMAY);16;0.5460;0.0000;0.00;1906;1040.68
2026-09-18;15:18:00;CORMAY;CRM (CORMAY);17;0.5480;0.0000;0.00;1868;1023.66
2026-09-18;15:22:00;CORMAY;CRM (CORMAY);18;0.5480;0.0000;0.00;132;72.34
2026-09-18;15:24:00;CORMAY;CRM (CORMAY);19;0.5500;0.0020;0.36;1000;548.22
2026-09-18;15:27:00;CORMAY;CRM (CORMAY);20;0.5500;0.0000;0.00;167;91.85
2026-09-18;15:39:00;CORMAY;CRM (CORMAY);21;0.5460;0.0000;0.00;60;32.76
2026-09-18;15:51:00;CORMAY;CRM (CORMAY);22;0.5500;0.0020;0.36;128;70.34
2026-09-18;15:56:00;CORMAY;CRM (CORMAY);23;0.5500;0.0000;0.00;207;113.85
2026-09-18;16:27:00;CORMAY;CRM (CORMAY);24;0.5480;0.0000;0.00;1970;1079.56
2026-09-18;16:43:00;CORMAY;CRM (CORMAY);25;0.5500;0.0000;0.00;4000;2200.00
2026-09-18;17:00:00;CORMAY;CRM (CORMAY);26;0.5480;0.0000;0.00;210;115.08
