Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-08;11:29:00;CPD;CPD (CELTIC);1;1.1250;-0.0150;-1.32;219;246.40
2026-09-08;11:30:00;CPD;CPD (CELTIC);2;1.1250;0.0000;0.00;138;155.25
2026-09-08;11:38:00;CPD;CPD (CELTIC);3;1.1250;0.0000;0.00;10;11.25
2026-09-08;11:51:00;CPD;CPD (CELTIC);4;1.1500;0.0050;0.44;18;20.70
2026-09-08;16:25:00;CPD;CPD (CELTIC);5;1.1400;0.0000;0.00;1200;1368.00
2026-09-08;16:28:00;CPD;CPD (CELTIC);6;1.1350;0.0000;0.00;1;1.14
2026-09-08;16:31:00;CPD;CPD (CELTIC);7;1.1300;0.0000;0.00;1;1.13
2026-09-08;16:32:00;CPD;CPD (CELTIC);8;1.0700;-0.0550;-4.89;8365;9350.92
2026-09-08;16:33:00;CPD;CPD (CELTIC);9;1.0700;0.0000;0.00;1626;1739.82
2026-09-08;16:46:00;CPD;CPD (CELTIC);10;1.0800;-0.0600;-5.26;202;230.16
2026-09-08;17:00:00;CPD;CPD (CELTIC);11;1.1500;0.0000;0.00;310;356.50
