Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-07;09:00:00;CPR;CPR (COMPREMUM);1;1.3700;0.0000;0.00;5;6.85
2026-09-07;09:05:00;CPR;CPR (COMPREMUM);2;1.3550;-0.0050;-0.37;4000;5435.00
2026-09-07;09:08:00;CPR;CPR (COMPREMUM);3;1.3550;0.0000;0.00;3000;4065.00
2026-09-07;10:08:00;CPR;CPR (COMPREMUM);4;1.3650;0.0000;0.00;5282;7209.93
2026-09-07;10:54:00;CPR;CPR (COMPREMUM);5;1.3650;0.0000;0.00;5174;7062.51
2026-09-07;11:17:00;CPR;CPR (COMPREMUM);6;1.3650;0.0000;0.00;1000;1365.00
2026-09-07;11:24:00;CPR;CPR (COMPREMUM);7;1.3650;0.0000;0.00;3247;4432.15
2026-09-07;11:31:00;CPR;CPR (COMPREMUM);8;1.3700;0.0000;0.00;2337;3201.69
2026-09-07;11:40:00;CPR;CPR (COMPREMUM);9;1.3700;0.0000;0.00;1000;1370.00
2026-09-07;12:00:00;CPR;CPR (COMPREMUM);10;1.3700;0.0000;0.00;520;712.40
2026-09-07;12:11:00;CPR;CPR (COMPREMUM);11;1.3750;0.0000;0.00;10;13.75
2026-09-07;12:36:00;CPR;CPR (COMPREMUM);12;1.3750;0.0000;0.00;1934;2659.25
2026-09-07;12:38:00;CPR;CPR (COMPREMUM);13;1.3650;-0.0050;-0.36;4322;5914.43
2026-09-07;12:39:00;CPR;CPR (COMPREMUM);14;1.3650;0.0000;0.00;2330;3180.45
2026-09-07;12:40:00;CPR;CPR (COMPREMUM);15;1.3550;-0.0100;-0.73;7628;10367.22
2026-09-07;12:44:00;CPR;CPR (COMPREMUM);16;1.3600;0.0000;0.00;1400;1904.00
2026-09-07;12:45:00;CPR;CPR (COMPREMUM);17;1.3500;-0.0050;-0.37;1755;2370.51
2026-09-07;12:48:00;CPR;CPR (COMPREMUM);18;1.3650;0.0000;0.00;1659;2264.53
2026-09-07;13:02:00;CPR;CPR (COMPREMUM);19;1.3650;0.0000;0.00;2009;2742.28
2026-09-07;13:09:00;CPR;CPR (COMPREMUM);20;1.3650;0.0000;0.00;27;36.85
2026-09-07;13:10:00;CPR;CPR (COMPREMUM);21;1.3700;0.0000;0.00;4500;6165.00
2026-09-07;13:11:00;CPR;CPR (COMPREMUM);22;1.3650;0.0000;0.00;2020;2757.30
2026-09-07;13:13:00;CPR;CPR (COMPREMUM);23;1.3650;0.0000;0.00;2000;2730.00
2026-09-07;13:16:00;CPR;CPR (COMPREMUM);24;1.3800;0.0050;0.36;60;82.52
2026-09-07;13:29:00;CPR;CPR (COMPREMUM);25;1.3550;0.0000;0.00;3000;4065.00
2026-09-07;13:42:00;CPR;CPR (COMPREMUM);26;1.3750;0.0000;0.00;10;13.75
2026-09-07;15:43:00;CPR;CPR (COMPREMUM);27;1.3800;0.0050;0.36;1446;1991.34
2026-09-07;15:46:00;CPR;CPR (COMPREMUM);28;1.3550;-0.0050;-0.37;5000;6793.80
2026-09-07;16:26:00;CPR;CPR (COMPREMUM);29;1.3800;0.0000;0.00;85;117.30
2026-09-07;16:45:00;CPR;CPR (COMPREMUM);30;1.3650;0.0000;0.00;2145;2927.93
2026-09-07;16:46:00;CPR;CPR (COMPREMUM);31;1.3700;0.0000;0.00;855;1171.35
2026-09-07;16:48:00;CPR;CPR (COMPREMUM);32;1.3750;0.0000;0.00;10;13.75
