Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-24;09:00:00;CRI;CRI (CREOTECH);1;720.0000;-4.0000;-0.55;175;126949.00
2026-08-24;09:02:00;CRI;CRI (CREOTECH);2;730.0000;4.0000;0.55;401;292590.00
2026-08-24;09:03:00;CRI;CRI (CREOTECH);3;731.0000;-1.0000;-0.14;210;155110.00
2026-08-24;09:04:00;CRI;CRI (CREOTECH);4;741.0000;10.0000;1.37;29;21457.00
2026-08-24;09:05:00;CRI;CRI (CREOTECH);5;738.0000;-3.0000;-0.40;17;12579.00
2026-08-24;09:06:00;CRI;CRI (CREOTECH);6;740.0000;0.0000;0.00;1;740.00
2026-08-24;09:07:00;CRI;CRI (CREOTECH);7;740.0000;4.0000;0.54;21;15460.00
2026-08-24;09:08:00;CRI;CRI (CREOTECH);8;740.0000;1.0000;0.14;38;28102.00
2026-08-24;09:09:00;CRI;CRI (CREOTECH);9;741.0000;1.0000;0.14;30;22217.00
2026-08-24;09:10:00;CRI;CRI (CREOTECH);10;739.0000;4.0000;0.54;11;8125.00
2026-08-24;09:13:00;CRI;CRI (CREOTECH);11;732.0000;-3.0000;-0.41;90;66068.00
2026-08-24;09:14:00;CRI;CRI (CREOTECH);12;736.0000;1.0000;0.14;20;14715.00
2026-08-24;09:15:00;CRI;CRI (CREOTECH);13;733.0000;0.0000;0.00;1;733.00
2026-08-24;09:18:00;CRI;CRI (CREOTECH);14;740.0000;6.0000;0.82;10;7385.00
2026-08-24;09:19:00;CRI;CRI (CREOTECH);15;735.0000;0.0000;0.00;1;735.00
2026-08-24;09:21:00;CRI;CRI (CREOTECH);16;739.0000;1.0000;0.14;5;3694.00
2026-08-24;09:22:00;CRI;CRI (CREOTECH);17;741.0000;1.0000;0.14;21;15546.00
2026-08-24;09:23:00;CRI;CRI (CREOTECH);18;736.0000;0.0000;0.00;1;736.00
2026-08-24;09:24:00;CRI;CRI (CREOTECH);19;737.0000;2.0000;0.27;17;12485.00
2026-08-24;09:26:00;CRI;CRI (CREOTECH);20;736.0000;1.0000;0.14;10;7351.00
2026-08-24;09:28:00;CRI;CRI (CREOTECH);21;736.0000;0.0000;0.00;1;736.00
2026-08-24;09:29:00;CRI;CRI (CREOTECH);22;735.0000;0.0000;0.00;10;7350.00
2026-08-24;09:30:00;CRI;CRI (CREOTECH);23;739.0000;3.0000;0.41;37;27299.00
2026-08-24;09:32:00;CRI;CRI (CREOTECH);24;739.0000;1.0000;0.14;14;10339.00
2026-08-24;09:33:00;CRI;CRI (CREOTECH);25;738.0000;0.0000;0.00;7;5147.00
2026-08-24;09:34:00;CRI;CRI (CREOTECH);26;734.0000;-4.0000;-0.54;7;5154.00
2026-08-24;09:35:00;CRI;CRI (CREOTECH);27;734.0000;0.0000;0.00;5;3670.00
2026-08-24;09:36:00;CRI;CRI (CREOTECH);28;734.0000;-4.0000;-0.54;25;18426.00
2026-08-24;09:37:00;CRI;CRI (CREOTECH);29;738.0000;0.0000;0.00;1;738.00
2026-08-24;09:38:00;CRI;CRI (CREOTECH);30;738.0000;0.0000;0.00;1;738.00
2026-08-24;09:43:00;CRI;CRI (CREOTECH);31;738.0000;0.0000;0.00;6;4428.00
2026-08-24;09:44:00;CRI;CRI (CREOTECH);32;739.0000;1.0000;0.14;20;14777.00
2026-08-24;09:45:00;CRI;CRI (CREOTECH);33;738.0000;0.0000;0.00;4;2952.00
2026-08-24;09:47:00;CRI;CRI (CREOTECH);34;731.0000;-4.0000;-0.54;40;29312.00
2026-08-24;09:50:00;CRI;CRI (CREOTECH);35;738.0000;0.0000;0.00;11;8118.00
2026-08-24;09:51:00;CRI;CRI (CREOTECH);36;739.0000;0.0000;0.00;36;26604.00
2026-08-24;09:52:00;CRI;CRI (CREOTECH);37;742.0000;2.0000;0.27;124;91977.00
