Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-11;09:00:00;CRJ;CRJ (CREEPYJAR);1;473.0000;0.0000;0.00;58;27434.00
2026-09-11;09:01:00;CRJ;CRJ (CREEPYJAR);2;476.0000;0.0000;0.00;1;476.00
2026-09-11;09:02:00;CRJ;CRJ (CREEPYJAR);3;476.0000;0.0000;0.00;12;5675.00
2026-09-11;09:04:00;CRJ;CRJ (CREEPYJAR);4;475.0000;0.0000;0.00;1;475.00
2026-09-11;09:05:00;CRJ;CRJ (CREEPYJAR);5;479.0000;3.0000;0.63;12;5727.00
2026-09-11;09:08:00;CRJ;CRJ (CREEPYJAR);6;474.0000;0.0000;0.00;11;5214.00
2026-09-11;09:11:00;CRJ;CRJ (CREEPYJAR);7;474.0000;0.0000;0.00;3;1422.00
2026-09-11;09:14:00;CRJ;CRJ (CREEPYJAR);8;478.0000;0.0000;0.00;1;478.00
2026-09-11;09:15:00;CRJ;CRJ (CREEPYJAR);9;475.0000;0.0000;0.00;1;475.00
2026-09-11;09:21:00;CRJ;CRJ (CREEPYJAR);10;478.0000;0.0000;0.00;3;1434.00
2026-09-11;09:25:00;CRJ;CRJ (CREEPYJAR);11;478.0000;0.0000;0.00;2;956.00
2026-09-11;09:28:00;CRJ;CRJ (CREEPYJAR);12;475.0000;0.0000;0.00;10;4750.00
2026-09-11;09:34:00;CRJ;CRJ (CREEPYJAR);13;475.0000;0.0000;0.00;34;16150.00
2026-09-11;09:44:00;CRJ;CRJ (CREEPYJAR);14;475.0000;0.0000;0.00;5;2375.00
2026-09-11;09:46:00;CRJ;CRJ (CREEPYJAR);15;476.0000;0.0000;0.00;2;952.00
2026-09-11;09:49:00;CRJ;CRJ (CREEPYJAR);16;476.0000;0.0000;0.00;5;2380.00
2026-09-11;09:50:00;CRJ;CRJ (CREEPYJAR);17;475.0000;0.0000;0.00;3;1425.00
2026-09-11;10:07:00;CRJ;CRJ (CREEPYJAR);18;476.0000;0.0000;0.00;8;3808.00
2026-09-11;10:10:00;CRJ;CRJ (CREEPYJAR);19;475.0000;0.0000;0.00;23;10925.00
2026-09-11;10:11:00;CRJ;CRJ (CREEPYJAR);20;475.0000;0.0000;0.00;1;475.00
2026-09-11;10:18:00;CRJ;CRJ (CREEPYJAR);21;475.0000;0.0000;0.00;2;950.00
2026-09-11;10:21:00;CRJ;CRJ (CREEPYJAR);22;474.0000;0.0000;0.00;30;14220.00
2026-09-11;10:23:00;CRJ;CRJ (CREEPYJAR);23;474.0000;0.0000;0.00;9;4266.00
2026-09-11;10:25:00;CRJ;CRJ (CREEPYJAR);24;473.0000;-1.0000;-0.21;22;10427.00
2026-09-11;10:29:00;CRJ;CRJ (CREEPYJAR);25;473.0000;0.0000;0.00;15;7095.00
2026-09-11;10:33:00;CRJ;CRJ (CREEPYJAR);26;474.0000;0.0000;0.00;1;474.00
2026-09-11;10:35:00;CRJ;CRJ (CREEPYJAR);27;475.0000;0.0000;0.00;2;950.00
2026-09-11;10:41:00;CRJ;CRJ (CREEPYJAR);28;476.0000;0.0000;0.00;6;2856.00
2026-09-11;10:43:00;CRJ;CRJ (CREEPYJAR);29;474.0000;-1.0000;-0.21;8;3796.00
2026-09-11;10:44:00;CRJ;CRJ (CREEPYJAR);30;470.0000;-3.0000;-0.63;62;29207.00
2026-09-11;10:45:00;CRJ;CRJ (CREEPYJAR);31;474.0000;0.0000;0.00;2;948.00
2026-09-11;10:55:00;CRJ;CRJ (CREEPYJAR);32;473.0000;0.0000;0.00;2;946.00
2026-09-11;10:57:00;CRJ;CRJ (CREEPYJAR);33;473.0000;0.0000;0.00;5;2365.00
2026-09-11;10:58:00;CRJ;CRJ (CREEPYJAR);34;473.0000;0.0000;0.00;8;3784.00
2026-09-11;10:59:00;CRJ;CRJ (CREEPYJAR);35;473.0000;0.0000;0.00;3;1419.00
2026-09-11;11:02:00;CRJ;CRJ (CREEPYJAR);36;476.0000;3.0000;0.63;6;2849.00
2026-09-11;11:05:00;CRJ;CRJ (CREEPYJAR);37;475.0000;0.0000;0.00;10;4750.00
2026-09-11;11:08:00;CRJ;CRJ (CREEPYJAR);38;473.0000;0.0000;0.00;7;3311.00
2026-09-11;11:20:00;CRJ;CRJ (CREEPYJAR);39;472.0000;-1.0000;-0.21;12;5668.00
2026-09-11;11:21:00;CRJ;CRJ (CREEPYJAR);40;473.0000;0.0000;0.00;5;2365.00
2026-09-11;11:24:00;CRJ;CRJ (CREEPYJAR);41;470.0000;-3.0000;-0.63;35;16455.00
2026-09-11;11:27:00;CRJ;CRJ (CREEPYJAR);42;468.0000;0.0000;0.00;94;43992.00
2026-09-11;11:34:00;CRJ;CRJ (CREEPYJAR);43;472.0000;0.0000;0.00;2;944.00
2026-09-11;11:37:00;CRJ;CRJ (CREEPYJAR);44;472.0000;0.0000;0.00;20;9440.00
2026-09-11;12:11:00;CRJ;CRJ (CREEPYJAR);45;472.0000;0.0000;0.00;1;472.00
2026-09-11;12:13:00;CRJ;CRJ (CREEPYJAR);46;473.0000;0.0000;0.00;5;2365.00
2026-09-11;12:19:00;CRJ;CRJ (CREEPYJAR);47;473.0000;0.0000;0.00;1;473.00
2026-09-11;12:21:00;CRJ;CRJ (CREEPYJAR);48;472.0000;0.0000;0.00;34;16048.00
2026-09-11;12:25:00;CRJ;CRJ (CREEPYJAR);49;470.0000;0.0000;0.00;1;470.00
2026-09-11;12:34:00;CRJ;CRJ (CREEPYJAR);50;472.0000;0.0000;0.00;1;472.00
2026-09-11;12:35:00;CRJ;CRJ (CREEPYJAR);51;470.0000;0.0000;0.00;2;940.00
2026-09-11;12:37:00;CRJ;CRJ (CREEPYJAR);52;471.0000;0.0000;0.00;6;2826.00
2026-09-11;12:39:00;CRJ;CRJ (CREEPYJAR);53;472.0000;0.0000;0.00;20;9440.00
2026-09-11;12:43:00;CRJ;CRJ (CREEPYJAR);54;470.0000;-1.0000;-0.21;17;7991.00
2026-09-11;12:54:00;CRJ;CRJ (CREEPYJAR);55;470.0000;0.0000;0.00;2;940.00
2026-09-11;12:57:00;CRJ;CRJ (CREEPYJAR);56;470.0000;0.0000;0.00;22;10340.00
