Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-31;09:00:00;CRQ;CRQ (CRQUANTUM);1;232.0000;0.0000;0.00;676;156434.00
2026-07-31;09:01:00;CRQ;CRQ (CRQUANTUM);2;231.9500;0.7500;0.32;204;47134.05
2026-07-31;09:03:00;CRQ;CRQ (CRQUANTUM);3;232.0000;1.5000;0.65;144;33380.00
2026-07-31;09:04:00;CRQ;CRQ (CRQUANTUM);4;231.1000;-1.0500;-0.45;14;3238.80
2026-07-31;09:05:00;CRQ;CRQ (CRQUANTUM);5;234.0000;1.8500;0.80;497;115588.45
2026-07-31;09:06:00;CRQ;CRQ (CRQUANTUM);6;237.0000;2.2000;0.94;65;15371.80
2026-07-31;09:07:00;CRQ;CRQ (CRQUANTUM);7;236.0000;3.8000;1.64;27;6273.20
2026-07-31;09:08:00;CRQ;CRQ (CRQUANTUM);8;235.8000;0.0000;0.00;61;14378.30
2026-07-31;09:09:00;CRQ;CRQ (CRQUANTUM);9;234.9500;-0.8500;-0.36;68;15988.50
2026-07-31;09:11:00;CRQ;CRQ (CRQUANTUM);10;235.1000;-0.3500;-0.15;27;6353.95
2026-07-31;09:12:00;CRQ;CRQ (CRQUANTUM);11;234.7500;0.2500;0.11;51;11963.95
2026-07-31;09:13:00;CRQ;CRQ (CRQUANTUM);12;235.0000;0.1500;0.06;18;4229.25
2026-07-31;09:14:00;CRQ;CRQ (CRQUANTUM);13;235.1500;0.1500;0.06;2;470.15
2026-07-31;09:15:00;CRQ;CRQ (CRQUANTUM);14;235.1500;0.0000;0.00;18;4232.70
2026-07-31;09:16:00;CRQ;CRQ (CRQUANTUM);15;235.4000;0.1000;0.04;6;1412.05
2026-07-31;09:17:00;CRQ;CRQ (CRQUANTUM);16;235.5000;0.1000;0.04;113;26605.50
2026-07-31;09:18:00;CRQ;CRQ (CRQUANTUM);17;235.8500;0.3500;0.15;22;5181.70
2026-07-31;09:19:00;CRQ;CRQ (CRQUANTUM);18;235.9000;0.0000;0.00;62;14625.90
2026-07-31;09:20:00;CRQ;CRQ (CRQUANTUM);19;237.0000;1.3500;0.57;202;47854.55
2026-07-31;09:21:00;CRQ;CRQ (CRQUANTUM);20;237.8500;0.3500;0.15;1081;256254.10
2026-07-31;09:22:00;CRQ;CRQ (CRQUANTUM);21;237.0500;-0.6000;-0.25;6;1424.70
2026-07-31;09:23:00;CRQ;CRQ (CRQUANTUM);22;237.4500;0.0000;0.00;26;6173.35
2026-07-31;09:24:00;CRQ;CRQ (CRQUANTUM);23;237.1000;-0.0500;-0.02;29;6883.15
2026-07-31;09:25:00;CRQ;CRQ (CRQUANTUM);24;237.9000;0.0500;0.02;21;4986.90
2026-07-31;09:26:00;CRQ;CRQ (CRQUANTUM);25;238.6000;0.7500;0.32;389;92582.55
2026-07-31;09:27:00;CRQ;CRQ (CRQUANTUM);26;237.9500;0.0000;0.00;13;3093.35
2026-07-31;09:29:00;CRQ;CRQ (CRQUANTUM);27;238.6000;0.6500;0.27;33;7858.40
2026-07-31;09:30:00;CRQ;CRQ (CRQUANTUM);28;238.1000;0.1000;0.04;17;4047.35
2026-07-31;09:31:00;CRQ;CRQ (CRQUANTUM);29;238.5500;0.0000;0.00;195;46646.10
2026-07-31;09:32:00;CRQ;CRQ (CRQUANTUM);30;238.0000;-0.5500;-0.23;39;9313.70
