Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-27;09:00:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);1;16.1050;-0.0350;-0.22;2076;33503.96
2026-07-27;09:01:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);2;16.1200;0.0000;0.00;1411;22745.32
2026-07-27;09:02:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);3;16.2700;0.1000;0.62;3462;56249.22
2026-07-27;09:03:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);4;16.3700;0.0950;0.58;4119;67165.25
2026-07-27;09:04:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);5;16.3500;0.0000;0.00;2768;45323.48
2026-07-27;09:05:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);6;16.3150;-0.0050;-0.03;1030;16805.67
2026-07-27;09:06:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);7;16.2800;0.0000;0.00;4124;67147.43
2026-07-27;09:07:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);8;16.3050;0.0000;0.00;60;978.32
2026-07-27;09:08:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);9;16.3400;0.0350;0.21;740;12083.90
2026-07-27;09:09:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);10;16.3100;0.0000;0.00;31;505.64
2026-07-27;09:10:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);11;16.3100;0.0000;0.00;1563;25492.53
2026-07-27;09:11:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);12;16.3100;-0.0300;-0.18;1556;25382.38
2026-07-27;09:12:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);13;16.2400;-0.0700;-0.43;1791;29154.83
2026-07-27;09:14:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);14;16.2350;0.0000;0.00;300;4870.50
2026-07-27;09:17:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);15;16.3000;0.0550;0.34;4821;78481.24
2026-07-27;09:18:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);16;16.3050;0.0100;0.06;464;7560.92
2026-07-27;09:19:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);17;16.2950;-0.0050;-0.03;646;10527.83
2026-07-27;09:20:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);18;16.2850;-0.0050;-0.03;1178;19183.65
2026-07-27;09:22:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);19;16.2750;-0.0250;-0.15;2;32.57
2026-07-27;09:24:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);20;16.2800;-0.0200;-0.12;187;3044.66
2026-07-27;09:25:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);21;16.2700;-0.0050;-0.03;384;6247.70
2026-07-27;09:26:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);22;16.2550;-0.0100;-0.06;750;12193.58
2026-07-27;09:27:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);23;16.2600;0.0000;0.00;5;81.30
2026-07-27;09:28:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);24;16.2650;0.0000;0.00;1235;20087.28
2026-07-27;09:31:00;CYFROWY-POLSAT;CPS (CYFRPLSAT);25;16.2500;-0.0250;-0.15;1667;27091.80
