Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-22;09:00:00;DAD;DAD (DADELO);1;81.0000;-0.1000;-0.12;755;61219.20
2026-07-22;09:02:00;DAD;DAD (DADELO);2;81.1000;0.1000;0.12;124;10053.20
2026-07-22;09:03:00;DAD;DAD (DADELO);3;81.1000;0.0000;0.00;20;1622.00
2026-07-22;09:04:00;DAD;DAD (DADELO);4;81.1000;0.0000;0.00;74;6001.40
2026-07-22;09:05:00;DAD;DAD (DADELO);5;81.1000;0.0000;0.00;17;1378.70
2026-07-22;09:06:00;DAD;DAD (DADELO);6;81.0000;-0.1000;-0.12;20;1621.00
2026-07-22;09:09:00;DAD;DAD (DADELO);7;80.5000;-0.3000;-0.37;64;5170.90
2026-07-22;09:11:00;DAD;DAD (DADELO);8;80.5000;-0.4000;-0.49;45;3624.90
2026-07-22;09:14:00;DAD;DAD (DADELO);9;80.9000;0.0000;0.00;2;161.80
2026-07-22;09:15:00;DAD;DAD (DADELO);10;80.9000;0.0000;0.00;62;5015.80
2026-07-22;09:17:00;DAD;DAD (DADELO);11;80.5000;0.0000;0.00;291;23425.50
2026-07-22;09:20:00;DAD;DAD (DADELO);12;80.9000;0.0000;0.00;12;970.80
2026-07-22;09:21:00;DAD;DAD (DADELO);13;80.9000;0.0000;0.00;18;1456.20
2026-07-22;09:23:00;DAD;DAD (DADELO);14;81.0000;0.0000;0.00;125;10125.00
2026-07-22;09:24:00;DAD;DAD (DADELO);15;81.0000;0.0000;0.00;31;2511.00
2026-07-22;09:29:00;DAD;DAD (DADELO);16;80.7000;-0.2000;-0.25;44;3553.20
2026-07-22;09:30:00;DAD;DAD (DADELO);17;80.7000;0.0000;0.00;10;807.00
2026-07-22;09:32:00;DAD;DAD (DADELO);18;81.0000;0.0000;0.00;8;648.00
2026-07-22;09:37:00;DAD;DAD (DADELO);19;81.0000;0.0000;0.00;12;972.00
2026-07-22;09:38:00;DAD;DAD (DADELO);20;81.0000;0.0000;0.00;23;1863.00
2026-07-22;09:40:00;DAD;DAD (DADELO);21;81.0000;0.0000;0.00;18;1458.00
2026-07-22;09:41:00;DAD;DAD (DADELO);22;81.0000;0.0000;0.00;18;1458.00
2026-07-22;09:43:00;DAD;DAD (DADELO);23;81.0000;0.0000;0.00;123;9963.00
2026-07-22;09:44:00;DAD;DAD (DADELO);24;80.7000;-0.3000;-0.37;133;10770.30
2026-07-22;09:47:00;DAD;DAD (DADELO);25;80.6000;-0.1000;-0.12;41;3305.60
2026-07-22;09:48:00;DAD;DAD (DADELO);26;81.0000;0.0000;0.00;5;405.00
2026-07-22;09:52:00;DAD;DAD (DADELO);27;81.0000;0.0000;0.00;62;5022.00
