Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-25;09:00:00;DAT;DAT (DATAWALK);1;128.0000;0.4000;0.31;151;19268.00
2026-08-25;09:01:00;DAT;DAT (DATAWALK);2;128.0000;0.0000;0.00;31;3968.00
2026-08-25;09:02:00;DAT;DAT (DATAWALK);3;129.6000;0.0000;0.00;2;259.20
2026-08-25;09:15:00;DAT;DAT (DATAWALK);4;128.0000;-0.6000;-0.47;59;7555.80
2026-08-25;09:18:00;DAT;DAT (DATAWALK);5;128.0000;-0.2000;-0.16;57;7298.40
2026-08-25;09:19:00;DAT;DAT (DATAWALK);6;128.0000;-0.6000;-0.47;441;56448.60
2026-08-25;09:20:00;DAT;DAT (DATAWALK);7;127.4000;0.0000;0.00;15;1911.00
2026-08-25;09:23:00;DAT;DAT (DATAWALK);8;128.0000;0.0000;0.00;21;2688.00
2026-08-25;09:24:00;DAT;DAT (DATAWALK);9;128.2000;0.2000;0.16;280;35893.20
2026-08-25;09:27:00;DAT;DAT (DATAWALK);10;128.0000;0.0000;0.00;10;1280.00
2026-08-25;09:28:00;DAT;DAT (DATAWALK);11;127.8000;0.0000;0.00;99;12652.20
2026-08-25;09:29:00;DAT;DAT (DATAWALK);12;127.4000;-0.2000;-0.16;100;12752.20
2026-08-25;09:30:00;DAT;DAT (DATAWALK);13;127.4000;0.0000;0.00;5;637.00
2026-08-25;09:32:00;DAT;DAT (DATAWALK);14;127.4000;0.0000;0.00;5;637.00
2026-08-25;09:37:00;DAT;DAT (DATAWALK);15;127.6000;0.0000;0.00;14;1786.40
2026-08-25;09:39:00;DAT;DAT (DATAWALK);16;127.6000;0.0000;0.00;3;382.80
2026-08-25;09:46:00;DAT;DAT (DATAWALK);17;127.8000;0.2000;0.16;13;1659.00
2026-08-25;09:47:00;DAT;DAT (DATAWALK);18;127.8000;0.0000;0.00;32;4089.60
2026-08-25;09:48:00;DAT;DAT (DATAWALK);19;127.8000;0.0000;0.00;9;1150.20
2026-08-25;09:49:00;DAT;DAT (DATAWALK);20;128.2000;0.4000;0.31;140;17924.80
2026-08-25;09:53:00;DAT;DAT (DATAWALK);21;128.0000;0.0000;0.00;46;5888.00
2026-08-25;09:59:00;DAT;DAT (DATAWALK);22;127.8000;0.0000;0.00;13;1661.40
2026-08-25;10:09:00;DAT;DAT (DATAWALK);23;127.6000;0.0000;0.00;8;1020.80
2026-08-25;10:11:00;DAT;DAT (DATAWALK);24;127.8000;0.0000;0.00;2;255.60
2026-08-25;10:12:00;DAT;DAT (DATAWALK);25;127.6000;0.0000;0.00;2;255.20
2026-08-25;10:13:00;DAT;DAT (DATAWALK);26;128.4000;0.0000;0.00;1;128.40
2026-08-25;10:14:00;DAT;DAT (DATAWALK);27;127.8000;0.0000;0.00;12;1533.60
2026-08-25;10:16:00;DAT;DAT (DATAWALK);28;127.6000;0.0000;0.00;4;510.40
2026-08-25;10:23:00;DAT;DAT (DATAWALK);29;127.8000;-0.6000;-0.47;13;1662.00
2026-08-25;10:24:00;DAT;DAT (DATAWALK);30;128.0000;0.0000;0.00;14;1792.00
2026-08-25;10:25:00;DAT;DAT (DATAWALK);31;127.6000;0.0000;0.00;35;4466.00
2026-08-25;10:26:00;DAT;DAT (DATAWALK);32;128.4000;0.0000;0.00;5;642.00
2026-08-25;10:33:00;DAT;DAT (DATAWALK);33;128.4000;0.0000;0.00;99;12711.60
2026-08-25;10:36:00;DAT;DAT (DATAWALK);34;128.6000;0.0000;0.00;4;514.40
2026-08-25;10:48:00;DAT;DAT (DATAWALK);35;128.2000;0.0000;0.00;1;128.20
2026-08-25;11:00:00;DAT;DAT (DATAWALK);36;127.6000;0.0000;0.00;40;5104.00
2026-08-25;11:02:00;DAT;DAT (DATAWALK);37;128.0000;0.4000;0.31;38;4854.40
2026-08-25;11:11:00;DAT;DAT (DATAWALK);38;128.0000;0.0000;0.00;11;1408.00
2026-08-25;11:28:00;DAT;DAT (DATAWALK);39;128.2000;0.2000;0.16;35;4480.20
2026-08-25;11:31:00;DAT;DAT (DATAWALK);40;128.2000;0.0000;0.00;23;2948.60
2026-08-25;11:38:00;DAT;DAT (DATAWALK);41;129.0000;0.2000;0.16;4;515.40
2026-08-25;11:40:00;DAT;DAT (DATAWALK);42;128.8000;0.0000;0.00;1;128.80
2026-08-25;11:42:00;DAT;DAT (DATAWALK);43;128.8000;0.2000;0.16;7;900.40
