Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-22;09:00:00;DEBICA;DBC (DEBICA);1;99.9000;0.1000;0.10;138;13774.20
2026-09-22;09:01:00;DEBICA;DBC (DEBICA);2;99.8000;0.0000;0.00;1;99.80
2026-09-22;09:03:00;DEBICA;DBC (DEBICA);3;99.8000;0.0000;0.00;14;1397.20
2026-09-22;09:04:00;DEBICA;DBC (DEBICA);4;99.8000;0.0000;0.00;3;299.40
2026-09-22;09:06:00;DEBICA;DBC (DEBICA);5;100.0000;0.1000;0.10;50;4996.60
2026-09-22;09:07:00;DEBICA;DBC (DEBICA);6;99.8000;0.0000;0.00;10;998.00
2026-09-22;09:08:00;DEBICA;DBC (DEBICA);7;100.0000;0.0000;0.00;2;200.00
2026-09-22;09:09:00;DEBICA;DBC (DEBICA);8;99.8000;0.0000;0.00;3;299.40
2026-09-22;09:10:00;DEBICA;DBC (DEBICA);9;100.0000;0.0000;0.00;1;100.00
2026-09-22;09:12:00;DEBICA;DBC (DEBICA);10;100.2000;0.2000;0.20;50;5003.60
2026-09-22;09:18:00;DEBICA;DBC (DEBICA);11;100.2000;0.4000;0.40;144;14411.20
2026-09-22;09:21:00;DEBICA;DBC (DEBICA);12;100.2000;0.0000;0.00;1;100.20
2026-09-22;09:24:00;DEBICA;DBC (DEBICA);13;100.2000;0.0000;0.00;5;501.00
2026-09-22;09:25:00;DEBICA;DBC (DEBICA);14;100.2000;0.0000;0.00;8;801.60
2026-09-22;09:28:00;DEBICA;DBC (DEBICA);15;100.2000;0.0000;0.00;200;20040.00
2026-09-22;09:30:00;DEBICA;DBC (DEBICA);16;100.2000;0.0000;0.00;30;3006.00
2026-09-22;09:40:00;DEBICA;DBC (DEBICA);17;99.8000;0.0000;0.00;20;1996.00
2026-09-22;09:41:00;DEBICA;DBC (DEBICA);18;100.2000;0.4000;0.40;5;499.40
2026-09-22;09:43:00;DEBICA;DBC (DEBICA);19;100.2000;0.0000;0.00;6;601.20
2026-09-22;09:45:00;DEBICA;DBC (DEBICA);20;99.0000;0.0000;0.00;1;99.00
2026-09-22;09:48:00;DEBICA;DBC (DEBICA);21;99.0000;0.0000;0.00;1;99.00
2026-09-22;09:50:00;DEBICA;DBC (DEBICA);22;100.0000;1.0000;1.01;63;6238.00
2026-09-22;09:53:00;DEBICA;DBC (DEBICA);23;100.0000;0.2000;0.20;31;3097.40
2026-09-22;09:54:00;DEBICA;DBC (DEBICA);24;100.2000;0.2000;0.20;19;1901.40
2026-09-22;09:59:00;DEBICA;DBC (DEBICA);25;100.0000;0.2000;0.20;111;11076.00
2026-09-22;10:01:00;DEBICA;DBC (DEBICA);26;99.5000;-0.1000;-0.10;2;199.10
2026-09-22;10:02:00;DEBICA;DBC (DEBICA);27;99.5000;0.0000;0.00;1;99.50
2026-09-22;10:12:00;DEBICA;DBC (DEBICA);28;99.5000;0.0000;0.00;5;497.50
2026-09-22;10:22:00;DEBICA;DBC (DEBICA);29;99.5000;0.0000;0.00;1;99.50
2026-09-22;10:38:00;DEBICA;DBC (DEBICA);30;100.0000;0.0000;0.00;20;2000.00
2026-09-22;10:40:00;DEBICA;DBC (DEBICA);31;100.0000;0.0000;0.00;7;700.00
2026-09-22;10:41:00;DEBICA;DBC (DEBICA);32;100.0000;0.0000;0.00;2;200.00
2026-09-22;10:50:00;DEBICA;DBC (DEBICA);33;100.0000;0.0000;0.00;34;3400.00
2026-09-22;10:55:00;DEBICA;DBC (DEBICA);34;100.0000;0.0000;0.00;6;600.00
2026-09-22;11:02:00;DEBICA;DBC (DEBICA);35;99.4000;0.0000;0.00;6;596.40
2026-09-22;11:04:00;DEBICA;DBC (DEBICA);36;99.4000;0.0000;0.00;12;1192.80
2026-09-22;11:14:00;DEBICA;DBC (DEBICA);37;99.8000;0.0000;0.00;1;99.80
2026-09-22;11:17:00;DEBICA;DBC (DEBICA);38;99.3000;-0.1000;-0.10;16;1589.50
2026-09-22;11:22:00;DEBICA;DBC (DEBICA);39;100.0000;0.2000;0.20;16;1598.20
2026-09-22;11:42:00;DEBICA;DBC (DEBICA);40;99.9000;0.0000;0.00;1;99.90
2026-09-22;11:43:00;DEBICA;DBC (DEBICA);41;99.9000;0.0000;0.00;1;99.90
2026-09-22;11:57:00;DEBICA;DBC (DEBICA);42;99.9000;0.0000;0.00;2;199.80
2026-09-22;12:05:00;DEBICA;DBC (DEBICA);43;99.5000;0.0000;0.00;5;497.50
2026-09-22;12:15:00;DEBICA;DBC (DEBICA);44;99.9000;0.0000;0.00;2;199.80
2026-09-22;12:16:00;DEBICA;DBC (DEBICA);45;99.9000;0.0000;0.00;5;499.50
2026-09-22;12:23:00;DEBICA;DBC (DEBICA);46;99.5000;0.0000;0.00;7;696.50
2026-09-22;12:27:00;DEBICA;DBC (DEBICA);47;99.5000;0.0000;0.00;11;1094.50
2026-09-22;12:28:00;DEBICA;DBC (DEBICA);48;99.9000;0.0000;0.00;25;2497.50
2026-09-22;12:29:00;DEBICA;DBC (DEBICA);49;99.9000;0.0000;0.00;3;299.70
2026-09-22;12:36:00;DEBICA;DBC (DEBICA);50;99.9000;0.0000;0.00;11;1098.90
2026-09-22;12:37:00;DEBICA;DBC (DEBICA);51;99.9000;0.0000;0.00;2;199.80
2026-09-22;12:43:00;DEBICA;DBC (DEBICA);52;99.4000;-0.1000;-0.10;29;2885.00
2026-09-22;12:44:00;DEBICA;DBC (DEBICA);53;99.4000;0.0000;0.00;15;1491.00
2026-09-22;12:50:00;DEBICA;DBC (DEBICA);54;99.4000;0.0000;0.00;1;99.40
2026-09-22;12:54:00;DEBICA;DBC (DEBICA);55;99.0000;-0.2000;-0.20;95;9417.50
2026-09-22;13:02:00;DEBICA;DBC (DEBICA);56;99.0000;0.0000;0.00;60;5940.00
2026-09-22;13:03:00;DEBICA;DBC (DEBICA);57;99.0000;0.0000;0.00;1;99.00
2026-09-22;13:05:00;DEBICA;DBC (DEBICA);58;99.8000;0.8000;0.81;190;18815.60
2026-09-22;13:15:00;DEBICA;DBC (DEBICA);59;99.0000;0.0000;0.00;11;1089.00
2026-09-22;13:20:00;DEBICA;DBC (DEBICA);60;99.0000;0.0000;0.00;2;198.00
2026-09-22;13:23:00;DEBICA;DBC (DEBICA);61;99.0000;0.0000;0.00;1;99.00
2026-09-22;13:26:00;DEBICA;DBC (DEBICA);62;98.9000;0.0000;0.00;50;4945.00
2026-09-22;13:32:00;DEBICA;DBC (DEBICA);63;99.0000;0.0000;0.00;5;495.00
