Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-10;09:00:00;DECORA;DCR (DECORA);1;73.1000;0.0000;0.00;311;22734.10
2026-08-10;09:08:00;DECORA;DCR (DECORA);2;73.6000;0.0000;0.00;1;73.60
2026-08-10;09:14:00;DECORA;DCR (DECORA);3;73.1000;0.0000;0.00;40;2924.00
2026-08-10;09:18:00;DECORA;DCR (DECORA);4;73.5000;0.0000;0.00;15;1102.50
2026-08-10;09:20:00;DECORA;DCR (DECORA);5;73.0000;-0.1000;-0.14;57;4161.60
2026-08-10;09:45:00;DECORA;DCR (DECORA);6;73.0000;0.0000;0.00;74;5402.00
2026-08-10;09:48:00;DECORA;DCR (DECORA);7;73.0000;0.0000;0.00;30;2190.00
2026-08-10;10:06:00;DECORA;DCR (DECORA);8;73.4000;0.0000;0.00;2;146.80
2026-08-10;10:07:00;DECORA;DCR (DECORA);9;73.4000;0.0000;0.00;4;293.60
2026-08-10;10:27:00;DECORA;DCR (DECORA);10;73.3000;0.0000;0.00;7;513.10
2026-08-10;10:31:00;DECORA;DCR (DECORA);11;73.3000;0.0000;0.00;35;2565.50
2026-08-10;11:04:00;DECORA;DCR (DECORA);12;73.3000;0.0000;0.00;4;293.20
2026-08-10;11:05:00;DECORA;DCR (DECORA);13;73.5000;0.0000;0.00;2;147.00
2026-08-10;11:18:00;DECORA;DCR (DECORA);14;73.3000;0.0000;0.00;4;293.20
2026-08-10;11:29:00;DECORA;DCR (DECORA);15;73.5000;0.0000;0.00;2;147.00
2026-08-10;12:24:00;DECORA;DCR (DECORA);16;73.4000;0.0000;0.00;19;1394.60
2026-08-10;13:07:00;DECORA;DCR (DECORA);17;73.3000;0.0000;0.00;6;439.80
2026-08-10;13:35:00;DECORA;DCR (DECORA);18;73.4000;0.0000;0.00;1;73.40
2026-08-10;13:36:00;DECORA;DCR (DECORA);19;73.3000;0.0000;0.00;5;366.50
2026-08-10;13:38:00;DECORA;DCR (DECORA);20;73.5000;0.0000;0.00;2;147.00
2026-08-10;13:54:00;DECORA;DCR (DECORA);21;73.5000;0.0000;0.00;1;73.50
2026-08-10;14:01:00;DECORA;DCR (DECORA);22;73.5000;0.0000;0.00;59;4336.50
2026-08-10;14:11:00;DECORA;DCR (DECORA);23;73.6000;0.0000;0.00;2;147.20
2026-08-10;14:14:00;DECORA;DCR (DECORA);24;73.7000;0.1000;0.14;50;3682.20
2026-08-10;14:25:00;DECORA;DCR (DECORA);25;73.7000;0.0000;0.00;26;1916.20
2026-08-10;14:28:00;DECORA;DCR (DECORA);26;73.7000;0.0000;0.00;42;3095.40
2026-08-10;14:41:00;DECORA;DCR (DECORA);27;73.7000;0.0000;0.00;1;73.70
2026-08-10;15:02:00;DECORA;DCR (DECORA);28;73.8000;0.0000;0.00;10;738.00
2026-08-10;15:24:00;DECORA;DCR (DECORA);29;73.9000;0.0000;0.00;8;591.20
2026-08-10;16:03:00;DECORA;DCR (DECORA);30;73.7000;-0.1000;-0.14;5;368.60
2026-08-10;16:43:00;DECORA;DCR (DECORA);31;73.9000;0.0000;0.00;5;369.50
2026-08-10;16:46:00;DECORA;DCR (DECORA);32;73.7000;0.0000;0.00;50;3685.00
2026-08-10;17:00:00;DECORA;DCR (DECORA);33;73.7000;0.0000;0.00;5;368.50
2026-08-10;17:01:00;DECORA;DCR (DECORA);34;73.7000;0.0000;0.00;48;3537.60
