Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;DEKPOL;DEK (DEKPOL);1;69.0000;0.0000;0.00;102;7038.00
2026-08-05;09:10:00;DEKPOL;DEK (DEKPOL);2;69.6000;0.0000;0.00;10;696.00
2026-08-05;09:23:00;DEKPOL;DEK (DEKPOL);3;69.2000;0.0000;0.00;5;346.00
2026-08-05;09:58:00;DEKPOL;DEK (DEKPOL);4;69.2000;0.0000;0.00;20;1384.00
2026-08-05;10:38:00;DEKPOL;DEK (DEKPOL);5;69.2000;0.0000;0.00;61;4221.20
2026-08-05;10:48:00;DEKPOL;DEK (DEKPOL);6;69.0000;0.0000;0.00;25;1725.00
2026-08-05;10:58:00;DEKPOL;DEK (DEKPOL);7;69.0000;0.0000;0.00;43;2967.00
2026-08-05;10:59:00;DEKPOL;DEK (DEKPOL);8;69.0000;0.0000;0.00;30;2070.00
2026-08-05;11:00:00;DEKPOL;DEK (DEKPOL);9;69.0000;0.0000;0.00;400;27600.00
2026-08-05;11:01:00;DEKPOL;DEK (DEKPOL);10;69.0000;0.0000;0.00;113;7797.00
2026-08-05;11:04:00;DEKPOL;DEK (DEKPOL);11;69.0000;0.0000;0.00;60;4140.00
2026-08-05;11:11:00;DEKPOL;DEK (DEKPOL);12;69.0000;0.0000;0.00;40;2760.00
2026-08-05;11:13:00;DEKPOL;DEK (DEKPOL);13;69.0000;0.0000;0.00;10;690.00
2026-08-05;11:25:00;DEKPOL;DEK (DEKPOL);14;69.0000;0.0000;0.00;39;2691.00
2026-08-05;11:42:00;DEKPOL;DEK (DEKPOL);15;68.8000;0.0000;0.00;2;137.60
2026-08-05;11:46:00;DEKPOL;DEK (DEKPOL);16;68.8000;0.0000;0.00;1;68.80
2026-08-05;12:22:00;DEKPOL;DEK (DEKPOL);17;69.4000;0.0000;0.00;10;694.00
2026-08-05;13:55:00;DEKPOL;DEK (DEKPOL);18;69.4000;0.0000;0.00;30;2082.00
2026-08-05;13:58:00;DEKPOL;DEK (DEKPOL);19;69.4000;0.0000;0.00;20;1388.00
2026-08-05;14:58:00;DEKPOL;DEK (DEKPOL);20;69.6000;0.0000;0.00;1;69.60
2026-08-05;15:37:00;DEKPOL;DEK (DEKPOL);21;69.0000;-0.2000;-0.29;26;1794.40
2026-08-05;15:49:00;DEKPOL;DEK (DEKPOL);22;69.6000;0.0000;0.00;105;7308.00
2026-08-05;15:53:00;DEKPOL;DEK (DEKPOL);23;69.8000;0.0000;0.00;30;2094.00
2026-08-05;16:08:00;DEKPOL;DEK (DEKPOL);24;69.6000;0.0000;0.00;22;1531.20
2026-08-05;16:17:00;DEKPOL;DEK (DEKPOL);25;69.8000;0.0000;0.00;67;4676.60
2026-08-05;16:20:00;DEKPOL;DEK (DEKPOL);26;69.8000;0.2000;0.29;70;4874.80
