Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-11;09:00:00;DELKO;DEL (DELKO);1;6.0000;0.0000;0.00;63;378.00
2026-09-11;11:07:00;DELKO;DEL (DELKO);2;6.0000;0.0000;0.00;18;108.00
2026-09-11;11:22:00;DELKO;DEL (DELKO);3;6.0400;0.0000;0.00;5;30.20
2026-09-11;11:51:00;DELKO;DEL (DELKO);4;6.0400;0.0000;0.00;84;507.36
2026-09-11;11:55:00;DELKO;DEL (DELKO);5;6.0700;0.0300;0.50;2470;14954.60
2026-09-11;11:58:00;DELKO;DEL (DELKO);6;6.1000;0.0300;0.49;600;3644.64
2026-09-11;12:27:00;DELKO;DEL (DELKO);7;5.9500;-0.0600;-1.00;920;5515.30
2026-09-11;13:05:00;DELKO;DEL (DELKO);8;6.0800;0.0300;0.50;35;212.45
2026-09-11;13:11:00;DELKO;DEL (DELKO);9;5.9700;0.0000;0.00;235;1402.95
2026-09-11;15:33:00;DELKO;DEL (DELKO);10;5.9700;0.0000;0.00;702;4190.94
2026-09-11;15:41:00;DELKO;DEL (DELKO);11;5.9500;-0.0100;-0.17;300;1785.05
