Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;DGE;DGE (DRAGOENT);1;22.7000;0.0000;0.00;55;1248.50
2026-08-07;11:42:00;DGE;DGE (DRAGOENT);2;24.0000;1.3000;5.73;363;8561.10
2026-08-07;11:43:00;DGE;DGE (DRAGOENT);3;24.7000;0.0000;0.00;144;3556.80
2026-08-07;11:45:00;DGE;DGE (DRAGOENT);4;23.7000;0.0000;0.00;1;23.70
2026-08-07;11:46:00;DGE;DGE (DRAGOENT);5;22.8000;0.0000;0.00;4;91.20
2026-08-07;11:50:00;DGE;DGE (DRAGOENT);6;22.4000;-1.1000;-4.68;17;385.70
2026-08-07;11:58:00;DGE;DGE (DRAGOENT);7;24.3000;0.0000;0.00;1;24.30
2026-08-07;12:24:00;DGE;DGE (DRAGOENT);8;24.1000;0.0000;0.00;1;24.10
2026-08-07;12:45:00;DGE;DGE (DRAGOENT);9;24.1000;0.0000;0.00;55;1325.50
2026-08-07;13:16:00;DGE;DGE (DRAGOENT);10;24.1000;0.0000;0.00;20;482.00
2026-08-07;15:23:00;DGE;DGE (DRAGOENT);11;23.9000;0.0000;0.00;1;23.90
2026-08-07;15:26:00;DGE;DGE (DRAGOENT);12;24.3000;0.3000;1.25;163;3917.70
2026-08-07;15:27:00;DGE;DGE (DRAGOENT);13;24.7000;0.2000;0.82;567;13943.70
2026-08-07;15:40:00;DGE;DGE (DRAGOENT);14;23.0000;0.0000;0.00;100;2300.00
2026-08-07;15:42:00;DGE;DGE (DRAGOENT);15;24.0000;0.0000;0.00;99;2376.00
2026-08-07;15:57:00;DGE;DGE (DRAGOENT);16;24.8000;0.1000;0.40;2;49.50
