Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-26;09:00:00;DIA;DIA (DIAG);1;168.8000;-1.1000;-0.65;106;17985.20
2026-08-26;09:02:00;DIA;DIA (DIAG);2;168.3000;0.3000;0.18;29;4876.20
2026-08-26;09:03:00;DIA;DIA (DIAG);3;169.0000;0.0000;0.00;2;338.00
2026-08-26;09:05:00;DIA;DIA (DIAG);4;168.3000;-0.4000;-0.24;54;9108.80
2026-08-26;09:06:00;DIA;DIA (DIAG);5;168.8000;0.9000;0.54;4;673.40
2026-08-26;09:07:00;DIA;DIA (DIAG);6;169.0000;0.2000;0.12;146;24637.10
2026-08-26;09:09:00;DIA;DIA (DIAG);7;168.6000;0.0000;0.00;9;1517.40
2026-08-26;09:10:00;DIA;DIA (DIAG);8;168.6000;0.9000;0.54;4;671.70
2026-08-26;09:11:00;DIA;DIA (DIAG);9;168.0000;0.0000;0.00;60;10080.00
2026-08-26;09:12:00;DIA;DIA (DIAG);10;168.3000;-0.1000;-0.06;10;1683.10
2026-08-26;09:13:00;DIA;DIA (DIAG);11;168.3000;0.3000;0.18;40;6720.30
2026-08-26;09:14:00;DIA;DIA (DIAG);12;168.1000;-0.2000;-0.12;34;5723.10
2026-08-26;09:18:00;DIA;DIA (DIAG);13;168.1000;-0.2000;-0.12;60;10096.40
2026-08-26;09:20:00;DIA;DIA (DIAG);14;168.4000;0.0000;0.00;1;168.40
2026-08-26;09:21:00;DIA;DIA (DIAG);15;168.4000;0.0000;0.00;5;842.00
2026-08-26;09:22:00;DIA;DIA (DIAG);16;168.1000;0.0000;0.00;1;168.10
2026-08-26;09:26:00;DIA;DIA (DIAG);17;168.4000;0.0000;0.00;2;336.80
2026-08-26;09:27:00;DIA;DIA (DIAG);18;168.4000;0.0000;0.00;6;1010.40
2026-08-26;09:28:00;DIA;DIA (DIAG);19;169.1000;0.7000;0.42;51;8600.00
2026-08-26;09:29:00;DIA;DIA (DIAG);20;168.4000;-0.7000;-0.41;11;1855.90
2026-08-26;09:31:00;DIA;DIA (DIAG);21;169.0000;0.5000;0.30;37;6237.00
2026-08-26;09:33:00;DIA;DIA (DIAG);22;168.5000;-0.5000;-0.30;479;80980.00
2026-08-26;09:34:00;DIA;DIA (DIAG);23;168.4000;-0.1000;-0.06;12;2021.80
2026-08-26;09:35:00;DIA;DIA (DIAG);24;168.4000;0.0000;0.00;5;842.00
2026-08-26;09:36:00;DIA;DIA (DIAG);25;168.8000;0.2000;0.12;184;31040.10
2026-08-26;09:37:00;DIA;DIA (DIAG);26;169.0000;0.1000;0.06;35;5911.90
2026-08-26;09:38:00;DIA;DIA (DIAG);27;169.1000;0.1000;0.06;30;5070.80
