Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-17;09:00:00;DIG;DIG (DIGITANET);1;299.2000;-2.8000;-0.93;817;244184.60
2026-07-17;09:01:00;DIG;DIG (DIGITANET);2;296.0000;-3.2000;-1.07;90;26714.60
2026-07-17;09:02:00;DIG;DIG (DIGITANET);3;293.2000;-3.2000;-1.08;466;137056.80
2026-07-17;09:03:00;DIG;DIG (DIGITANET);4;295.8000;-0.8000;-0.27;113;33392.40
2026-07-17;09:04:00;DIG;DIG (DIGITANET);5;296.4000;0.6000;0.20;336;98974.00
2026-07-17;09:05:00;DIG;DIG (DIGITANET);6;296.4000;-0.2000;-0.07;20;5929.40
2026-07-17;09:06:00;DIG;DIG (DIGITANET);7;296.0000;0.2000;0.07;75;22174.00
2026-07-17;09:07:00;DIG;DIG (DIGITANET);8;292.0000;-2.0000;-0.68;214;62676.20
2026-07-17;09:08:00;DIG;DIG (DIGITANET);9;286.8000;-5.2000;-1.78;1285;370718.80
2026-07-17;09:09:00;DIG;DIG (DIGITANET);10;292.0000;5.4000;1.88;187;54205.40
2026-07-17;09:10:00;DIG;DIG (DIGITANET);11;292.8000;2.8000;0.97;66;19157.60
2026-07-17;09:11:00;DIG;DIG (DIGITANET);12;292.8000;3.8000;1.31;266;76939.80
2026-07-17;09:12:00;DIG;DIG (DIGITANET);13;290.4000;-3.2000;-1.09;77;22553.80
2026-07-17;09:13:00;DIG;DIG (DIGITANET);14;294.0000;3.4000;1.17;92;26956.20
2026-07-17;09:14:00;DIG;DIG (DIGITANET);15;295.2000;1.2000;0.41;313;91652.20
2026-07-17;09:15:00;DIG;DIG (DIGITANET);16;291.2000;-1.0000;-0.34;381;111048.00
2026-07-17;09:16:00;DIG;DIG (DIGITANET);17;291.0000;-2.8000;-0.95;152;44294.80
2026-07-17;09:17:00;DIG;DIG (DIGITANET);18;293.2000;2.0000;0.69;13;3791.20
2026-07-17;09:18:00;DIG;DIG (DIGITANET);19;292.4000;0.8000;0.27;18;5258.80
2026-07-17;09:19:00;DIG;DIG (DIGITANET);20;294.0000;1.6000;0.55;136;39780.20
2026-07-17;09:20:00;DIG;DIG (DIGITANET);21;292.0000;-0.2000;-0.07;419;122376.20
2026-07-17;09:21:00;DIG;DIG (DIGITANET);22;293.8000;0.0000;0.00;4;1175.20
2026-07-17;09:22:00;DIG;DIG (DIGITANET);23;293.6000;-0.2000;-0.07;23;6724.20
2026-07-17;09:23:00;DIG;DIG (DIGITANET);24;291.6000;-0.4000;-0.14;22;6425.40
2026-07-17;09:24:00;DIG;DIG (DIGITANET);25;291.0000;-1.4000;-0.48;157;45709.60
2026-07-17;09:25:00;DIG;DIG (DIGITANET);26;290.4000;-2.0000;-0.68;110;31962.00
2026-07-17;09:26:00;DIG;DIG (DIGITANET);27;289.0000;-3.0000;-1.03;121;35102.60
2026-07-17;09:27:00;DIG;DIG (DIGITANET);28;290.2000;1.2000;0.42;388;113140.80
2026-07-17;09:28:00;DIG;DIG (DIGITANET);29;292.2000;2.2000;0.76;154;44604.00
2026-07-17;09:29:00;DIG;DIG (DIGITANET);30;290.2000;1.0000;0.35;29;8436.80
2026-07-17;09:30:00;DIG;DIG (DIGITANET);31;293.2000;1.0000;0.34;28;8174.60
2026-07-17;09:31:00;DIG;DIG (DIGITANET);32;293.2000;0.0000;0.00;31;9123.20
2026-07-17;09:32:00;DIG;DIG (DIGITANET);33;293.2000;-2.0000;-0.68;221;64508.20
2026-07-17;09:33:00;DIG;DIG (DIGITANET);34;292.8000;-0.2000;-0.07;26;7585.80
2026-07-17;09:34:00;DIG;DIG (DIGITANET);35;292.4000;0.6000;0.21;7;2042.60
2026-07-17;09:35:00;DIG;DIG (DIGITANET);36;292.4000;0.0000;0.00;9;2630.20
2026-07-17;09:36:00;DIG;DIG (DIGITANET);37;292.2000;1.2000;0.41;82;23886.40
2026-07-17;09:37:00;DIG;DIG (DIGITANET);38;290.0000;0.0000;0.00;156;45158.40
2026-07-17;09:38:00;DIG;DIG (DIGITANET);39;291.6000;1.6000;0.55;331;96017.20
2026-07-17;09:39:00;DIG;DIG (DIGITANET);40;289.2000;-2.4000;-0.82;57;16622.00
2026-07-17;09:40:00;DIG;DIG (DIGITANET);41;291.8000;-0.2000;-0.07;18;5222.20
2026-07-17;09:41:00;DIG;DIG (DIGITANET);42;292.0000;0.2000;0.07;56;16256.40
2026-07-17;09:42:00;DIG;DIG (DIGITANET);43;291.4000;-0.6000;-0.21;36;10494.60
2026-07-17;09:43:00;DIG;DIG (DIGITANET);44;291.0000;1.6000;0.55;15;4365.80
2026-07-17;09:44:00;DIG;DIG (DIGITANET);45;290.6000;-1.4000;-0.48;100;29221.40
