Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;DNP;DNP (DINOPL);1;28.1100;-0.0400;-0.14;38944;1095795.38
2026-07-15;09:01:00;DNP;DNP (DINOPL);2;28.2300;0.0600;0.21;9353;263077.84
2026-07-15;09:02:00;DNP;DNP (DINOPL);3;28.2000;0.0300;0.11;3732;105226.06
2026-07-15;09:03:00;DNP;DNP (DINOPL);4;28.1400;-0.0600;-0.21;3243;91416.17
2026-07-15;09:04:00;DNP;DNP (DINOPL);5;28.0700;-0.0800;-0.28;4319;121461.01
2026-07-15;09:05:00;DNP;DNP (DINOPL);6;28.1400;0.0400;0.14;2588;72780.60
2026-07-15;09:06:00;DNP;DNP (DINOPL);7;28.1200;-0.0200;-0.07;3962;111391.94
2026-07-15;09:07:00;DNP;DNP (DINOPL);8;28.1100;0.0100;0.04;2279;64047.59
2026-07-15;09:08:00;DNP;DNP (DINOPL);9;28.1000;-0.0200;-0.07;3636;102196.36
2026-07-15;09:09:00;DNP;DNP (DINOPL);10;28.0900;-0.0100;-0.04;5693;160020.46
2026-07-15;09:10:00;DNP;DNP (DINOPL);11;28.0800;-0.0300;-0.11;7153;200723.43
2026-07-15;09:11:00;DNP;DNP (DINOPL);12;28.1600;0.0800;0.28;13125;369273.21
2026-07-15;09:12:00;DNP;DNP (DINOPL);13;28.1600;0.0000;0.00;6619;186504.86
2026-07-15;09:13:00;DNP;DNP (DINOPL);14;28.2300;0.0600;0.21;3515;99159.91
2026-07-15;09:14:00;DNP;DNP (DINOPL);15;28.2200;-0.0100;-0.04;3394;95808.92
2026-07-15;09:15:00;DNP;DNP (DINOPL);16;28.2400;0.0100;0.04;6014;169778.01
2026-07-15;09:16:00;DNP;DNP (DINOPL);17;28.2600;-0.0100;-0.04;6601;186708.80
2026-07-15;09:17:00;DNP;DNP (DINOPL);18;28.2400;-0.0500;-0.18;6179;174584.92
2026-07-15;09:18:00;DNP;DNP (DINOPL);19;28.2200;-0.0100;-0.04;4111;116022.23
2026-07-15;09:19:00;DNP;DNP (DINOPL);20;28.3300;0.1000;0.35;16648;471474.30
2026-07-15;09:20:00;DNP;DNP (DINOPL);21;28.3000;-0.0200;-0.07;4227;119655.61
2026-07-15;09:21:00;DNP;DNP (DINOPL);22;28.2900;0.0000;0.00;4221;119465.03
2026-07-15;09:22:00;DNP;DNP (DINOPL);23;28.3300;0.0400;0.14;12649;357899.67
2026-07-15;09:23:00;DNP;DNP (DINOPL);24;28.3400;0.0100;0.04;7335;207905.71
2026-07-15;09:24:00;DNP;DNP (DINOPL);25;28.3500;-0.0100;-0.04;2802;79440.42
2026-07-15;09:25:00;DNP;DNP (DINOPL);26;28.3600;0.0200;0.07;19581;555468.80
2026-07-15;09:26:00;DNP;DNP (DINOPL);27;28.3700;0.0100;0.04;2234;63386.36
2026-07-15;09:27:00;DNP;DNP (DINOPL);28;28.3900;0.0100;0.04;17653;501183.90
2026-07-15;09:28:00;DNP;DNP (DINOPL);29;28.4900;0.0900;0.32;108649;3088552.71
2026-07-15;09:29:00;DNP;DNP (DINOPL);30;28.4600;-0.0300;-0.11;13867;394808.25
2026-07-15;09:30:00;DNP;DNP (DINOPL);31;28.4500;-0.0100;-0.04;25781;734220.32
2026-07-15;09:31:00;DNP;DNP (DINOPL);32;28.4400;-0.0100;-0.04;22434;638335.91
2026-07-15;09:32:00;DNP;DNP (DINOPL);33;28.4500;0.0100;0.04;4215;119874.20
2026-07-15;09:33:00;DNP;DNP (DINOPL);34;28.4300;-0.0200;-0.07;4868;138465.74
2026-07-15;09:34:00;DNP;DNP (DINOPL);35;28.3900;-0.0300;-0.11;5741;163056.25
2026-07-15;09:35:00;DNP;DNP (DINOPL);36;28.3900;-0.0100;-0.04;3255;92405.63
2026-07-15;09:36:00;DNP;DNP (DINOPL);37;28.4200;0.0300;0.11;4203;119362.77
2026-07-15;09:37:00;DNP;DNP (DINOPL);38;28.4500;0.0300;0.11;17835;507498.57
2026-07-15;09:38:00;DNP;DNP (DINOPL);39;28.4200;-0.0300;-0.11;6979;198397.57
2026-07-15;09:39:00;DNP;DNP (DINOPL);40;28.4200;0.0000;0.00;102801;2921601.62
2026-07-15;09:40:00;DNP;DNP (DINOPL);41;28.4200;0.0000;0.00;38206;1086782.62
2026-07-15;09:41:00;DNP;DNP (DINOPL);42;28.4300;0.0200;0.07;135775;3856876.79
2026-07-15;09:42:00;DNP;DNP (DINOPL);43;28.3600;-0.0900;-0.32;34970;993790.16
2026-07-15;09:43:00;DNP;DNP (DINOPL);44;28.3300;-0.0400;-0.14;24802;702302.08
2026-07-15;09:44:00;DNP;DNP (DINOPL);45;28.3200;-0.0200;-0.07;7233;204871.70
2026-07-15;09:45:00;DNP;DNP (DINOPL);46;28.3100;-0.0100;-0.04;42394;1200734.29
2026-07-15;09:46:00;DNP;DNP (DINOPL);47;28.3100;0.0000;0.00;4353;123270.31
2026-07-15;09:47:00;DNP;DNP (DINOPL);48;28.3400;0.0200;0.07;13748;389623.54
2026-07-15;09:48:00;DNP;DNP (DINOPL);49;28.3700;0.0300;0.11;14737;418190.84
2026-07-15;09:49:00;DNP;DNP (DINOPL);50;28.3900;0.0200;0.07;10614;301202.88
2026-07-15;09:50:00;DNP;DNP (DINOPL);51;28.4200;0.0300;0.11;12683;360141.40
2026-07-15;09:51:00;DNP;DNP (DINOPL);52;28.4900;0.0800;0.28;14555;414261.36
2026-07-15;09:52:00;DNP;DNP (DINOPL);53;28.5200;0.0400;0.14;71245;2031361.80
