Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-27;09:00:00;DOM-DEVELOPMENT;DOM (DOMDEV);1;253.0000;0.0000;0.00;75;19020.00
2026-07-27;09:01:00;DOM-DEVELOPMENT;DOM (DOMDEV);2;256.5000;1.5000;0.59;56;14338.00
2026-07-27;09:02:00;DOM-DEVELOPMENT;DOM (DOMDEV);3;257.0000;0.0000;0.00;6;1542.00
2026-07-27;09:05:00;DOM-DEVELOPMENT;DOM (DOMDEV);4;256.0000;0.0000;0.00;35;8960.00
2026-07-27;09:06:00;DOM-DEVELOPMENT;DOM (DOMDEV);5;257.5000;2.0000;0.78;39;9972.50
2026-07-27;09:07:00;DOM-DEVELOPMENT;DOM (DOMDEV);6;258.0000;0.0000;0.00;4;1032.00
2026-07-27;09:08:00;DOM-DEVELOPMENT;DOM (DOMDEV);7;255.0000;0.0000;0.00;4;1020.00
2026-07-27;09:13:00;DOM-DEVELOPMENT;DOM (DOMDEV);8;255.0000;0.0000;0.00;2;510.00
2026-07-27;09:14:00;DOM-DEVELOPMENT;DOM (DOMDEV);9;256.0000;0.0000;0.00;100;25600.00
2026-07-27;09:19:00;DOM-DEVELOPMENT;DOM (DOMDEV);10;256.0000;-1.5000;-0.58;18;4609.50
2026-07-27;09:21:00;DOM-DEVELOPMENT;DOM (DOMDEV);11;255.0000;-1.0000;-0.39;4;1021.00
2026-07-27;09:28:00;DOM-DEVELOPMENT;DOM (DOMDEV);12;255.0000;-1.5000;-0.58;60;15377.50
2026-07-27;09:35:00;DOM-DEVELOPMENT;DOM (DOMDEV);13;255.0000;0.0000;0.00;16;4080.00
2026-07-27;09:37:00;DOM-DEVELOPMENT;DOM (DOMDEV);14;255.0000;0.0000;0.00;2;510.00
2026-07-27;09:41:00;DOM-DEVELOPMENT;DOM (DOMDEV);15;257.0000;0.0000;0.00;1;257.00
2026-07-27;09:44:00;DOM-DEVELOPMENT;DOM (DOMDEV);16;256.5000;0.0000;0.00;60;15390.00
2026-07-27;09:47:00;DOM-DEVELOPMENT;DOM (DOMDEV);17;256.5000;0.0000;0.00;2;513.00
2026-07-27;09:49:00;DOM-DEVELOPMENT;DOM (DOMDEV);18;256.5000;0.0000;0.00;2;513.00
2026-07-27;09:54:00;DOM-DEVELOPMENT;DOM (DOMDEV);19;256.5000;0.0000;0.00;2;513.00
2026-07-27;10:01:00;DOM-DEVELOPMENT;DOM (DOMDEV);20;256.5000;0.0000;0.00;2;513.00
2026-07-27;10:08:00;DOM-DEVELOPMENT;DOM (DOMDEV);21;256.0000;0.0000;0.00;42;10752.00
2026-07-27;10:09:00;DOM-DEVELOPMENT;DOM (DOMDEV);22;256.0000;0.0000;0.00;1;256.00
2026-07-27;10:10:00;DOM-DEVELOPMENT;DOM (DOMDEV);23;255.0000;0.0000;0.00;1;255.00
2026-07-27;10:20:00;DOM-DEVELOPMENT;DOM (DOMDEV);24;255.0000;-1.0000;-0.39;10;2555.00
2026-07-27;10:27:00;DOM-DEVELOPMENT;DOM (DOMDEV);25;255.0000;0.0000;0.00;11;2805.00
2026-07-27;10:39:00;DOM-DEVELOPMENT;DOM (DOMDEV);26;254.5000;-0.5000;-0.20;5;1274.50
2026-07-27;10:43:00;DOM-DEVELOPMENT;DOM (DOMDEV);27;254.5000;-0.5000;-0.20;20;5102.00
2026-07-27;10:50:00;DOM-DEVELOPMENT;DOM (DOMDEV);28;254.5000;0.0000;0.00;10;2545.00
2026-07-27;11:00:00;DOM-DEVELOPMENT;DOM (DOMDEV);29;254.5000;0.0000;0.00;1;254.50
2026-07-27;11:01:00;DOM-DEVELOPMENT;DOM (DOMDEV);30;254.5000;0.0000;0.00;14;3563.00
2026-07-27;11:02:00;DOM-DEVELOPMENT;DOM (DOMDEV);31;254.5000;0.0000;0.00;1;254.50
2026-07-27;11:12:00;DOM-DEVELOPMENT;DOM (DOMDEV);32;255.0000;0.5000;0.20;50;12749.50
2026-07-27;11:18:00;DOM-DEVELOPMENT;DOM (DOMDEV);33;254.5000;0.0000;0.00;11;2799.50
2026-07-27;11:21:00;DOM-DEVELOPMENT;DOM (DOMDEV);34;255.0000;0.5000;0.20;5;1274.50
2026-07-27;11:23:00;DOM-DEVELOPMENT;DOM (DOMDEV);35;253.5000;-0.5000;-0.20;43;10906.00
2026-07-27;11:25:00;DOM-DEVELOPMENT;DOM (DOMDEV);36;255.0000;0.5000;0.20;34;8662.50
2026-07-27;11:26:00;DOM-DEVELOPMENT;DOM (DOMDEV);37;255.0000;0.0000;0.00;19;4845.00
2026-07-27;11:40:00;DOM-DEVELOPMENT;DOM (DOMDEV);38;255.5000;0.0000;0.00;1;255.50
2026-07-27;11:42:00;DOM-DEVELOPMENT;DOM (DOMDEV);39;254.5000;0.0000;0.00;35;8907.50
2026-07-27;11:45:00;DOM-DEVELOPMENT;DOM (DOMDEV);40;255.0000;0.5000;0.20;12;3057.50
2026-07-27;11:48:00;DOM-DEVELOPMENT;DOM (DOMDEV);41;254.0000;0.0000;0.00;1;254.00
2026-07-27;11:49:00;DOM-DEVELOPMENT;DOM (DOMDEV);42;254.5000;0.0000;0.00;11;2799.50
2026-07-27;11:51:00;DOM-DEVELOPMENT;DOM (DOMDEV);43;254.5000;0.0000;0.00;3;763.50
2026-07-27;11:54:00;DOM-DEVELOPMENT;DOM (DOMDEV);44;255.0000;0.5000;0.20;52;13251.00
2026-07-27;11:59:00;DOM-DEVELOPMENT;DOM (DOMDEV);45;256.0000;0.0000;0.00;10;2560.00
2026-07-27;12:01:00;DOM-DEVELOPMENT;DOM (DOMDEV);46;256.0000;0.0000;0.00;4;1024.00
2026-07-27;12:02:00;DOM-DEVELOPMENT;DOM (DOMDEV);47;255.0000;0.0000;0.00;4;1020.00
2026-07-27;12:05:00;DOM-DEVELOPMENT;DOM (DOMDEV);48;256.0000;0.0000;0.00;11;2816.00
2026-07-27;12:07:00;DOM-DEVELOPMENT;DOM (DOMDEV);49;256.0000;0.0000;0.00;1;256.00
2026-07-27;12:11:00;DOM-DEVELOPMENT;DOM (DOMDEV);50;255.0000;0.0000;0.00;5;1275.00
2026-07-27;12:20:00;DOM-DEVELOPMENT;DOM (DOMDEV);51;255.0000;0.0000;0.00;21;5355.00
2026-07-27;12:21:00;DOM-DEVELOPMENT;DOM (DOMDEV);52;256.0000;0.0000;0.00;1;256.00
2026-07-27;12:34:00;DOM-DEVELOPMENT;DOM (DOMDEV);53;255.0000;0.0000;0.00;6;1530.00
2026-07-27;12:35:00;DOM-DEVELOPMENT;DOM (DOMDEV);54;254.5000;-0.5000;-0.20;10;2546.00
2026-07-27;12:42:00;DOM-DEVELOPMENT;DOM (DOMDEV);55;254.5000;0.0000;0.00;4;1018.00
2026-07-27;12:46:00;DOM-DEVELOPMENT;DOM (DOMDEV);56;255.0000;-0.5000;-0.20;14;3575.50
2026-07-27;12:54:00;DOM-DEVELOPMENT;DOM (DOMDEV);57;254.5000;0.0000;0.00;14;3563.00
2026-07-27;12:55:00;DOM-DEVELOPMENT;DOM (DOMDEV);58;254.5000;-0.5000;-0.20;28;7134.50
2026-07-27;13:14:00;DOM-DEVELOPMENT;DOM (DOMDEV);59;254.5000;0.0000;0.00;21;5342.00
2026-07-27;13:33:00;DOM-DEVELOPMENT;DOM (DOMDEV);60;254.5000;-0.5000;-0.20;17;4329.50
2026-07-27;13:34:00;DOM-DEVELOPMENT;DOM (DOMDEV);61;255.0000;-0.5000;-0.20;6;1532.00
2026-07-27;13:36:00;DOM-DEVELOPMENT;DOM (DOMDEV);62;255.5000;0.0000;0.00;1;255.50
2026-07-27;13:58:00;DOM-DEVELOPMENT;DOM (DOMDEV);63;254.5000;0.0000;0.00;7;1781.50
2026-07-27;14:02:00;DOM-DEVELOPMENT;DOM (DOMDEV);64;253.5000;-0.5000;-0.20;25;6348.00
2026-07-27;14:03:00;DOM-DEVELOPMENT;DOM (DOMDEV);65;254.5000;0.5000;0.20;21;5339.00
2026-07-27;14:13:00;DOM-DEVELOPMENT;DOM (DOMDEV);66;254.0000;0.0000;0.00;11;2794.00
2026-07-27;14:15:00;DOM-DEVELOPMENT;DOM (DOMDEV);67;254.5000;0.5000;0.20;4;1016.50
2026-07-27;14:16:00;DOM-DEVELOPMENT;DOM (DOMDEV);68;254.5000;0.0000;0.00;1;254.50
2026-07-27;14:19:00;DOM-DEVELOPMENT;DOM (DOMDEV);69;254.5000;0.0000;0.00;21;5344.50
2026-07-27;14:28:00;DOM-DEVELOPMENT;DOM (DOMDEV);70;254.0000;0.0000;0.00;24;6096.00
2026-07-27;14:35:00;DOM-DEVELOPMENT;DOM (DOMDEV);71;254.0000;0.0000;0.00;1;254.00
2026-07-27;14:42:00;DOM-DEVELOPMENT;DOM (DOMDEV);72;255.0000;0.0000;0.00;30;7650.00
2026-07-27;14:44:00;DOM-DEVELOPMENT;DOM (DOMDEV);73;254.5000;-0.5000;-0.20;12;3054.50
2026-07-27;14:46:00;DOM-DEVELOPMENT;DOM (DOMDEV);74;254.5000;0.0000;0.00;3;763.50
2026-07-27;14:59:00;DOM-DEVELOPMENT;DOM (DOMDEV);75;254.5000;0.0000;0.00;11;2799.50
2026-07-27;15:00:00;DOM-DEVELOPMENT;DOM (DOMDEV);76;254.5000;0.0000;0.00;3;763.50
2026-07-27;15:18:00;DOM-DEVELOPMENT;DOM (DOMDEV);77;254.5000;0.0000;0.00;14;3563.00
2026-07-27;15:19:00;DOM-DEVELOPMENT;DOM (DOMDEV);78;254.5000;0.0000;0.00;2;509.00
2026-07-27;15:34:00;DOM-DEVELOPMENT;DOM (DOMDEV);79;253.5000;-0.5000;-0.20;12;3046.50
2026-07-27;15:45:00;DOM-DEVELOPMENT;DOM (DOMDEV);80;255.0000;0.0000;0.00;16;4080.00
2026-07-27;15:47:00;DOM-DEVELOPMENT;DOM (DOMDEV);81;253.5000;0.0000;0.00;7;1774.50
2026-07-27;15:49:00;DOM-DEVELOPMENT;DOM (DOMDEV);82;254.0000;0.0000;0.00;5;1270.00
2026-07-27;15:59:00;DOM-DEVELOPMENT;DOM (DOMDEV);83;254.0000;0.0000;0.00;4;1016.00
2026-07-27;16:02:00;DOM-DEVELOPMENT;DOM (DOMDEV);84;254.0000;0.0000;0.00;55;13970.00
2026-07-27;16:06:00;DOM-DEVELOPMENT;DOM (DOMDEV);85;254.0000;0.0000;0.00;13;3302.00
2026-07-27;16:08:00;DOM-DEVELOPMENT;DOM (DOMDEV);86;254.5000;0.5000;0.20;51;12976.00
2026-07-27;16:10:00;DOM-DEVELOPMENT;DOM (DOMDEV);87;255.0000;0.0000;0.00;15;3825.00
2026-07-27;16:20:00;DOM-DEVELOPMENT;DOM (DOMDEV);88;254.0000;0.0000;0.00;26;6604.00
2026-07-27;16:21:00;DOM-DEVELOPMENT;DOM (DOMDEV);89;254.0000;0.0000;0.00;1;254.00
2026-07-27;16:41:00;DOM-DEVELOPMENT;DOM (DOMDEV);90;255.0000;-0.5000;-0.20;8;2040.50
2026-07-27;16:42:00;DOM-DEVELOPMENT;DOM (DOMDEV);91;254.5000;0.0000;0.00;2;509.00
2026-07-27;16:44:00;DOM-DEVELOPMENT;DOM (DOMDEV);92;254.0000;-0.5000;-0.20;44;11180.50
2026-07-27;16:46:00;DOM-DEVELOPMENT;DOM (DOMDEV);93;255.0000;0.0000;0.00;74;18868.00
2026-07-27;16:47:00;DOM-DEVELOPMENT;DOM (DOMDEV);94;254.0000;0.0000;0.00;16;4064.00
2026-07-27;17:00:00;DOM-DEVELOPMENT;DOM (DOMDEV);95;256.5000;0.0000;0.00;216;55404.00
