Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;DVL;DVL (DEVELIA);1;10.7200;0.0000;0.00;546;5853.12
2026-07-15;09:03:00;DVL;DVL (DEVELIA);2;10.7000;0.0000;0.00;50;535.00
2026-07-15;09:05:00;DVL;DVL (DEVELIA);3;10.7000;0.0000;0.00;276;2953.20
2026-07-15;09:08:00;DVL;DVL (DEVELIA);4;10.7400;0.0000;0.00;3;32.22
2026-07-15;09:09:00;DVL;DVL (DEVELIA);5;10.7400;0.0000;0.00;4;42.96
2026-07-15;09:10:00;DVL;DVL (DEVELIA);6;10.7200;0.0000;0.00;1;10.72
2026-07-15;09:16:00;DVL;DVL (DEVELIA);7;10.7200;0.0000;0.00;50;536.00
2026-07-15;09:18:00;DVL;DVL (DEVELIA);8;10.7200;0.0000;0.00;4;42.88
2026-07-15;09:20:00;DVL;DVL (DEVELIA);9;10.7200;0.0000;0.00;104;1114.88
2026-07-15;09:24:00;DVL;DVL (DEVELIA);10;10.7200;0.0000;0.00;341;3655.52
2026-07-15;09:27:00;DVL;DVL (DEVELIA);11;10.7400;0.0000;0.00;504;5412.96
2026-07-15;09:30:00;DVL;DVL (DEVELIA);12;10.7600;0.0400;0.37;14;150.44
2026-07-15;09:31:00;DVL;DVL (DEVELIA);13;10.7600;0.0000;0.00;417;4486.92
2026-07-15;09:35:00;DVL;DVL (DEVELIA);14;10.7800;0.0000;0.00;20;215.60
2026-07-15;09:38:00;DVL;DVL (DEVELIA);15;10.7600;0.0000;0.00;100;1076.00
2026-07-15;09:39:00;DVL;DVL (DEVELIA);16;10.7800;0.0000;0.00;750;8085.00
2026-07-15;09:40:00;DVL;DVL (DEVELIA);17;10.7800;0.0000;0.00;420;4527.60
2026-07-15;09:43:00;DVL;DVL (DEVELIA);18;10.7800;0.0000;0.00;645;6953.10
2026-07-15;09:46:00;DVL;DVL (DEVELIA);19;10.7800;0.0000;0.00;249;2684.22
2026-07-15;09:50:00;DVL;DVL (DEVELIA);20;10.8000;0.0000;0.00;3;32.40
2026-07-15;09:51:00;DVL;DVL (DEVELIA);21;10.7800;-0.0200;-0.19;603;6500.44
2026-07-15;09:52:00;DVL;DVL (DEVELIA);22;10.7800;0.0000;0.00;170;1832.60
2026-07-15;09:54:00;DVL;DVL (DEVELIA);23;10.8000;0.0000;0.00;2;21.60
2026-07-15;09:57:00;DVL;DVL (DEVELIA);24;10.8200;0.0200;0.19;5564;60092.60
2026-07-15;09:58:00;DVL;DVL (DEVELIA);25;10.8400;0.0200;0.18;100;1083.40
2026-07-15;09:59:00;DVL;DVL (DEVELIA);26;10.8000;0.0000;0.00;50;540.00
2026-07-15;10:03:00;DVL;DVL (DEVELIA);27;10.8400;0.0000;0.00;46;498.64
2026-07-15;10:04:00;DVL;DVL (DEVELIA);28;10.8200;-0.0200;-0.18;538;5821.18
2026-07-15;10:05:00;DVL;DVL (DEVELIA);29;10.8200;0.0000;0.00;1;10.82
2026-07-15;10:06:00;DVL;DVL (DEVELIA);30;10.8000;-0.0400;-0.37;6435;69623.06
2026-07-15;10:07:00;DVL;DVL (DEVELIA);31;10.7800;0.0000;0.00;1093;11782.54
2026-07-15;10:10:00;DVL;DVL (DEVELIA);32;10.7600;-0.0200;-0.19;21;225.98
2026-07-15;10:11:00;DVL;DVL (DEVELIA);33;10.7600;0.0000;0.00;3;32.28
