Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-21;09:00:00;EAT;EAT (AMREST);1;10.3000;-0.1400;-1.34;2;20.74
2026-07-21;09:08:00;EAT;EAT (AMREST);2;10.4000;0.0200;0.19;3268;33977.80
2026-07-21;09:10:00;EAT;EAT (AMREST);3;10.4400;0.0200;0.19;200;2084.60
2026-07-21;09:28:00;EAT;EAT (AMREST);4;10.4000;0.0000;0.00;10;104.00
2026-07-21;09:33:00;EAT;EAT (AMREST);5;10.4000;0.0000;0.00;92;956.80
2026-07-21;09:41:00;EAT;EAT (AMREST);6;10.4400;0.0000;0.00;1;10.44
2026-07-21;09:43:00;EAT;EAT (AMREST);7;10.4800;0.0400;0.38;4631;48382.34
2026-07-21;09:45:00;EAT;EAT (AMREST);8;10.4400;0.0000;0.00;643;6712.92
2026-07-21;09:49:00;EAT;EAT (AMREST);9;10.4200;0.0000;0.00;94;979.48
2026-07-21;09:52:00;EAT;EAT (AMREST);10;10.4400;0.0200;0.19;674;7030.68
2026-07-21;09:53:00;EAT;EAT (AMREST);11;10.4800;0.0000;0.00;6;62.88
2026-07-21;09:55:00;EAT;EAT (AMREST);12;10.5000;0.0800;0.77;216;2267.84
2026-07-21;09:57:00;EAT;EAT (AMREST);13;10.4800;0.0000;0.00;492;5156.16
2026-07-21;09:58:00;EAT;EAT (AMREST);14;10.5200;0.0000;0.00;17;178.84
2026-07-21;10:01:00;EAT;EAT (AMREST);15;10.4800;0.0000;0.00;359;3762.32
2026-07-21;10:04:00;EAT;EAT (AMREST);16;10.4800;0.0000;0.00;3;31.44
2026-07-21;10:19:00;EAT;EAT (AMREST);17;10.4800;0.0000;0.00;973;10197.04
2026-07-21;10:20:00;EAT;EAT (AMREST);18;10.4400;0.0000;0.00;19;198.36
2026-07-21;10:26:00;EAT;EAT (AMREST);19;10.4400;0.0000;0.00;557;5815.08
2026-07-21;10:27:00;EAT;EAT (AMREST);20;10.4200;0.0000;0.00;53;552.26
2026-07-21;10:35:00;EAT;EAT (AMREST);21;10.4400;0.0200;0.19;214;2234.14
2026-07-21;10:41:00;EAT;EAT (AMREST);22;10.4400;0.0000;0.00;350;3654.00
2026-07-21;10:45:00;EAT;EAT (AMREST);23;10.4600;0.0000;0.00;105;1098.30
2026-07-21;10:46:00;EAT;EAT (AMREST);24;10.4600;0.0200;0.19;175;1829.76
2026-07-21;10:48:00;EAT;EAT (AMREST);25;10.4600;0.0000;0.00;10;104.60
2026-07-21;10:50:00;EAT;EAT (AMREST);26;10.4400;0.0000;0.00;435;4541.40
2026-07-21;10:54:00;EAT;EAT (AMREST);27;10.4800;0.0200;0.19;200;2092.38
2026-07-21;10:55:00;EAT;EAT (AMREST);28;10.4800;0.0000;0.00;550;5764.00
2026-07-21;10:56:00;EAT;EAT (AMREST);29;10.4200;0.0000;0.00;80;833.60
2026-07-21;11:12:00;EAT;EAT (AMREST);30;10.4200;0.0000;0.00;1;10.42
2026-07-21;11:13:00;EAT;EAT (AMREST);31;10.4200;0.0000;0.00;1;10.42
2026-07-21;11:16:00;EAT;EAT (AMREST);32;10.4800;0.0000;0.00;2;20.96
2026-07-21;11:19:00;EAT;EAT (AMREST);33;10.4800;0.0000;0.00;2;20.96
2026-07-21;11:20:00;EAT;EAT (AMREST);34;10.4800;0.0600;0.58;1598;16651.44
2026-07-21;12:11:00;EAT;EAT (AMREST);35;10.4800;0.0400;0.38;220;2297.04
2026-07-21;12:13:00;EAT;EAT (AMREST);36;10.4200;0.0000;0.00;1;10.42
2026-07-21;12:51:00;EAT;EAT (AMREST);37;10.4600;0.0400;0.38;799;8325.94
2026-07-21;13:11:00;EAT;EAT (AMREST);38;10.4600;0.0600;0.58;1070;11128.54
2026-07-21;13:28:00;EAT;EAT (AMREST);39;10.4000;0.0000;0.00;38;395.20
2026-07-21;14:02:00;EAT;EAT (AMREST);40;10.4600;0.0400;0.38;1507;15756.02
2026-07-21;14:05:00;EAT;EAT (AMREST);41;10.4800;0.0000;0.00;64;670.72
2026-07-21;14:07:00;EAT;EAT (AMREST);42;10.4800;0.0000;0.00;97;1016.56
2026-07-21;14:09:00;EAT;EAT (AMREST);43;10.4800;0.0600;0.58;779;8117.84
2026-07-21;14:10:00;EAT;EAT (AMREST);44;10.4800;0.0000;0.00;10;104.80
2026-07-21;14:29:00;EAT;EAT (AMREST);45;10.4600;0.0000;0.00;100;1046.00
2026-07-21;14:49:00;EAT;EAT (AMREST);46;10.4000;0.0000;0.00;1;10.40
2026-07-21;15:13:00;EAT;EAT (AMREST);47;10.4200;0.0000;0.00;50;521.00
2026-07-21;15:34:00;EAT;EAT (AMREST);48;10.4600;0.0000;0.00;10;104.60
2026-07-21;15:44:00;EAT;EAT (AMREST);49;10.4200;0.0000;0.00;400;4168.00
2026-07-21;15:51:00;EAT;EAT (AMREST);50;10.4400;0.0200;0.19;167;1740.32
2026-07-21;15:52:00;EAT;EAT (AMREST);51;10.4200;0.0000;0.00;10;104.20
2026-07-21;16:01:00;EAT;EAT (AMREST);52;10.4200;-0.0200;-0.19;600;6256.00
2026-07-21;16:10:00;EAT;EAT (AMREST);53;10.4400;0.0200;0.19;38;395.98
2026-07-21;16:11:00;EAT;EAT (AMREST);54;10.4200;0.0000;0.00;105;1094.10
2026-07-21;16:20:00;EAT;EAT (AMREST);55;10.4000;0.0000;0.00;500;5200.00
2026-07-21;16:34:00;EAT;EAT (AMREST);56;10.4000;0.0000;0.00;324;3369.60
2026-07-21;16:42:00;EAT;EAT (AMREST);57;10.3800;0.0000;0.00;164;1702.32
2026-07-21;16:47:00;EAT;EAT (AMREST);58;10.4000;0.0200;0.19;246;2558.08
2026-07-21;16:48:00;EAT;EAT (AMREST);59;10.4000;0.0000;0.00;325;3380.00
2026-07-21;17:00:00;EAT;EAT (AMREST);60;10.4800;0.0000;0.00;8251;86470.48
