Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-11;09:00:00;ECHO-INVESTMENT;ECH (ECHO);1;5.4800;0.0000;0.00;369;2022.12
2026-09-11;09:17:00;ECHO-INVESTMENT;ECH (ECHO);2;5.4500;0.0000;0.00;101;550.45
2026-09-11;09:21:00;ECHO-INVESTMENT;ECH (ECHO);3;5.4500;0.0000;0.00;35;190.75
2026-09-11;09:24:00;ECHO-INVESTMENT;ECH (ECHO);4;5.4500;0.0000;0.00;100;545.00
2026-09-11;10:37:00;ECHO-INVESTMENT;ECH (ECHO);5;5.2700;0.0000;0.00;85;447.95
2026-09-11;10:44:00;ECHO-INVESTMENT;ECH (ECHO);6;5.3400;0.0700;1.33;220;1159.75
2026-09-11;11:05:00;ECHO-INVESTMENT;ECH (ECHO);7;5.4000;0.0000;0.00;1;5.40
2026-09-11;13:15:00;ECHO-INVESTMENT;ECH (ECHO);8;5.3900;0.0000;0.00;8;43.12
2026-09-11;13:27:00;ECHO-INVESTMENT;ECH (ECHO);9;5.3400;0.0000;0.00;39;208.26
2026-09-11;14:19:00;ECHO-INVESTMENT;ECH (ECHO);10;5.3400;0.0000;0.00;41;218.94
2026-09-11;14:36:00;ECHO-INVESTMENT;ECH (ECHO);11;5.3900;0.0000;0.00;4;21.56
2026-09-11;14:42:00;ECHO-INVESTMENT;ECH (ECHO);12;5.3900;0.0000;0.00;6;32.34
2026-09-11;14:43:00;ECHO-INVESTMENT;ECH (ECHO);13;5.3800;0.0000;0.00;4;21.52
2026-09-11;14:44:00;ECHO-INVESTMENT;ECH (ECHO);14;5.3000;-0.0400;-0.75;1158;6161.23
2026-09-11;15:27:00;ECHO-INVESTMENT;ECH (ECHO);15;5.3800;0.0000;0.00;760;4088.80
2026-09-11;15:36:00;ECHO-INVESTMENT;ECH (ECHO);16;5.3800;-0.0100;-0.19;61;328.38
2026-09-11;15:49:00;ECHO-INVESTMENT;ECH (ECHO);17;5.3800;0.0000;0.00;199;1070.62
