Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-17;09:00:00;ED-INVEST;EDI (EDINVEST);1;8.0200;0.0000;0.00;1050;8421.00
2026-08-17;09:03:00;ED-INVEST;EDI (EDINVEST);2;8.2800;0.0000;0.00;25;207.00
2026-08-17;09:04:00;ED-INVEST;EDI (EDINVEST);3;8.0200;0.0000;0.00;70;561.40
2026-08-17;09:59:00;ED-INVEST;EDI (EDINVEST);4;8.2600;0.0000;0.00;2;16.52
2026-08-17;12:28:00;ED-INVEST;EDI (EDINVEST);5;8.2600;0.0000;0.00;2;16.52
2026-08-17;13:01:00;ED-INVEST;EDI (EDINVEST);6;8.0800;0.0000;0.00;2;16.16
2026-08-17;13:34:00;ED-INVEST;EDI (EDINVEST);7;8.2600;0.0000;0.00;14;115.64
2026-08-17;14:00:00;ED-INVEST;EDI (EDINVEST);8;8.2400;0.0000;0.00;150;1236.00
2026-08-17;14:53:00;ED-INVEST;EDI (EDINVEST);9;8.2400;0.0000;0.00;100;824.00
2026-08-17;16:42:00;ED-INVEST;EDI (EDINVEST);10;8.2400;0.0000;0.00;1;8.24
2026-08-17;17:00:00;ED-INVEST;EDI (EDINVEST);11;8.2800;0.0000;0.00;70;579.60
