Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-04;09:00:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);1;19.9400;0.0000;0.00;29;578.26
2026-09-04;10:07:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);2;19.4400;0.0000;0.00;8;155.52
2026-09-04;11:06:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);3;19.9400;0.0000;0.00;1;19.94
2026-09-04;11:27:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);4;19.9400;0.0000;0.00;50;997.00
2026-09-04;11:34:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);5;19.8000;0.0000;0.00;5;99.00
2026-09-04;11:35:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);6;19.8000;0.0000;0.00;5;99.00
2026-09-04;11:42:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);7;19.9400;0.0000;0.00;3;59.82
2026-09-04;11:44:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);8;19.9400;0.0000;0.00;20;398.80
2026-09-04;11:49:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);9;19.8000;0.0000;0.00;188;3722.40
2026-09-04;11:50:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);10;19.9400;0.0000;0.00;1;19.94
2026-09-04;15:56:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);11;20.0000;0.0600;0.30;1000;19973.08
2026-09-04;15:57:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);12;20.0000;0.0000;0.00;390;7800.00
2026-09-04;16:48:00;ELEKTROCIEPLOWNIA-BEDZIN;ECB (ECBSA);13;19.9600;0.0000;0.00;5;99.80
