Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-19;09:00:00;ELEKTROTIM;ELT (ELEKTROTI);1;66.0000;0.3500;0.53;293;19246.60
2026-08-19;09:01:00;ELEKTROTIM;ELT (ELEKTROTI);2;66.1000;0.4500;0.69;90;5935.50
2026-08-19;09:02:00;ELEKTROTIM;ELT (ELEKTROTI);3;66.6500;0.5000;0.76;214;14258.65
2026-08-19;09:03:00;ELEKTROTIM;ELT (ELEKTROTI);4;66.5500;-0.1500;-0.22;62;4124.65
2026-08-19;09:05:00;ELEKTROTIM;ELT (ELEKTROTI);5;66.4500;0.0000;0.00;13;863.85
2026-08-19;09:06:00;ELEKTROTIM;ELT (ELEKTROTI);6;66.4000;-0.0500;-0.08;9;597.85
2026-08-19;09:08:00;ELEKTROTIM;ELT (ELEKTROTI);7;65.9000;0.0000;0.00;3;197.70
2026-08-19;09:09:00;ELEKTROTIM;ELT (ELEKTROTI);8;65.9000;0.0000;0.00;20;1318.00
2026-08-19;09:10:00;ELEKTROTIM;ELT (ELEKTROTI);9;65.9000;0.0000;0.00;15;988.50
2026-08-19;09:11:00;ELEKTROTIM;ELT (ELEKTROTI);10;65.7000;0.0000;0.00;1;65.70
2026-08-19;09:13:00;ELEKTROTIM;ELT (ELEKTROTI);11;65.8000;0.0000;0.00;1;65.80
2026-08-19;09:14:00;ELEKTROTIM;ELT (ELEKTROTI);12;65.8000;0.0000;0.00;10;658.00
2026-08-19;09:15:00;ELEKTROTIM;ELT (ELEKTROTI);13;65.8000;0.0000;0.00;82;5384.05
2026-08-19;09:16:00;ELEKTROTIM;ELT (ELEKTROTI);14;66.0000;0.2000;0.30;13;855.60
2026-08-19;09:18:00;ELEKTROTIM;ELT (ELEKTROTI);15;65.8000;-0.1500;-0.23;19;1252.45
2026-08-19;09:19:00;ELEKTROTIM;ELT (ELEKTROTI);16;65.9000;0.0000;0.00;1;65.90
2026-08-19;09:20:00;ELEKTROTIM;ELT (ELEKTROTI);17;66.0000;0.0500;0.08;20;1319.50
