Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-09;09:00:00;ENA;ENA (ENEA);1;22.8600;0.1000;0.44;22728;517789.48
2026-09-09;09:01:00;ENA;ENA (ENEA);2;22.7800;-0.0800;-0.35;627;14325.22
2026-09-09;09:02:00;ENA;ENA (ENEA);3;22.9000;0.1200;0.53;654;14949.80
2026-09-09;09:03:00;ENA;ENA (ENEA);4;22.8800;0.0000;0.00;3333;76090.52
2026-09-09;09:04:00;ENA;ENA (ENEA);5;22.9000;0.1000;0.44;2434;55686.12
2026-09-09;09:05:00;ENA;ENA (ENEA);6;22.8800;0.0000;0.00;800;18271.08
2026-09-09;09:06:00;ENA;ENA (ENEA);7;22.8200;-0.0800;-0.35;941;21539.50
2026-09-09;09:07:00;ENA;ENA (ENEA);8;22.8000;-0.0400;-0.18;2166;49418.62
2026-09-09;09:08:00;ENA;ENA (ENEA);9;22.7400;-0.0600;-0.26;2549;58049.04
2026-09-09;09:09:00;ENA;ENA (ENEA);10;22.8000;0.0000;0.00;195;4444.00
2026-09-09;09:10:00;ENA;ENA (ENEA);11;22.7400;0.0000;0.00;101;2296.80
2026-09-09;09:11:00;ENA;ENA (ENEA);12;22.7200;-0.0800;-0.35;316;7180.16
2026-09-09;09:12:00;ENA;ENA (ENEA);13;22.7000;0.0000;0.00;1857;42153.90
2026-09-09;09:13:00;ENA;ENA (ENEA);14;22.6200;-0.0400;-0.18;8806;199489.96
2026-09-09;09:14:00;ENA;ENA (ENEA);15;22.6200;-0.0200;-0.09;250;5655.56
2026-09-09;09:15:00;ENA;ENA (ENEA);16;22.5800;-0.0200;-0.09;4379;98916.02
2026-09-09;09:16:00;ENA;ENA (ENEA);17;22.6800;0.1000;0.44;4278;96847.26
2026-09-09;09:17:00;ENA;ENA (ENEA);18;22.6600;0.0000;0.00;1161;26347.36
2026-09-09;09:18:00;ENA;ENA (ENEA);19;22.6800;0.0200;0.09;197;4457.36
2026-09-09;09:19:00;ENA;ENA (ENEA);20;22.6400;-0.0400;-0.18;1099;24895.82
2026-09-09;09:20:00;ENA;ENA (ENEA);21;22.6400;0.0000;0.00;617;13968.88
2026-09-09;09:21:00;ENA;ENA (ENEA);22;22.6400;-0.0400;-0.18;766;17365.80
2026-09-09;09:22:00;ENA;ENA (ENEA);23;22.5800;-0.0800;-0.35;1206;27252.42
2026-09-09;09:23:00;ENA;ENA (ENEA);24;22.6800;0.0000;0.00;256;5804.46
2026-09-09;09:24:00;ENA;ENA (ENEA);25;22.6400;0.0200;0.09;679;15370.94
2026-09-09;09:25:00;ENA;ENA (ENEA);26;22.6400;0.0600;0.27;1917;43385.88
2026-09-09;09:26:00;ENA;ENA (ENEA);27;22.6200;-0.0400;-0.18;260;5886.18
2026-09-09;09:27:00;ENA;ENA (ENEA);28;22.6400;0.0200;0.09;649;14697.82
2026-09-09;09:28:00;ENA;ENA (ENEA);29;22.6000;-0.0200;-0.09;1896;42868.66
2026-09-09;09:29:00;ENA;ENA (ENEA);30;22.6200;0.0200;0.09;708;16010.96
2026-09-09;09:30:00;ENA;ENA (ENEA);31;22.5600;-0.0400;-0.18;3412;76993.84
2026-09-09;09:31:00;ENA;ENA (ENEA);32;22.4400;-0.0800;-0.36;12101;272237.28
2026-09-09;09:32:00;ENA;ENA (ENEA);33;22.3000;-0.1400;-0.62;10048;224918.78
2026-09-09;09:33:00;ENA;ENA (ENEA);34;22.3000;-0.0800;-0.36;3748;83710.02
2026-09-09;09:34:00;ENA;ENA (ENEA);35;22.3400;0.0400;0.18;693;15486.76
2026-09-09;09:35:00;ENA;ENA (ENEA);36;22.3000;-0.0400;-0.18;390;8698.82
2026-09-09;09:36:00;ENA;ENA (ENEA);37;22.2400;-0.1200;-0.54;771;17165.82
2026-09-09;09:37:00;ENA;ENA (ENEA);38;22.3000;-0.0600;-0.27;2356;52648.32
2026-09-09;09:38:00;ENA;ENA (ENEA);39;22.4000;0.1000;0.45;3120;69852.08
2026-09-09;09:39:00;ENA;ENA (ENEA);40;22.3800;-0.0800;-0.36;1406;31474.64
2026-09-09;09:40:00;ENA;ENA (ENEA);41;22.4600;0.0400;0.18;1558;34931.36
2026-09-09;09:41:00;ENA;ENA (ENEA);42;22.4200;0.0000;0.00;60;1345.20
2026-09-09;09:42:00;ENA;ENA (ENEA);43;22.4600;0.0400;0.18;742;16652.14
2026-09-09;09:43:00;ENA;ENA (ENEA);44;22.5600;0.1200;0.53;2765;62139.96
2026-09-09;09:44:00;ENA;ENA (ENEA);45;22.5400;0.0400;0.18;7142;161115.66
2026-09-09;09:45:00;ENA;ENA (ENEA);46;22.5200;0.0000;0.00;1500;33780.00
2026-09-09;09:47:00;ENA;ENA (ENEA);47;22.5000;-0.0800;-0.35;4793;107918.68
2026-09-09;09:49:00;ENA;ENA (ENEA);48;22.5000;0.0800;0.36;2845;63956.44
2026-09-09;09:50:00;ENA;ENA (ENEA);49;22.5400;0.0000;0.00;2;45.08
2026-09-09;09:51:00;ENA;ENA (ENEA);50;22.5000;-0.0400;-0.18;817;18384.50
2026-09-09;09:52:00;ENA;ENA (ENEA);51;22.4000;-0.0600;-0.27;2125;47652.96
2026-09-09;09:53:00;ENA;ENA (ENEA);52;22.4000;0.0000;0.00;51;1142.40
2026-09-09;09:54:00;ENA;ENA (ENEA);53;22.3600;-0.0400;-0.18;2138;47896.00
2026-09-09;09:55:00;ENA;ENA (ENEA);54;22.3200;0.0000;0.00;160;3579.20
2026-09-09;09:56:00;ENA;ENA (ENEA);55;22.4200;0.1000;0.45;1164;26088.48
2026-09-09;09:57:00;ENA;ENA (ENEA);56;22.4400;0.0800;0.36;238;5324.72
2026-09-09;09:58:00;ENA;ENA (ENEA);57;22.5400;0.1000;0.45;1102;24743.38
2026-09-09;09:59:00;ENA;ENA (ENEA);58;22.5400;0.0000;0.00;39;879.06
2026-09-09;10:00:00;ENA;ENA (ENEA);59;22.4400;0.0000;0.00;25;562.84
2026-09-09;10:01:00;ENA;ENA (ENEA);60;22.4600;0.0200;0.09;5;112.22
2026-09-09;10:03:00;ENA;ENA (ENEA);61;22.5200;0.0000;0.00;592;13331.84
2026-09-09;10:04:00;ENA;ENA (ENEA);62;22.5800;0.0400;0.18;875;19699.00
2026-09-09;10:05:00;ENA;ENA (ENEA);63;22.5400;0.0600;0.27;2477;55663.38
2026-09-09;10:07:00;ENA;ENA (ENEA);64;22.5400;0.0400;0.18;37;832.86
2026-09-09;10:08:00;ENA;ENA (ENEA);65;22.5000;0.0000;0.00;89;2002.50
2026-09-09;10:09:00;ENA;ENA (ENEA);66;22.6000;0.0200;0.09;8000;180778.80
2026-09-09;10:10:00;ENA;ENA (ENEA);67;22.5000;-0.0600;-0.27;26;586.32
2026-09-09;10:11:00;ENA;ENA (ENEA);68;22.5000;0.0000;0.00;350;7875.00
2026-09-09;10:12:00;ENA;ENA (ENEA);69;22.5600;0.0000;0.00;577;13017.12
2026-09-09;10:13:00;ENA;ENA (ENEA);70;22.5200;-0.0800;-0.35;1406;31666.08
2026-09-09;10:15:00;ENA;ENA (ENEA);71;22.4800;-0.0400;-0.18;1918;43175.82
2026-09-09;10:16:00;ENA;ENA (ENEA);72;22.4600;0.0000;0.00;3924;88155.28
2026-09-09;10:17:00;ENA;ENA (ENEA);73;22.4400;-0.0600;-0.27;201;4511.64
2026-09-09;10:19:00;ENA;ENA (ENEA);74;22.4200;-0.0200;-0.09;2915;65384.42
2026-09-09;10:20:00;ENA;ENA (ENEA);75;22.3400;-0.0600;-0.27;451;10080.14
2026-09-09;10:21:00;ENA;ENA (ENEA);76;22.3400;0.0000;0.00;1083;24195.22
2026-09-09;10:22:00;ENA;ENA (ENEA);77;22.3400;0.0000;0.00;3;67.02
2026-09-09;10:23:00;ENA;ENA (ENEA);78;22.3400;0.0000;0.00;1057;23639.40
2026-09-09;10:24:00;ENA;ENA (ENEA);79;22.2400;-0.1000;-0.45;9405;209673.98
2026-09-09;10:25:00;ENA;ENA (ENEA);80;22.3800;0.0600;0.27;6871;152985.12
2026-09-09;10:27:00;ENA;ENA (ENEA);81;22.3000;-0.0800;-0.36;3370;75271.74
2026-09-09;10:28:00;ENA;ENA (ENEA);82;22.2800;0.0000;0.00;80;1782.40
2026-09-09;10:29:00;ENA;ENA (ENEA);83;22.2400;-0.0200;-0.09;694;15436.42
2026-09-09;10:30:00;ENA;ENA (ENEA);84;22.2400;-0.0200;-0.09;173;3850.82
2026-09-09;10:31:00;ENA;ENA (ENEA);85;22.2600;0.0200;0.09;878;19537.96
2026-09-09;10:32:00;ENA;ENA (ENEA);86;22.2600;0.0000;0.00;1046;23283.96
2026-09-09;10:33:00;ENA;ENA (ENEA);87;22.2400;-0.0200;-0.09;905;20145.18
2026-09-09;10:34:00;ENA;ENA (ENEA);88;22.2400;0.0000;0.00;15;333.60
2026-09-09;10:35:00;ENA;ENA (ENEA);89;22.2600;-0.0800;-0.36;714;15893.80
2026-09-09;10:36:00;ENA;ENA (ENEA);90;22.3200;0.0600;0.27;38;845.94
2026-09-09;10:37:00;ENA;ENA (ENEA);91;22.2000;-0.0600;-0.27;2481;55181.36
2026-09-09;10:38:00;ENA;ENA (ENEA);92;22.2000;0.0000;0.00;1112;24686.40
2026-09-09;10:39:00;ENA;ENA (ENEA);93;22.1200;-0.0800;-0.36;1090;24136.70
2026-09-09;10:40:00;ENA;ENA (ENEA);94;22.0400;-0.1000;-0.45;4362;96307.62
2026-09-09;10:41:00;ENA;ENA (ENEA);95;22.0400;0.0000;0.00;46;1013.84
2026-09-09;10:42:00;ENA;ENA (ENEA);96;21.9200;-0.1200;-0.54;5876;129401.56
2026-09-09;10:43:00;ENA;ENA (ENEA);97;22.0000;-0.0400;-0.18;2379;52418.84
2026-09-09;10:45:00;ENA;ENA (ENEA);98;22.0000;-0.0800;-0.36;3050;67224.00
2026-09-09;10:46:00;ENA;ENA (ENEA);99;22.0200;-0.1000;-0.45;47;1039.54
2026-09-09;10:47:00;ENA;ENA (ENEA);100;22.0200;0.0000;0.00;50;1101.00
2026-09-09;10:48:00;ENA;ENA (ENEA);101;22.0800;0.0600;0.27;27;596.04
2026-09-09;10:49:00;ENA;ENA (ENEA);102;22.0000;-0.0200;-0.09;1237;27223.76
2026-09-09;10:50:00;ENA;ENA (ENEA);103;21.9200;-0.0400;-0.18;610;13387.66
2026-09-09;10:51:00;ENA;ENA (ENEA);104;21.9800;0.0000;0.00;9211;202205.50
2026-09-09;10:52:00;ENA;ENA (ENEA);105;21.9200;0.0200;0.09;2192;48010.30
2026-09-09;10:53:00;ENA;ENA (ENEA);106;22.0000;0.0600;0.27;13564;298222.94
2026-09-09;10:54:00;ENA;ENA (ENEA);107;21.9600;0.0000;0.00;411;9041.56
2026-09-09;10:55:00;ENA;ENA (ENEA);108;21.9800;0.0200;0.09;16;351.44
2026-09-09;10:57:00;ENA;ENA (ENEA);109;22.0000;-0.0400;-0.18;71;1562.24
2026-09-09;10:58:00;ENA;ENA (ENEA);110;21.9400;-0.0400;-0.18;1602;35188.28
2026-09-09;10:59:00;ENA;ENA (ENEA);111;21.9800;0.0400;0.18;560;12295.02
2026-09-09;11:00:00;ENA;ENA (ENEA);112;21.9400;-0.0400;-0.18;1160;25484.60
2026-09-09;11:02:00;ENA;ENA (ENEA);113;22.0000;0.0600;0.27;3;65.88
2026-09-09;11:03:00;ENA;ENA (ENEA);114;21.9800;-0.0200;-0.09;931;20464.04
2026-09-09;11:04:00;ENA;ENA (ENEA);115;21.9400;-0.0200;-0.09;418;9178.52
2026-09-09;11:05:00;ENA;ENA (ENEA);116;22.0200;0.0400;0.18;739;16258.94
2026-09-09;11:07:00;ENA;ENA (ENEA);117;21.9600;-0.0400;-0.18;501;11021.96
2026-09-09;11:08:00;ENA;ENA (ENEA);118;22.0200;0.0200;0.09;1408;30988.06
2026-09-09;11:09:00;ENA;ENA (ENEA);119;22.0400;0.0600;0.27;7;154.04
2026-09-09;11:10:00;ENA;ENA (ENEA);120;22.0600;0.0200;0.09;133;2932.98
2026-09-09;11:13:00;ENA;ENA (ENEA);121;22.0600;0.0000;0.00;1542;34016.52
2026-09-09;11:14:00;ENA;ENA (ENEA);122;22.0600;-0.0200;-0.09;343;7572.94
2026-09-09;11:15:00;ENA;ENA (ENEA);123;22.1000;0.0400;0.18;6191;136577.88
2026-09-09;11:16:00;ENA;ENA (ENEA);124;22.0400;0.0000;0.00;1000;22040.00
2026-09-09;11:18:00;ENA;ENA (ENEA);125;22.1000;0.0000;0.00;1;22.10
2026-09-09;11:19:00;ENA;ENA (ENEA);126;22.0800;0.0000;0.00;5;110.40
2026-09-09;11:20:00;ENA;ENA (ENEA);127;22.0000;-0.0400;-0.18;8932;196668.80
2026-09-09;11:21:00;ENA;ENA (ENEA);128;21.9800;0.0000;0.00;75;1648.50
2026-09-09;11:22:00;ENA;ENA (ENEA);129;22.0200;0.0200;0.09;94;2067.24
2026-09-09;11:23:00;ENA;ENA (ENEA);130;22.0000;0.0000;0.00;269;5918.00
2026-09-09;11:24:00;ENA;ENA (ENEA);131;22.0200;0.0000;0.00;164;3611.28
2026-09-09;11:25:00;ENA;ENA (ENEA);132;22.0000;-0.0200;-0.09;107;2355.16
2026-09-09;11:26:00;ENA;ENA (ENEA);133;22.0000;0.0000;0.00;1134;24948.00
2026-09-09;11:27:00;ENA;ENA (ENEA);134;21.9600;-0.0200;-0.09;729;16023.38
2026-09-09;11:29:00;ENA;ENA (ENEA);135;21.9200;-0.0400;-0.18;2011;44159.56
2026-09-09;11:30:00;ENA;ENA (ENEA);136;21.9800;0.0400;0.18;530;11624.36
2026-09-09;11:31:00;ENA;ENA (ENEA);137;21.9200;0.0000;0.00;22;482.24
2026-09-09;11:32:00;ENA;ENA (ENEA);138;21.9600;-0.0200;-0.09;215;4723.94
2026-09-09;11:34:00;ENA;ENA (ENEA);139;21.9800;0.0200;0.09;873;19175.04
2026-09-09;11:35:00;ENA;ENA (ENEA);140;22.0200;0.0200;0.09;832;18304.02
2026-09-09;11:36:00;ENA;ENA (ENEA);141;21.9600;0.0000;0.00;99;2174.36
2026-09-09;11:37:00;ENA;ENA (ENEA);142;21.9600;0.0000;0.00;131;2876.76
2026-09-09;11:38:00;ENA;ENA (ENEA);143;21.9600;0.0000;0.00;1;21.96
2026-09-09;11:40:00;ENA;ENA (ENEA);144;21.9600;0.0000;0.00;22;483.12
2026-09-09;11:41:00;ENA;ENA (ENEA);145;22.0400;0.0400;0.18;1516;33355.00
2026-09-09;11:44:00;ENA;ENA (ENEA);146;21.9800;-0.0200;-0.09;1935;42569.92
2026-09-09;11:46:00;ENA;ENA (ENEA);147;22.0200;0.0000;0.00;30;660.60
2026-09-09;11:47:00;ENA;ENA (ENEA);148;21.9800;0.0200;0.09;962;21143.44
2026-09-09;11:48:00;ENA;ENA (ENEA);149;21.9400;-0.0400;-0.18;2466;54173.34
2026-09-09;11:49:00;ENA;ENA (ENEA);150;21.9200;-0.0200;-0.09;17852;390600.76
2026-09-09;11:51:00;ENA;ENA (ENEA);151;21.8200;0.0000;0.00;2;43.64
2026-09-09;11:53:00;ENA;ENA (ENEA);152;21.9200;0.0400;0.18;1694;37089.92
2026-09-09;11:54:00;ENA;ENA (ENEA);153;21.9800;0.1000;0.46;28;612.94
2026-09-09;11:58:00;ENA;ENA (ENEA);154;21.9800;0.0000;0.00;95;2088.10
2026-09-09;11:59:00;ENA;ENA (ENEA);155;21.9800;0.0400;0.18;27;593.38
2026-09-09;12:00:00;ENA;ENA (ENEA);156;21.9400;-0.0600;-0.27;201;4414.32
2026-09-09;12:01:00;ENA;ENA (ENEA);157;22.0000;0.0600;0.27;3;65.88
2026-09-09;12:04:00;ENA;ENA (ENEA);158;22.0000;0.0000;0.00;16;352.00
2026-09-09;12:05:00;ENA;ENA (ENEA);159;21.9400;0.0000;0.00;9;197.46
2026-09-09;12:06:00;ENA;ENA (ENEA);160;22.0000;0.0000;0.00;446;9812.00
2026-09-09;12:09:00;ENA;ENA (ENEA);161;22.0000;0.0000;0.00;100;2200.00
2026-09-09;12:14:00;ENA;ENA (ENEA);162;21.9000;-0.0400;-0.18;1229;26962.06
2026-09-09;12:16:00;ENA;ENA (ENEA);163;21.9000;0.0000;0.00;55;1204.50
2026-09-09;12:17:00;ENA;ENA (ENEA);164;21.9600;0.0600;0.27;559;12275.40
2026-09-09;12:18:00;ENA;ENA (ENEA);165;21.8600;-0.0400;-0.18;1379;30185.74
2026-09-09;12:21:00;ENA;ENA (ENEA);166;21.9400;0.0200;0.09;1046;22929.38
2026-09-09;12:22:00;ENA;ENA (ENEA);167;21.9600;0.0000;0.00;100;2196.00
2026-09-09;12:24:00;ENA;ENA (ENEA);168;21.9400;0.0000;0.00;45;987.30
2026-09-09;12:30:00;ENA;ENA (ENEA);169;21.9000;0.0000;0.00;740;16206.00
2026-09-09;12:33:00;ENA;ENA (ENEA);170;21.8600;-0.0400;-0.18;1531;33528.82
2026-09-09;12:34:00;ENA;ENA (ENEA);171;21.8600;0.0000;0.00;20;437.20
2026-09-09;12:35:00;ENA;ENA (ENEA);172;21.8400;-0.0200;-0.09;11360;248302.40
2026-09-09;12:38:00;ENA;ENA (ENEA);173;21.9200;0.0000;0.00;114;2498.88
2026-09-09;12:39:00;ENA;ENA (ENEA);174;21.8200;0.0000;0.00;400;8728.00
2026-09-09;12:40:00;ENA;ENA (ENEA);175;21.8200;0.0000;0.00;744;16234.08
2026-09-09;12:43:00;ENA;ENA (ENEA);176;21.8800;0.0000;0.00;500;10940.00
2026-09-09;12:44:00;ENA;ENA (ENEA);177;21.8200;0.0000;0.00;875;19092.50
2026-09-09;12:45:00;ENA;ENA (ENEA);178;21.8400;0.0200;0.09;4781;104282.08
2026-09-09;12:46:00;ENA;ENA (ENEA);179;21.8400;0.0000;0.00;48;1048.32
2026-09-09;12:47:00;ENA;ENA (ENEA);180;21.8000;0.0200;0.09;2850;62109.80
2026-09-09;12:48:00;ENA;ENA (ENEA);181;21.8400;0.0200;0.09;7184;156917.66
2026-09-09;12:49:00;ENA;ENA (ENEA);182;21.9000;0.1000;0.46;4089;89407.84
2026-09-09;12:50:00;ENA;ENA (ENEA);183;21.9400;0.0000;0.00;32;702.08
2026-09-09;12:51:00;ENA;ENA (ENEA);184;21.9200;0.0000;0.00;1;21.92
2026-09-09;12:52:00;ENA;ENA (ENEA);185;21.8800;-0.0400;-0.18;72;1577.52
2026-09-09;12:54:00;ENA;ENA (ENEA);186;21.9200;0.0400;0.18;1009;22117.24
2026-09-09;12:55:00;ENA;ENA (ENEA);187;21.9400;0.0000;0.00;100;2194.00
2026-09-09;12:56:00;ENA;ENA (ENEA);188;21.9600;0.0400;0.18;6691;146731.90
2026-09-09;12:58:00;ENA;ENA (ENEA);189;21.9600;0.0000;0.00;849;18644.04
2026-09-09;12:59:00;ENA;ENA (ENEA);190;21.9600;0.0000;0.00;559;12275.64
2026-09-09;13:00:00;ENA;ENA (ENEA);191;21.9800;0.0000;0.00;42;923.16
