Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-24;09:00:00;ENEL-MED;ENE (ENELMED);1;19.2000;0.0000;0.00;5;96.00
2026-07-24;09:37:00;ENEL-MED;ENE (ENELMED);2;18.8000;-0.4000;-2.08;104;1994.20
2026-07-24;11:57:00;ENEL-MED;ENE (ENELMED);3;19.2000;0.0000;0.00;6;115.20
2026-07-24;11:58:00;ENEL-MED;ENE (ENELMED);4;19.4000;0.0000;0.00;276;5354.40
2026-07-24;11:59:00;ENEL-MED;ENE (ENELMED);5;19.4000;0.0000;0.00;6;116.40
2026-07-24;12:00:00;ENEL-MED;ENE (ENELMED);6;19.6000;0.2000;1.03;409;8015.60
2026-07-24;12:02:00;ENEL-MED;ENE (ENELMED);7;19.8000;0.1000;0.51;84;1662.30
2026-07-24;12:05:00;ENEL-MED;ENE (ENELMED);8;20.0000;0.0000;0.00;5;100.00
2026-07-24;12:06:00;ENEL-MED;ENE (ENELMED);9;20.0000;0.0000;0.00;95;1900.00
2026-07-24;12:30:00;ENEL-MED;ENE (ENELMED);10;19.9000;0.0000;0.00;5;99.50
2026-07-24;12:36:00;ENEL-MED;ENE (ENELMED);11;18.8000;-0.6000;-3.09;26;496.00
2026-07-24;12:41:00;ENEL-MED;ENE (ENELMED);12;19.6000;0.4000;2.08;18;349.20
2026-07-24;12:50:00;ENEL-MED;ENE (ENELMED);13;19.9000;0.0000;0.00;148;2945.20
2026-07-24;14:13:00;ENEL-MED;ENE (ENELMED);14;19.5000;0.0000;0.00;139;2710.50
2026-07-24;14:35:00;ENEL-MED;ENE (ENELMED);15;19.5000;0.0000;0.00;1;19.50
2026-07-24;14:36:00;ENEL-MED;ENE (ENELMED);16;19.4000;0.0000;0.00;3;58.20
2026-07-24;15:39:00;ENEL-MED;ENE (ENELMED);17;19.4000;0.0000;0.00;2;38.80
2026-07-24;16:18:00;ENEL-MED;ENE (ENELMED);18;19.4000;0.0000;0.00;138;2677.20
2026-07-24;17:00:00;ENEL-MED;ENE (ENELMED);19;19.6000;0.0000;0.00;2;39.20
