Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-28;09:00:00;ENERGA;ENG (ENERGA);1;19.1800;0.0000;0.00;1002;19218.36
2026-07-28;09:34:00;ENERGA;ENG (ENERGA);2;19.2400;0.0000;0.00;15;288.60
2026-07-28;09:46:00;ENERGA;ENG (ENERGA);3;19.1800;0.0000;0.00;5;95.90
2026-07-28;10:12:00;ENERGA;ENG (ENERGA);4;19.2400;0.0000;0.00;70;1346.80
2026-07-28;10:14:00;ENERGA;ENG (ENERGA);5;19.2400;0.0000;0.00;170;3270.80
2026-07-28;11:42:00;ENERGA;ENG (ENERGA);6;19.1800;0.0000;0.00;80;1534.40
2026-07-28;11:44:00;ENERGA;ENG (ENERGA);7;19.1800;0.0000;0.00;2000;38360.00
2026-07-28;11:50:00;ENERGA;ENG (ENERGA);8;19.1800;0.0000;0.00;3270;62718.60
2026-07-28;11:52:00;ENERGA;ENG (ENERGA);9;19.1800;0.0000;0.00;2000;38360.00
2026-07-28;12:41:00;ENERGA;ENG (ENERGA);10;19.2000;0.0000;0.00;1;19.20
2026-07-28;12:45:00;ENERGA;ENG (ENERGA);11;19.1800;0.0000;0.00;200;3836.00
2026-07-28;12:47:00;ENERGA;ENG (ENERGA);12;19.2000;0.0000;0.00;1;19.20
2026-07-28;12:59:00;ENERGA;ENG (ENERGA);13;19.1800;0.0000;0.00;620;11891.60
2026-07-28;13:02:00;ENERGA;ENG (ENERGA);14;19.1800;0.0000;0.00;220;4219.60
2026-07-28;13:12:00;ENERGA;ENG (ENERGA);15;19.1800;0.0000;0.00;5923;113603.14
2026-07-28;13:13:00;ENERGA;ENG (ENERGA);16;19.1800;0.0000;0.00;1666;31953.88
2026-07-28;13:30:00;ENERGA;ENG (ENERGA);17;19.1800;0.0000;0.00;6184;118609.12
2026-07-28;13:32:00;ENERGA;ENG (ENERGA);18;19.1800;0.0000;0.00;198;3797.64
2026-07-28;14:22:00;ENERGA;ENG (ENERGA);19;19.1800;0.0000;0.00;120;2301.60
2026-07-28;14:25:00;ENERGA;ENG (ENERGA);20;19.1800;0.0000;0.00;180;3452.40
2026-07-28;14:31:00;ENERGA;ENG (ENERGA);21;19.1800;0.0000;0.00;7297;139956.46
2026-07-28;14:56:00;ENERGA;ENG (ENERGA);22;19.1800;0.0000;0.00;120;2301.60
2026-07-28;15:03:00;ENERGA;ENG (ENERGA);23;19.2000;0.0000;0.00;115;2208.00
2026-07-28;15:08:00;ENERGA;ENG (ENERGA);24;19.2000;0.0000;0.00;259;4972.80
2026-07-28;16:12:00;ENERGA;ENG (ENERGA);25;19.1800;0.0000;0.00;13;249.34
2026-07-28;16:16:00;ENERGA;ENG (ENERGA);26;19.1800;0.0000;0.00;1047;20081.46
2026-07-28;17:00:00;ENERGA;ENG (ENERGA);27;19.1800;0.0000;0.00;20;383.60
