Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-10;09:00:00;ENERGOINSTAL;ENI (ENERGOINS);1;1.8550;0.0000;0.00;50;92.75
2026-08-10;09:12:00;ENERGOINSTAL;ENI (ENERGOINS);2;1.8500;0.0000;0.00;27;49.95
2026-08-10;09:20:00;ENERGOINSTAL;ENI (ENERGOINS);3;1.8500;0.0000;0.00;6;11.10
2026-08-10;09:25:00;ENERGOINSTAL;ENI (ENERGOINS);4;1.8000;0.0000;0.00;1;1.80
2026-08-10;09:32:00;ENERGOINSTAL;ENI (ENERGOINS);5;1.8500;0.0000;0.00;32;59.20
2026-08-10;11:07:00;ENERGOINSTAL;ENI (ENERGOINS);6;1.8500;0.0000;0.00;30;55.50
2026-08-10;12:03:00;ENERGOINSTAL;ENI (ENERGOINS);7;1.8500;0.0000;0.00;30;55.50
2026-08-10;12:58:00;ENERGOINSTAL;ENI (ENERGOINS);8;1.8250;0.0000;0.00;1000;1825.01
2026-08-10;13:04:00;ENERGOINSTAL;ENI (ENERGOINS);9;1.8500;0.0000;0.00;30;55.50
2026-08-10;15:13:00;ENERGOINSTAL;ENI (ENERGOINS);10;1.8200;-0.0050;-0.27;460;837.82
2026-08-10;15:58:00;ENERGOINSTAL;ENI (ENERGOINS);11;1.8450;0.0000;0.00;12;22.14
2026-08-10;16:24:00;ENERGOINSTAL;ENI (ENERGOINS);12;1.8200;0.0000;0.00;7;12.74
2026-08-10;16:31:00;ENERGOINSTAL;ENI (ENERGOINS);13;1.8450;0.0000;0.00;10;18.45
2026-08-10;16:39:00;ENERGOINSTAL;ENI (ENERGOINS);14;1.8000;-0.0200;-1.10;700;1263.09
2026-08-10;16:42:00;ENERGOINSTAL;ENI (ENERGOINS);15;1.8450;0.0000;0.00;10;18.45
2026-08-10;16:48:00;ENERGOINSTAL;ENI (ENERGOINS);16;1.8000;-0.0050;-0.28;270;486.49
2026-08-10;16:49:00;ENERGOINSTAL;ENI (ENERGOINS);17;1.8450;0.0000;0.00;10;18.45
2026-08-10;17:00:00;ENERGOINSTAL;ENI (ENERGOINS);18;1.8000;0.0000;0.00;4795;8631.00
