Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;ENT;ENT (ENTER);1;49.3000;0.0000;0.00;173;8528.90
2026-07-15;09:03:00;ENT;ENT (ENTER);2;49.3000;0.0000;0.00;117;5768.10
2026-07-15;09:06:00;ENT;ENT (ENTER);3;49.5000;0.0500;0.10;42;2077.95
2026-07-15;09:09:00;ENT;ENT (ENTER);4;49.5000;0.0000;0.00;3;148.50
2026-07-15;09:12:00;ENT;ENT (ENTER);5;49.5000;0.0000;0.00;60;2970.00
2026-07-15;09:13:00;ENT;ENT (ENTER);6;49.5000;0.0000;0.00;6;297.00
2026-07-15;09:14:00;ENT;ENT (ENTER);7;49.5000;0.0000;0.00;93;4603.50
2026-07-15;09:15:00;ENT;ENT (ENTER);8;49.4000;0.0000;0.00;19;938.60
2026-07-15;09:17:00;ENT;ENT (ENTER);9;49.5000;0.0000;0.00;54;2673.00
2026-07-15;09:23:00;ENT;ENT (ENTER);10;49.4500;0.0500;0.10;55;2709.75
2026-07-15;09:27:00;ENT;ENT (ENTER);11;49.4500;0.0000;0.00;10;494.50
2026-07-15;09:30:00;ENT;ENT (ENTER);12;49.4500;0.0000;0.00;40;1978.00
2026-07-15;09:35:00;ENT;ENT (ENTER);13;49.4500;0.0500;0.10;10;494.45
2026-07-15;09:47:00;ENT;ENT (ENTER);14;49.4500;0.0000;0.00;5;247.25
2026-07-15;09:49:00;ENT;ENT (ENTER);15;49.3000;0.0000;0.00;1;49.30
2026-07-15;09:56:00;ENT;ENT (ENTER);16;49.3000;0.0000;0.00;12;591.60
2026-07-15;10:01:00;ENT;ENT (ENTER);17;49.6000;0.1500;0.30;200;9901.20
2026-07-15;10:03:00;ENT;ENT (ENTER);18;49.5500;0.0000;0.00;30;1486.50
2026-07-15;10:05:00;ENT;ENT (ENTER);19;49.6000;0.0000;0.00;2;99.20
2026-07-15;10:06:00;ENT;ENT (ENTER);20;49.2000;-0.1500;-0.30;48;2366.25
2026-07-15;10:08:00;ENT;ENT (ENTER);21;49.2000;-0.0500;-0.10;43;2117.45
2026-07-15;10:15:00;ENT;ENT (ENTER);22;49.5000;0.0500;0.10;20;989.25
2026-07-15;10:32:00;ENT;ENT (ENTER);23;49.4000;0.0000;0.00;20;988.00
2026-07-15;10:40:00;ENT;ENT (ENTER);24;49.4000;0.0000;0.00;4;197.60
2026-07-15;10:41:00;ENT;ENT (ENTER);25;49.4000;0.0000;0.00;7;345.80
2026-07-15;10:42:00;ENT;ENT (ENTER);26;49.4000;0.0000;0.00;4;197.60
2026-07-15;10:49:00;ENT;ENT (ENTER);27;49.4000;0.0000;0.00;155;7657.00
2026-07-15;10:51:00;ENT;ENT (ENTER);28;49.4000;0.0000;0.00;10;494.00
2026-07-15;10:59:00;ENT;ENT (ENTER);29;49.4000;0.0000;0.00;275;13585.00
2026-07-15;11:02:00;ENT;ENT (ENTER);30;49.4000;0.0000;0.00;65;3211.00
2026-07-15;11:12:00;ENT;ENT (ENTER);31;49.5000;0.0000;0.00;1;49.50
2026-07-15;11:14:00;ENT;ENT (ENTER);32;49.2500;-0.1000;-0.20;309;15233.75
2026-07-15;11:20:00;ENT;ENT (ENTER);33;49.4500;0.0000;0.00;1;49.45
2026-07-15;11:24:00;ENT;ENT (ENTER);34;49.3000;-0.2000;-0.40;2453;120933.10
2026-07-15;11:27:00;ENT;ENT (ENTER);35;49.4500;0.0000;0.00;5;247.25
2026-07-15;11:33:00;ENT;ENT (ENTER);36;49.4500;0.0000;0.00;48;2373.60
2026-07-15;11:35:00;ENT;ENT (ENTER);37;49.4500;0.0000;0.00;1;49.45
2026-07-15;11:37:00;ENT;ENT (ENTER);38;49.3500;0.0000;0.00;200;9870.00
2026-07-15;11:40:00;ENT;ENT (ENTER);39;49.3500;0.0000;0.00;64;3158.40
2026-07-15;11:46:00;ENT;ENT (ENTER);40;49.5000;0.0500;0.10;46;2276.25
2026-07-15;11:52:00;ENT;ENT (ENTER);41;49.2000;-0.0500;-0.10;10;492.20
2026-07-15;11:56:00;ENT;ENT (ENTER);42;49.2000;0.0000;0.00;2;98.40
2026-07-15;11:57:00;ENT;ENT (ENTER);43;49.3000;0.0000;0.00;14;690.20
2026-07-15;11:58:00;ENT;ENT (ENTER);44;49.4500;0.1500;0.30;41;2022.15
2026-07-15;12:00:00;ENT;ENT (ENTER);45;49.4500;0.0000;0.00;3;148.35
2026-07-15;12:05:00;ENT;ENT (ENTER);46;49.4500;0.0000;0.00;10;494.50
2026-07-15;12:06:00;ENT;ENT (ENTER);47;49.5000;0.0500;0.10;24;1187.95
2026-07-15;12:09:00;ENT;ENT (ENTER);48;49.5000;0.0000;0.00;23;1138.50
2026-07-15;12:15:00;ENT;ENT (ENTER);49;49.5000;0.0000;0.00;5;247.50
2026-07-15;12:18:00;ENT;ENT (ENTER);50;49.2000;0.0000;0.00;50;2460.00
2026-07-15;12:25:00;ENT;ENT (ENTER);51;49.4500;0.0000;0.00;148;7318.60
2026-07-15;12:29:00;ENT;ENT (ENTER);52;49.4500;0.0000;0.00;30;1483.50
2026-07-15;12:34:00;ENT;ENT (ENTER);53;49.5000;0.0000;0.00;20;990.00
2026-07-15;12:35:00;ENT;ENT (ENTER);54;49.5000;0.0000;0.00;44;2178.00
2026-07-15;12:37:00;ENT;ENT (ENTER);55;49.5000;0.0000;0.00;1;49.50
2026-07-15;12:39:00;ENT;ENT (ENTER);56;49.5000;0.0000;0.00;100;4950.00
2026-07-15;12:43:00;ENT;ENT (ENTER);57;49.5000;0.0000;0.00;15;742.50
2026-07-15;12:46:00;ENT;ENT (ENTER);58;49.5000;0.0000;0.00;4;198.00
2026-07-15;12:49:00;ENT;ENT (ENTER);59;49.5000;0.0000;0.00;1;49.50
2026-07-15;13:11:00;ENT;ENT (ENTER);60;49.5000;0.0000;0.00;50;2475.00
2026-07-15;13:14:00;ENT;ENT (ENTER);61;49.4500;0.0000;0.00;421;20818.45
