Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-21;09:00:00;EQU;EQU (EQUNICO);1;1.4900;0.0000;0.00;10;14.90
2026-09-21;09:01:00;EQU;EQU (EQUNICO);2;1.4600;-0.0300;-2.01;2150;3143.50
2026-09-21;09:05:00;EQU;EQU (EQUNICO);3;1.4900;0.0000;0.00;100;149.00
2026-09-21;09:20:00;EQU;EQU (EQUNICO);4;1.4900;0.0000;0.00;110;163.90
2026-09-21;09:47:00;EQU;EQU (EQUNICO);5;1.4900;0.0000;0.00;132;196.68
2026-09-21;10:28:00;EQU;EQU (EQUNICO);6;1.4900;0.0000;0.00;15;22.35
2026-09-21;11:16:00;EQU;EQU (EQUNICO);7;1.4900;0.0000;0.00;10;14.90
2026-09-21;12:16:00;EQU;EQU (EQUNICO);8;1.4600;-0.0100;-0.68;1500;2194.08
2026-09-21;12:17:00;EQU;EQU (EQUNICO);9;1.4900;0.0000;0.00;200;298.00
2026-09-21;14:37:00;EQU;EQU (EQUNICO);10;1.4900;0.0000;0.00;6;8.94
2026-09-21;15:13:00;EQU;EQU (EQUNICO);11;1.4600;0.0000;0.00;307;448.22
2026-09-21;15:25:00;EQU;EQU (EQUNICO);12;1.4900;0.0000;0.00;100;149.00
