Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-14;09:00:00;ERBUD;ERB (ERBUD);1;21.6000;0.0000;0.00;1;21.60
2026-09-14;09:03:00;ERBUD;ERB (ERBUD);2;21.5000;0.0000;0.00;17;365.50
2026-09-14;09:41:00;ERBUD;ERB (ERBUD);3;21.6000;0.0000;0.00;5;108.00
2026-09-14;09:54:00;ERBUD;ERB (ERBUD);4;21.6000;0.0000;0.00;62;1339.20
2026-09-14;09:56:00;ERBUD;ERB (ERBUD);5;21.6000;0.0000;0.00;62;1339.20
2026-09-14;09:57:00;ERBUD;ERB (ERBUD);6;21.5500;0.0000;0.00;6;129.30
2026-09-14;10:39:00;ERBUD;ERB (ERBUD);7;21.5000;0.0000;0.00;68;1462.00
2026-09-14;11:00:00;ERBUD;ERB (ERBUD);8;21.5000;0.0000;0.00;463;9954.50
2026-09-14;11:34:00;ERBUD;ERB (ERBUD);9;21.5000;0.0000;0.00;4;86.00
2026-09-14;12:02:00;ERBUD;ERB (ERBUD);10;21.4000;-0.0500;-0.23;43;920.50
2026-09-14;13:00:00;ERBUD;ERB (ERBUD);11;21.4000;0.0000;0.00;140;2996.00
2026-09-14;14:43:00;ERBUD;ERB (ERBUD);12;21.4500;0.0000;0.00;25;536.25
2026-09-14;14:45:00;ERBUD;ERB (ERBUD);13;21.4500;0.0000;0.00;1;21.45
2026-09-14;15:47:00;ERBUD;ERB (ERBUD);14;21.4000;0.0000;0.00;60;1284.00
2026-09-14;16:04:00;ERBUD;ERB (ERBUD);15;21.4500;0.0000;0.00;8;171.60
2026-09-14;17:00:00;ERBUD;ERB (ERBUD);16;21.4000;0.0000;0.00;111;2375.40
