Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-26;09:00:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);1;37.0000;0.0000;0.00;597;22089.00
2026-08-26;09:01:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);2;37.0000;0.0000;0.00;2;74.00
2026-08-26;09:02:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);3;37.0000;0.0000;0.00;1;37.00
2026-08-26;09:03:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);4;37.0000;0.0000;0.00;1;37.00
2026-08-26;09:12:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);5;37.0000;0.0000;0.00;1;37.00
2026-08-26;09:18:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);6;37.0000;0.0000;0.00;100;3700.00
2026-08-26;09:26:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);7;37.0000;0.0000;0.00;2;74.00
2026-08-26;09:29:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);8;37.0000;0.0000;0.00;5;185.00
2026-08-26;09:36:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);9;36.9000;0.0000;0.00;109;4022.10
2026-08-26;09:39:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);10;37.0000;0.0000;0.00;56;2072.00
2026-08-26;09:40:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);11;36.9000;0.0000;0.00;69;2546.10
2026-08-26;09:45:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);12;37.0000;0.1000;0.27;160;5912.50
2026-08-26;09:46:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);13;36.9000;0.0000;0.00;6;221.40
2026-08-26;09:51:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);14;36.9000;0.0000;0.00;19;701.10
2026-08-26;10:02:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);15;37.0000;0.0000;0.00;10;370.00
2026-08-26;10:07:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);16;37.0000;0.0000;0.00;2;74.00
2026-08-26;10:32:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);17;37.0000;0.0000;0.00;44;1628.00
2026-08-26;10:46:00;ESOTIQ-HENDERSON;EAH (ESOTIQ);18;36.9000;0.0000;0.00;69;2546.10
