Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-08;09:00:00;EUROCASH;EUR (EUROCASH);1;5.7000;-0.0150;-0.26;7665;43802.47
2026-09-08;09:01:00;EUROCASH;EUR (EUROCASH);2;5.6650;-0.0250;-0.44;2107;11981.47
2026-09-08;09:05:00;EUROCASH;EUR (EUROCASH);3;5.7150;0.0000;0.00;27;154.31
2026-09-08;09:06:00;EUROCASH;EUR (EUROCASH);4;5.7050;0.0000;0.00;1199;6840.30
2026-09-08;09:07:00;EUROCASH;EUR (EUROCASH);5;5.7150;0.0000;0.00;2686;15350.49
2026-09-08;09:08:00;EUROCASH;EUR (EUROCASH);6;5.6800;-0.0400;-0.70;851;4870.79
2026-09-08;09:09:00;EUROCASH;EUR (EUROCASH);7;5.7100;-0.0300;-0.52;1666;9563.00
2026-09-08;09:12:00;EUROCASH;EUR (EUROCASH);8;5.7200;0.0000;0.00;5;28.60
2026-09-08;09:14:00;EUROCASH;EUR (EUROCASH);9;5.7200;0.0000;0.00;5;28.60
2026-09-08;09:16:00;EUROCASH;EUR (EUROCASH);10;5.7250;0.0100;0.17;1120;6410.80
2026-09-08;09:18:00;EUROCASH;EUR (EUROCASH);11;5.7100;0.0000;0.00;1000;5710.00
2026-09-08;09:19:00;EUROCASH;EUR (EUROCASH);12;5.7300;0.0000;0.00;5;28.65
2026-09-08;09:22:00;EUROCASH;EUR (EUROCASH);13;5.7150;0.0050;0.09;2585;14765.35
2026-09-08;09:24:00;EUROCASH;EUR (EUROCASH);14;5.7300;0.0100;0.17;2145;12280.85
2026-09-08;09:25:00;EUROCASH;EUR (EUROCASH);15;5.7300;0.0100;0.17;53;303.19
2026-09-08;09:26:00;EUROCASH;EUR (EUROCASH);16;5.7650;0.0350;0.61;9665;55591.40
2026-09-08;09:27:00;EUROCASH;EUR (EUROCASH);17;5.7900;0.0300;0.52;11070;64182.33
2026-09-08;09:28:00;EUROCASH;EUR (EUROCASH);18;5.8050;0.0150;0.26;12420;72405.64
2026-09-08;09:29:00;EUROCASH;EUR (EUROCASH);19;5.8100;0.0000;0.00;950;5519.50
