Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-10;09:00:00;EUROHOLD-BULGARIA;EHG (EUROHOLD);1;5.0500;0.0000;0.00;95;479.75
2026-09-10;09:09:00;EUROHOLD-BULGARIA;EHG (EUROHOLD);2;5.0500;0.0000;0.00;215;1085.75
2026-09-10;09:11:00;EUROHOLD-BULGARIA;EHG (EUROHOLD);3;5.0500;0.0000;0.00;185;934.25
2026-09-10;09:56:00;EUROHOLD-BULGARIA;EHG (EUROHOLD);4;5.0000;0.0000;0.00;200;1000.00
2026-09-10;10:19:00;EUROHOLD-BULGARIA;EHG (EUROHOLD);5;4.9400;0.0000;0.00;22;108.68
2026-09-10;10:49:00;EUROHOLD-BULGARIA;EHG (EUROHOLD);6;4.9400;0.0000;0.00;33;163.02
2026-09-10;14:19:00;EUROHOLD-BULGARIA;EHG (EUROHOLD);7;5.0500;0.0500;1.00;200;1003.00
2026-09-10;14:39:00;EUROHOLD-BULGARIA;EHG (EUROHOLD);8;5.0500;0.0000;0.00;665;3358.25
2026-09-10;15:04:00;EUROHOLD-BULGARIA;EHG (EUROHOLD);9;5.0500;0.0000;0.00;21;106.05
2026-09-10;17:00:00;EUROHOLD-BULGARIA;EHG (EUROHOLD);10;5.4500;0.0000;0.00;6;32.70
