Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-17;09:00:00;EUROTEL;ETL (EUROTEL);1;30.9000;0.0000;0.00;208;6427.20
2026-07-17;09:11:00;EUROTEL;ETL (EUROTEL);2;30.9000;0.0000;0.00;73;2255.70
2026-07-17;09:18:00;EUROTEL;ETL (EUROTEL);3;30.8000;0.0000;0.00;57;1755.60
2026-07-17;09:20:00;EUROTEL;ETL (EUROTEL);4;30.8000;0.0000;0.00;150;4620.00
2026-07-17;09:21:00;EUROTEL;ETL (EUROTEL);5;30.8000;0.0000;0.00;18;554.40
2026-07-17;09:26:00;EUROTEL;ETL (EUROTEL);6;30.8000;0.0000;0.00;1;30.80
2026-07-17;09:31:00;EUROTEL;ETL (EUROTEL);7;30.9000;0.0000;0.00;200;6180.00
2026-07-17;09:39:00;EUROTEL;ETL (EUROTEL);8;30.9000;0.0000;0.00;40;1236.00
2026-07-17;09:41:00;EUROTEL;ETL (EUROTEL);9;31.0000;0.0000;0.00;9;279.00
2026-07-17;09:44:00;EUROTEL;ETL (EUROTEL);10;30.9000;0.0000;0.00;20;618.00
2026-07-17;10:42:00;EUROTEL;ETL (EUROTEL);11;31.0500;0.0000;0.00;61;1894.05
2026-07-17;11:16:00;EUROTEL;ETL (EUROTEL);12;31.0500;0.0000;0.00;150;4657.50
2026-07-17;11:25:00;EUROTEL;ETL (EUROTEL);13;31.0500;0.0000;0.00;186;5775.30
2026-07-17;11:34:00;EUROTEL;ETL (EUROTEL);14;31.0500;0.0000;0.00;49;1521.45
2026-07-17;11:44:00;EUROTEL;ETL (EUROTEL);15;31.0500;0.0000;0.00;41;1273.05
2026-07-17;11:59:00;EUROTEL;ETL (EUROTEL);16;31.0000;-0.0500;-0.16;60;1861.00
2026-07-17;12:53:00;EUROTEL;ETL (EUROTEL);17;31.0000;0.0000;0.00;100;3100.00
2026-07-17;13:12:00;EUROTEL;ETL (EUROTEL);18;31.0000;0.0000;0.00;127;3937.00
2026-07-17;13:19:00;EUROTEL;ETL (EUROTEL);19;31.1000;0.0000;0.00;6;186.60
2026-07-17;13:38:00;EUROTEL;ETL (EUROTEL);20;30.8000;0.0000;0.00;105;3234.00
2026-07-17;14:22:00;EUROTEL;ETL (EUROTEL);21;31.0000;0.0000;0.00;71;2201.00
2026-07-17;14:28:00;EUROTEL;ETL (EUROTEL);22;31.0000;0.0000;0.00;20;620.00
2026-07-17;14:29:00;EUROTEL;ETL (EUROTEL);23;31.0000;0.0000;0.00;8;248.00
2026-07-17;14:38:00;EUROTEL;ETL (EUROTEL);24;31.0000;0.0000;0.00;50;1550.00
2026-07-17;14:51:00;EUROTEL;ETL (EUROTEL);25;31.0000;0.0000;0.00;2;62.00
2026-07-17;15:07:00;EUROTEL;ETL (EUROTEL);26;31.0000;0.0000;0.00;73;2263.00
2026-07-17;15:09:00;EUROTEL;ETL (EUROTEL);27;31.1000;0.0000;0.00;135;4198.50
2026-07-17;15:25:00;EUROTEL;ETL (EUROTEL);28;31.0000;0.0000;0.00;30;930.00
2026-07-17;15:35:00;EUROTEL;ETL (EUROTEL);29;31.0000;0.0000;0.00;16;496.00
2026-07-17;15:55:00;EUROTEL;ETL (EUROTEL);30;30.9000;-0.1000;-0.32;110;3404.20
2026-07-17;16:05:00;EUROTEL;ETL (EUROTEL);31;30.9000;0.0000;0.00;150;4635.00
2026-07-17;16:29:00;EUROTEL;ETL (EUROTEL);32;30.9000;0.0000;0.00;14;432.60
2026-07-17;17:00:00;EUROTEL;ETL (EUROTEL);33;30.9000;0.0000;0.00;34;1050.60
