Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-07;09:00:00;FAB;FAB (FABRITY);1;27.0000;0.0000;0.00;133;3591.00
2026-09-07;09:01:00;FAB;FAB (FABRITY);2;27.1000;0.0000;0.00;19;514.90
2026-09-07;09:04:00;FAB;FAB (FABRITY);3;27.0000;0.0000;0.00;19;513.00
2026-09-07;09:18:00;FAB;FAB (FABRITY);4;26.5000;0.0000;0.00;20;530.00
2026-09-07;09:21:00;FAB;FAB (FABRITY);5;26.5000;0.0000;0.00;2;53.00
2026-09-07;09:23:00;FAB;FAB (FABRITY);6;26.5000;0.0000;0.00;2;53.00
2026-09-07;09:35:00;FAB;FAB (FABRITY);7;26.5000;0.0000;0.00;454;12031.00
2026-09-07;09:56:00;FAB;FAB (FABRITY);8;26.1000;0.0000;0.00;1;26.10
2026-09-07;10:23:00;FAB;FAB (FABRITY);9;26.5000;0.0000;0.00;20;530.00
2026-09-07;12:27:00;FAB;FAB (FABRITY);10;26.5000;0.0000;0.00;100;2650.00
2026-09-07;12:55:00;FAB;FAB (FABRITY);11;26.5000;0.0000;0.00;1;26.50
2026-09-07;13:31:00;FAB;FAB (FABRITY);12;26.4000;0.0000;0.00;75;1980.00
2026-09-07;14:27:00;FAB;FAB (FABRITY);13;26.4000;0.0000;0.00;5;132.00
2026-09-07;15:18:00;FAB;FAB (FABRITY);14;26.1000;-0.3000;-1.14;50;1309.50
2026-09-07;16:48:00;FAB;FAB (FABRITY);15;26.5000;0.0000;0.00;10;265.00
