Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-01;09:00:00;FEERUM;FEE (FEERUM);1;16.5000;0.0000;0.00;20;330.00
2026-09-01;09:01:00;FEERUM;FEE (FEERUM);2;16.5000;0.0000;0.00;2;33.00
2026-09-01;09:07:00;FEERUM;FEE (FEERUM);3;16.5000;0.0000;0.00;2;33.00
2026-09-01;09:09:00;FEERUM;FEE (FEERUM);4;16.5000;0.3500;2.17;99326;1638839.05
2026-09-01;09:12:00;FEERUM;FEE (FEERUM);5;17.3500;0.0000;0.00;1;17.35
2026-09-01;11:33:00;FEERUM;FEE (FEERUM);6;16.8000;0.0000;0.00;100;1680.00
2026-09-01;12:42:00;FEERUM;FEE (FEERUM);7;17.3500;0.1000;0.58;721;12500.15
2026-09-01;12:47:00;FEERUM;FEE (FEERUM);8;17.4500;0.0500;0.29;107;1864.80
2026-09-01;12:48:00;FEERUM;FEE (FEERUM);9;17.6000;0.0000;0.00;43;756.80
2026-09-01;13:11:00;FEERUM;FEE (FEERUM);10;17.0000;0.0000;0.00;390;6630.00
2026-09-01;13:26:00;FEERUM;FEE (FEERUM);11;17.5000;0.0000;0.00;9;157.50
2026-09-01;16:44:00;FEERUM;FEE (FEERUM);12;16.7500;0.0000;0.00;37;619.75
2026-09-01;17:00:00;FEERUM;FEE (FEERUM);13;17.4500;0.0000;0.00;1;17.45
