Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-20;09:00:00;FERRO;FRO (FERRO);1;33.2000;0.0000;0.00;546;18127.20
2026-07-20;09:03:00;FERRO;FRO (FERRO);2;33.2000;0.0000;0.00;68;2257.60
2026-07-20;09:04:00;FERRO;FRO (FERRO);3;33.2000;0.0000;0.00;2;66.40
2026-07-20;09:07:00;FERRO;FRO (FERRO);4;33.2000;0.0000;0.00;4;132.80
2026-07-20;09:10:00;FERRO;FRO (FERRO);5;33.0000;0.0000;0.00;5;165.00
2026-07-20;09:13:00;FERRO;FRO (FERRO);6;33.2000;0.0000;0.00;10;332.00
2026-07-20;09:24:00;FERRO;FRO (FERRO);7;33.2000;0.0000;0.00;2;66.40
2026-07-20;09:25:00;FERRO;FRO (FERRO);8;33.2000;0.0000;0.00;13;431.60
2026-07-20;09:26:00;FERRO;FRO (FERRO);9;33.2000;0.2000;0.61;84;2776.00
2026-07-20;09:39:00;FERRO;FRO (FERRO);10;33.2000;0.0000;0.00;10;332.00
2026-07-20;09:45:00;FERRO;FRO (FERRO);11;33.2000;0.0000;0.00;25;830.00
2026-07-20;09:46:00;FERRO;FRO (FERRO);12;33.2000;0.0000;0.00;1;33.20
2026-07-20;09:58:00;FERRO;FRO (FERRO);13;33.2000;0.0000;0.00;2;66.40
2026-07-20;10:02:00;FERRO;FRO (FERRO);14;33.3000;0.1000;0.30;75;2491.60
2026-07-20;10:29:00;FERRO;FRO (FERRO);15;33.3000;0.0000;0.00;150;4995.00
2026-07-20;10:44:00;FERRO;FRO (FERRO);16;33.3000;0.0000;0.00;1;33.30
2026-07-20;10:56:00;FERRO;FRO (FERRO);17;33.3000;0.0000;0.00;1;33.30
2026-07-20;11:04:00;FERRO;FRO (FERRO);18;33.0000;0.0000;0.00;60;1980.00
2026-07-20;11:27:00;FERRO;FRO (FERRO);19;33.2000;0.0000;0.00;15;498.00
2026-07-20;12:20:00;FERRO;FRO (FERRO);20;33.2000;0.0000;0.00;9;298.80
2026-07-20;12:23:00;FERRO;FRO (FERRO);21;33.3000;0.0000;0.00;24;799.20
2026-07-20;12:24:00;FERRO;FRO (FERRO);22;33.3000;0.0000;0.00;79;2630.70
2026-07-20;12:29:00;FERRO;FRO (FERRO);23;33.3000;0.0000;0.00;232;7725.60
2026-07-20;12:33:00;FERRO;FRO (FERRO);24;33.3000;0.0000;0.00;20;666.00
2026-07-20;12:38:00;FERRO;FRO (FERRO);25;33.4000;0.0000;0.00;2;66.80
2026-07-20;12:41:00;FERRO;FRO (FERRO);26;33.6000;0.2000;0.60;449;15038.60
2026-07-20;12:43:00;FERRO;FRO (FERRO);27;33.4000;0.0000;0.00;1;33.40
2026-07-20;12:45:00;FERRO;FRO (FERRO);28;33.8000;0.2000;0.60;812;27357.60
2026-07-20;12:46:00;FERRO;FRO (FERRO);29;33.8000;0.0000;0.00;60;2028.00
2026-07-20;13:18:00;FERRO;FRO (FERRO);30;33.5000;0.0000;0.00;25;837.50
2026-07-20;13:19:00;FERRO;FRO (FERRO);31;33.5000;0.0000;0.00;3;100.50
2026-07-20;13:26:00;FERRO;FRO (FERRO);32;33.5000;0.0000;0.00;15;502.50
2026-07-20;13:28:00;FERRO;FRO (FERRO);33;33.5000;0.0000;0.00;20;670.00
2026-07-20;13:37:00;FERRO;FRO (FERRO);34;33.7000;0.0000;0.00;25;842.50
2026-07-20;13:51:00;FERRO;FRO (FERRO);35;33.3000;-0.2000;-0.60;210;7007.20
2026-07-20;14:31:00;FERRO;FRO (FERRO);36;33.3000;0.0000;0.00;31;1032.30
2026-07-20;14:39:00;FERRO;FRO (FERRO);37;33.2000;0.0000;0.00;6;199.20
2026-07-20;14:47:00;FERRO;FRO (FERRO);38;33.3000;0.0000;0.00;31;1032.30
2026-07-20;14:52:00;FERRO;FRO (FERRO);39;33.3000;0.0000;0.00;4;133.20
2026-07-20;14:54:00;FERRO;FRO (FERRO);40;33.3000;0.0000;0.00;6;199.80
2026-07-20;14:55:00;FERRO;FRO (FERRO);41;33.3000;0.0000;0.00;5;166.50
2026-07-20;14:59:00;FERRO;FRO (FERRO);42;33.3000;0.0000;0.00;20;666.00
2026-07-20;15:00:00;FERRO;FRO (FERRO);43;33.3000;0.0000;0.00;153;5094.90
2026-07-20;15:04:00;FERRO;FRO (FERRO);44;33.5000;0.0000;0.00;1;33.50
2026-07-20;15:05:00;FERRO;FRO (FERRO);45;33.3000;0.0000;0.00;300;9990.00
2026-07-20;15:15:00;FERRO;FRO (FERRO);46;33.3000;0.0000;0.00;13;432.90
2026-07-20;15:25:00;FERRO;FRO (FERRO);47;33.3000;0.0000;0.00;87;2897.10
2026-07-20;15:36:00;FERRO;FRO (FERRO);48;33.4000;0.0000;0.00;30;1002.00
2026-07-20;15:41:00;FERRO;FRO (FERRO);49;33.5000;0.1000;0.30;400;13395.60
2026-07-20;15:59:00;FERRO;FRO (FERRO);50;33.5000;0.0000;0.00;4;134.00
2026-07-20;16:00:00;FERRO;FRO (FERRO);51;33.2000;0.0000;0.00;10;332.00
2026-07-20;16:17:00;FERRO;FRO (FERRO);52;33.4000;0.0000;0.00;1;33.40
2026-07-20;16:18:00;FERRO;FRO (FERRO);53;33.5000;0.0000;0.00;1;33.50
2026-07-20;16:37:00;FERRO;FRO (FERRO);54;33.2000;-0.2000;-0.60;43;1433.40
2026-07-20;16:38:00;FERRO;FRO (FERRO);55;33.2000;0.0000;0.00;1;33.20
2026-07-20;16:40:00;FERRO;FRO (FERRO);56;33.5000;0.0000;0.00;15;502.50
2026-07-20;16:48:00;FERRO;FRO (FERRO);57;33.5000;0.0000;0.00;61;2043.50
2026-07-20;17:00:00;FERRO;FRO (FERRO);58;33.5000;0.0000;0.00;60;2010.00
