Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-23;09:00:00;FORTE;FTE (FORTE);1;16.9000;0.0000;0.00;2;33.80
2026-07-23;09:02:00;FORTE;FTE (FORTE);2;17.1500;0.0000;0.00;2;34.30
2026-07-23;09:11:00;FORTE;FTE (FORTE);3;16.6500;0.0000;0.00;250;4162.50
2026-07-23;09:19:00;FORTE;FTE (FORTE);4;16.7000;0.0000;0.00;55;918.50
2026-07-23;09:44:00;FORTE;FTE (FORTE);5;16.7000;-0.1500;-0.89;1000;16715.25
2026-07-23;09:46:00;FORTE;FTE (FORTE);6;16.9000;0.0000;0.00;1;16.90
2026-07-23;09:50:00;FORTE;FTE (FORTE);7;16.9000;0.0000;0.00;159;2687.10
2026-07-23;11:30:00;FORTE;FTE (FORTE);8;16.8500;0.0500;0.30;30;505.45
2026-07-23;11:45:00;FORTE;FTE (FORTE);9;16.8500;0.0000;0.00;8;134.80
2026-07-23;12:00:00;FORTE;FTE (FORTE);10;16.8500;0.0000;0.00;200;3370.00
2026-07-23;12:09:00;FORTE;FTE (FORTE);11;16.6500;-0.0500;-0.30;134;2231.60
2026-07-23;12:22:00;FORTE;FTE (FORTE);12;16.8500;0.0500;0.30;45;758.20
2026-07-23;12:33:00;FORTE;FTE (FORTE);13;16.8500;0.0000;0.00;100;1685.00
2026-07-23;12:37:00;FORTE;FTE (FORTE);14;16.8500;0.0000;0.00;14;235.90
2026-07-23;13:04:00;FORTE;FTE (FORTE);15;16.7500;0.0000;0.00;2112;35376.00
2026-07-23;13:16:00;FORTE;FTE (FORTE);16;16.7500;0.0000;0.00;1;16.75
2026-07-23;13:17:00;FORTE;FTE (FORTE);17;16.7500;0.0000;0.00;1;16.75
2026-07-23;13:29:00;FORTE;FTE (FORTE);18;16.7500;0.0000;0.00;150;2512.50
2026-07-23;14:03:00;FORTE;FTE (FORTE);19;16.7000;0.0000;0.00;1;16.70
2026-07-23;14:11:00;FORTE;FTE (FORTE);20;16.6500;0.0000;0.00;267;4445.55
2026-07-23;14:19:00;FORTE;FTE (FORTE);21;16.6500;0.0000;0.00;157;2614.05
2026-07-23;14:51:00;FORTE;FTE (FORTE);22;16.6000;0.0000;0.00;344;5710.40
2026-07-23;15:16:00;FORTE;FTE (FORTE);23;16.5500;0.0000;0.00;111;1837.05
2026-07-23;15:17:00;FORTE;FTE (FORTE);24;16.5000;0.0000;0.00;586;9669.00
2026-07-23;15:36:00;FORTE;FTE (FORTE);25;16.4000;-0.0500;-0.30;240;3941.05
2026-07-23;15:47:00;FORTE;FTE (FORTE);26;16.6000;0.0000;0.00;200;3320.00
2026-07-23;16:25:00;FORTE;FTE (FORTE);27;16.5000;-0.1000;-0.60;122;2017.40
2026-07-23;16:30:00;FORTE;FTE (FORTE);28;16.4000;0.0000;0.00;279;4575.60
2026-07-23;16:48:00;FORTE;FTE (FORTE);29;16.5000;0.0000;0.00;50;825.00
2026-07-23;16:49:00;FORTE;FTE (FORTE);30;16.5000;0.0000;0.00;120;1980.00
2026-07-23;17:00:00;FORTE;FTE (FORTE);31;16.5000;0.0000;0.00;1;16.50
2026-07-23;17:01:00;FORTE;FTE (FORTE);32;16.5000;0.0000;0.00;190;3135.00
