Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-30;09:00:00;GETIN-HOLDING;GTN (GETIN);1;0.3665;0.0000;0.00;31;11.36
2026-07-30;09:05:00;GETIN-HOLDING;GTN (GETIN);2;0.3665;0.0000;0.00;14;5.13
2026-07-30;09:09:00;GETIN-HOLDING;GTN (GETIN);3;0.3665;0.0000;0.00;50;18.32
2026-07-30;09:55:00;GETIN-HOLDING;GTN (GETIN);4;0.3665;0.0000;0.00;1850;678.02
2026-07-30;10:10:00;GETIN-HOLDING;GTN (GETIN);5;0.3605;-0.0010;-0.28;15000;5408.08
2026-07-30;11:21:00;GETIN-HOLDING;GTN (GETIN);6;0.3660;0.0000;0.00;5;1.83
2026-07-30;11:57:00;GETIN-HOLDING;GTN (GETIN);7;0.3660;0.0000;0.00;1000;366.00
2026-07-30;11:59:00;GETIN-HOLDING;GTN (GETIN);8;0.3615;0.0000;0.00;1100;397.65
2026-07-30;12:03:00;GETIN-HOLDING;GTN (GETIN);9;0.3610;-0.0005;-0.14;9788;3535.50
2026-07-30;12:14:00;GETIN-HOLDING;GTN (GETIN);10;0.3610;0.0000;0.00;31;11.19
2026-07-30;12:28:00;GETIN-HOLDING;GTN (GETIN);11;0.3655;0.0000;0.00;350;127.92
2026-07-30;13:21:00;GETIN-HOLDING;GTN (GETIN);12;0.3655;0.0000;0.00;4316;1577.50
2026-07-30;13:24:00;GETIN-HOLDING;GTN (GETIN);13;0.3655;0.0000;0.00;7500;2741.25
2026-07-30;15:30:00;GETIN-HOLDING;GTN (GETIN);14;0.3655;0.0000;0.00;1184;432.75
2026-07-30;15:44:00;GETIN-HOLDING;GTN (GETIN);15;0.3655;0.0000;0.00;256;93.57
2026-07-30;15:52:00;GETIN-HOLDING;GTN (GETIN);16;0.3660;0.0000;0.00;10000;3660.00
2026-07-30;16:30:00;GETIN-HOLDING;GTN (GETIN);17;0.3655;0.0000;0.00;283;103.44
2026-07-30;16:32:00;GETIN-HOLDING;GTN (GETIN);18;0.3600;-0.0055;-1.50;59659;21513.09
2026-07-30;16:35:00;GETIN-HOLDING;GTN (GETIN);19;0.3600;0.0000;0.00;27;9.72
2026-07-30;16:41:00;GETIN-HOLDING;GTN (GETIN);20;0.3590;0.0000;0.00;310;111.29
2026-07-30;16:42:00;GETIN-HOLDING;GTN (GETIN);21;0.3590;0.0000;0.00;438;157.24
2026-07-30;16:43:00;GETIN-HOLDING;GTN (GETIN);22;0.3600;0.0000;0.00;14000;5040.00
2026-07-30;17:00:00;GETIN-HOLDING;GTN (GETIN);23;0.3600;0.0000;0.00;7000;2520.00
