Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-17;09:00:00;GIF;GIF (GAMFACTOR);1;4.6000;0.0000;0.00;1000;4600.00
2026-07-17;09:07:00;GIF;GIF (GAMFACTOR);2;4.5000;-0.0450;-0.99;14;63.33
2026-07-17;09:09:00;GIF;GIF (GAMFACTOR);3;4.5000;0.0000;0.00;29;130.50
2026-07-17;09:12:00;GIF;GIF (GAMFACTOR);4;4.5000;0.0000;0.00;20;90.00
2026-07-17;09:18:00;GIF;GIF (GAMFACTOR);5;4.5000;0.0000;0.00;4;18.00
2026-07-17;09:19:00;GIF;GIF (GAMFACTOR);6;4.5000;0.0000;0.00;1;4.50
2026-07-17;09:30:00;GIF;GIF (GAMFACTOR);7;4.5000;0.0000;0.00;250;1125.00
2026-07-17;09:42:00;GIF;GIF (GAMFACTOR);8;4.4500;-0.0450;-1.00;464;2071.06
2026-07-17;10:07:00;GIF;GIF (GAMFACTOR);9;4.5000;0.0500;1.12;318;1429.20
2026-07-17;11:35:00;GIF;GIF (GAMFACTOR);10;4.5000;0.0000;0.00;550;2475.00
2026-07-17;11:42:00;GIF;GIF (GAMFACTOR);11;4.5500;0.0000;0.00;500;2275.00
2026-07-17;12:06:00;GIF;GIF (GAMFACTOR);12;4.5900;0.0000;0.00;100;459.00
2026-07-17;12:24:00;GIF;GIF (GAMFACTOR);13;4.5850;0.0000;0.00;1;4.58
2026-07-17;16:38:00;GIF;GIF (GAMFACTOR);14;4.5450;0.0000;0.00;2;9.08
2026-07-17;16:39:00;GIF;GIF (GAMFACTOR);15;4.5450;0.0000;0.00;1;4.54
2026-07-17;16:40:00;GIF;GIF (GAMFACTOR);16;4.5450;0.0000;0.00;1;4.54
2026-07-17;16:47:00;GIF;GIF (GAMFACTOR);17;4.5850;0.0000;0.00;300;1375.50
