Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-16;09:00:00;GKI;GKI (IMMOBILE);1;4.9500;0.0000;0.00;10;49.50
2026-07-16;10:12:00;GKI;GKI (IMMOBILE);2;4.9000;0.0000;0.00;61;298.90
2026-07-16;11:17:00;GKI;GKI (IMMOBILE);3;4.9000;0.0000;0.00;630;3087.00
2026-07-16;11:19:00;GKI;GKI (IMMOBILE);4;4.9000;0.0000;0.00;290;1421.00
2026-07-16;11:53:00;GKI;GKI (IMMOBILE);5;4.8500;0.0000;0.00;522;2531.70
2026-07-16;11:58:00;GKI;GKI (IMMOBILE);6;4.8100;0.0000;0.00;478;2299.18
2026-07-16;12:00:00;GKI;GKI (IMMOBILE);7;4.9000;0.0000;0.00;10;49.00
2026-07-16;12:26:00;GKI;GKI (IMMOBILE);8;4.9000;0.0000;0.00;4;19.60
2026-07-16;12:33:00;GKI;GKI (IMMOBILE);9;4.9000;0.0000;0.00;40;196.00
2026-07-16;13:26:00;GKI;GKI (IMMOBILE);10;4.9000;0.0000;0.00;1;4.90
2026-07-16;13:53:00;GKI;GKI (IMMOBILE);11;4.8400;0.0000;0.00;979;4738.36
2026-07-16;14:11:00;GKI;GKI (IMMOBILE);12;4.8600;0.0000;0.00;979;4757.94
2026-07-16;14:23:00;GKI;GKI (IMMOBILE);13;4.9000;0.0000;0.00;114;558.60
2026-07-16;14:26:00;GKI;GKI (IMMOBILE);14;4.9500;0.0000;0.00;303;1499.85
2026-07-16;15:57:00;GKI;GKI (IMMOBILE);15;4.9100;0.0000;0.00;250;1227.50
2026-07-16;16:14:00;GKI;GKI (IMMOBILE);16;4.9000;0.0000;0.00;1109;5434.10
2026-07-16;16:40:00;GKI;GKI (IMMOBILE);17;4.9000;0.0000;0.00;12;58.80
2026-07-16;16:45:00;GKI;GKI (IMMOBILE);18;4.8300;0.0000;0.00;250;1207.50
2026-07-16;17:01:00;GKI;GKI (IMMOBILE);19;4.8300;0.0000;0.00;82;396.06
