Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-25;09:00:00;GMT;GMT (GENOMTEC);1;3.7000;0.0000;0.00;133;492.10
2026-08-25;09:05:00;GMT;GMT (GENOMTEC);2;3.6600;0.0000;0.00;177;648.02
2026-08-25;09:26:00;GMT;GMT (GENOMTEC);3;3.7100;0.0000;0.00;1;3.71
2026-08-25;09:27:00;GMT;GMT (GENOMTEC);4;3.7600;0.0000;0.00;266;999.00
2026-08-25;09:36:00;GMT;GMT (GENOMTEC);5;3.7200;0.0000;0.00;5;18.62
2026-08-25;09:39:00;GMT;GMT (GENOMTEC);6;3.7300;0.0000;0.00;1;3.73
2026-08-25;09:58:00;GMT;GMT (GENOMTEC);7;3.7300;0.0000;0.00;33;123.09
2026-08-25;10:17:00;GMT;GMT (GENOMTEC);8;3.7300;0.0000;0.00;623;2323.79
2026-08-25;10:32:00;GMT;GMT (GENOMTEC);9;3.7300;0.0000;0.00;1000;3730.00
2026-08-25;11:09:00;GMT;GMT (GENOMTEC);10;3.7600;0.0000;0.00;1000;3755.00
2026-08-25;11:21:00;GMT;GMT (GENOMTEC);11;3.7300;0.0000;0.00;112;417.76
2026-08-25;12:17:00;GMT;GMT (GENOMTEC);12;3.7500;0.0000;0.00;1;3.75
2026-08-25;12:28:00;GMT;GMT (GENOMTEC);13;3.7400;0.0000;0.00;200;748.00
2026-08-25;13:04:00;GMT;GMT (GENOMTEC);14;3.7600;0.0100;0.27;100;375.81
2026-08-25;14:59:00;GMT;GMT (GENOMTEC);15;3.7600;0.0000;0.00;140;526.40
2026-08-25;15:01:00;GMT;GMT (GENOMTEC);16;3.7600;0.0000;0.00;100;376.00
2026-08-25;15:17:00;GMT;GMT (GENOMTEC);17;3.6600;-0.1000;-2.66;1200;4438.79
2026-08-25;15:33:00;GMT;GMT (GENOMTEC);18;3.7600;0.0000;0.00;1;3.75
2026-08-25;16:01:00;GMT;GMT (GENOMTEC);19;3.6600;-0.0800;-2.14;19;69.86
2026-08-25;16:38:00;GMT;GMT (GENOMTEC);20;3.7500;0.0100;0.27;90;337.17
2026-08-25;16:48:00;GMT;GMT (GENOMTEC);21;3.7500;0.0000;0.00;51;191.25
2026-08-25;17:00:00;GMT;GMT (GENOMTEC);22;3.6800;0.0000;0.00;1;3.68
