Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-20;09:00:00;GNS;GNS (NIEWIADOW);1;12.3000;0.0000;0.00;2748;33800.40
2026-07-20;09:02:00;GNS;GNS (NIEWIADOW);2;12.1500;-0.1000;-0.82;836;10196.80
2026-07-20;09:04:00;GNS;GNS (NIEWIADOW);3;12.1500;0.0000;0.00;1;12.15
2026-07-20;09:05:00;GNS;GNS (NIEWIADOW);4;12.1500;0.0000;0.00;523;6354.45
2026-07-20;09:06:00;GNS;GNS (NIEWIADOW);5;12.2500;0.0000;0.00;50;612.50
2026-07-20;09:07:00;GNS;GNS (NIEWIADOW);6;12.2500;0.1000;0.82;50;611.50
2026-07-20;09:08:00;GNS;GNS (NIEWIADOW);7;12.2500;0.0000;0.00;10;122.50
2026-07-20;09:09:00;GNS;GNS (NIEWIADOW);8;12.2500;0.0000;0.00;4;49.00
2026-07-20;09:10:00;GNS;GNS (NIEWIADOW);9;12.2500;0.0000;0.00;7;85.75
2026-07-20;09:12:00;GNS;GNS (NIEWIADOW);10;12.2500;0.0000;0.00;2;24.50
2026-07-20;09:13:00;GNS;GNS (NIEWIADOW);11;12.2500;0.0000;0.00;535;6503.75
2026-07-20;09:14:00;GNS;GNS (NIEWIADOW);12;12.2500;0.0000;0.00;1002;12274.50
2026-07-20;09:15:00;GNS;GNS (NIEWIADOW);13;12.2500;0.0500;0.41;459;5602.75
2026-07-20;09:16:00;GNS;GNS (NIEWIADOW);14;12.2500;0.0000;0.00;118;1445.50
2026-07-20;09:17:00;GNS;GNS (NIEWIADOW);15;12.2500;0.0000;0.00;90;1102.50
2026-07-20;09:19:00;GNS;GNS (NIEWIADOW);16;12.2000;0.0000;0.00;30;366.00
2026-07-20;09:25:00;GNS;GNS (NIEWIADOW);17;12.3000;0.0000;0.00;25;307.50
2026-07-20;09:27:00;GNS;GNS (NIEWIADOW);18;12.3000;0.0000;0.00;1000;12300.00
2026-07-20;09:29:00;GNS;GNS (NIEWIADOW);19;12.2500;0.0000;0.00;90;1102.50
2026-07-20;09:31:00;GNS;GNS (NIEWIADOW);20;12.2500;-0.0500;-0.41;102;1254.50
2026-07-20;09:32:00;GNS;GNS (NIEWIADOW);21;12.3000;0.0000;0.00;82;1008.60
2026-07-20;09:35:00;GNS;GNS (NIEWIADOW);22;12.2500;0.0000;0.00;73;894.25
2026-07-20;09:36:00;GNS;GNS (NIEWIADOW);23;12.3000;0.0000;0.00;1;12.30
2026-07-20;09:38:00;GNS;GNS (NIEWIADOW);24;12.3000;0.0000;0.00;50;615.00
2026-07-20;09:40:00;GNS;GNS (NIEWIADOW);25;12.2500;0.0000;0.00;9;110.25
2026-07-20;09:41:00;GNS;GNS (NIEWIADOW);26;12.3000;0.0000;0.00;29;356.70
2026-07-20;09:42:00;GNS;GNS (NIEWIADOW);27;12.3000;0.0000;0.00;6;73.80
2026-07-20;09:47:00;GNS;GNS (NIEWIADOW);28;12.3000;0.0000;0.00;2;24.60
2026-07-20;09:50:00;GNS;GNS (NIEWIADOW);29;12.3000;0.0000;0.00;30;369.00
2026-07-20;09:51:00;GNS;GNS (NIEWIADOW);30;12.3000;0.0000;0.00;1;12.30
2026-07-20;09:52:00;GNS;GNS (NIEWIADOW);31;12.3000;0.0000;0.00;3;36.90
2026-07-20;09:54:00;GNS;GNS (NIEWIADOW);32;12.3000;0.0000;0.00;4;49.20
