Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-03;09:00:00;GOP;GOP (GAMEOPS);1;11.4000;0.0000;0.00;300;3420.00
2026-08-03;09:22:00;GOP;GOP (GAMEOPS);2;11.7500;0.0000;0.00;70;822.50
2026-08-03;09:35:00;GOP;GOP (GAMEOPS);3;11.3000;-0.1000;-0.88;157;1787.80
2026-08-03;09:37:00;GOP;GOP (GAMEOPS);4;11.5500;0.0000;0.00;1;11.55
2026-08-03;10:00:00;GOP;GOP (GAMEOPS);5;11.5000;0.0000;0.00;1;11.50
2026-08-03;12:11:00;GOP;GOP (GAMEOPS);6;11.4000;0.0000;0.00;25;285.00
2026-08-03;13:26:00;GOP;GOP (GAMEOPS);7;11.4000;0.0000;0.00;1;11.40
2026-08-03;15:18:00;GOP;GOP (GAMEOPS);8;11.5000;0.0000;0.00;137;1575.50
2026-08-03;15:33:00;GOP;GOP (GAMEOPS);9;11.5000;0.0000;0.00;37;425.50
2026-08-03;16:30:00;GOP;GOP (GAMEOPS);10;11.5000;0.0000;0.00;16;184.00
