Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-04;09:00:00;GPP;GPP (GRUPRACUJ);1;56.4000;-0.7000;-1.23;203;11573.60
2026-09-04;09:02:00;GPP;GPP (GRUPRACUJ);2;56.3000;0.0000;0.00;1;56.30
2026-09-04;09:05:00;GPP;GPP (GRUPRACUJ);3;56.3000;0.0000;0.00;300;16890.00
2026-09-04;09:08:00;GPP;GPP (GRUPRACUJ);4;57.3000;0.0000;0.00;2;114.60
2026-09-04;09:19:00;GPP;GPP (GRUPRACUJ);5;57.1000;0.0000;0.00;77;4396.70
2026-09-04;09:21:00;GPP;GPP (GRUPRACUJ);6;57.3000;0.0000;0.00;3;171.90
2026-09-04;09:22:00;GPP;GPP (GRUPRACUJ);7;57.3000;0.0000;0.00;1;57.30
2026-09-04;09:23:00;GPP;GPP (GRUPRACUJ);8;57.3000;0.0000;0.00;35;2005.50
2026-09-04;09:25:00;GPP;GPP (GRUPRACUJ);9;56.7000;-0.2000;-0.35;3;170.50
2026-09-04;09:28:00;GPP;GPP (GRUPRACUJ);10;57.3000;0.0000;0.00;3;171.90
2026-09-04;09:30:00;GPP;GPP (GRUPRACUJ);11;57.1000;-0.2000;-0.35;208;11882.40
2026-09-04;09:33:00;GPP;GPP (GRUPRACUJ);12;57.4000;0.0000;0.00;35;2009.00
2026-09-04;09:38:00;GPP;GPP (GRUPRACUJ);13;56.8000;-0.6000;-1.05;139;7955.20
2026-09-04;09:45:00;GPP;GPP (GRUPRACUJ);14;56.8000;0.0000;0.00;8;454.40
2026-09-04;09:51:00;GPP;GPP (GRUPRACUJ);15;56.8000;0.0000;0.00;165;9372.00
2026-09-04;10:04:00;GPP;GPP (GRUPRACUJ);16;56.8000;0.0000;0.00;1;56.80
2026-09-04;10:11:00;GPP;GPP (GRUPRACUJ);17;56.6000;0.0000;0.00;1;56.60
2026-09-04;10:20:00;GPP;GPP (GRUPRACUJ);18;56.2000;-0.6000;-1.06;595;33632.20
2026-09-04;10:27:00;GPP;GPP (GRUPRACUJ);19;56.8000;0.3000;0.53;590;33358.10
2026-09-04;10:36:00;GPP;GPP (GRUPRACUJ);20;56.1000;0.0000;0.00;1;56.10
2026-09-04;10:43:00;GPP;GPP (GRUPRACUJ);21;56.7000;0.0000;0.00;2;113.40
2026-09-04;10:50:00;GPP;GPP (GRUPRACUJ);22;56.7000;0.0000;0.00;4;226.80
