Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-28;09:00:00;GPW;GPW;1;100.1000;0.3000;0.30;759;75783.15
2026-07-28;09:01:00;GPW;GPW;2;100.3000;0.3000;0.30;37;3700.50
2026-07-28;09:03:00;GPW;GPW;3;99.9000;-0.2000;-0.20;150;15005.05
2026-07-28;09:04:00;GPW;GPW;4;99.9000;0.2500;0.25;38;3791.70
2026-07-28;09:05:00;GPW;GPW;5;99.9000;0.0000;0.00;186;18568.85
2026-07-28;09:06:00;GPW;GPW;6;99.6000;-0.0500;-0.05;103;10264.10
2026-07-28;09:07:00;GPW;GPW;7;99.6500;-0.0500;-0.05;323;32211.95
2026-07-28;09:08:00;GPW;GPW;8;99.6000;-0.3000;-0.30;40;3993.00
2026-07-28;09:09:00;GPW;GPW;9;100.0000;0.1500;0.15;155;15479.55
2026-07-28;09:10:00;GPW;GPW;10;99.6500;0.0500;0.05;1259;125269.10
2026-07-28;09:11:00;GPW;GPW;11;99.8500;0.1500;0.15;297;29623.15
2026-07-28;09:12:00;GPW;GPW;12;99.9000;0.3500;0.35;6;599.00
2026-07-28;09:13:00;GPW;GPW;13;100.3000;0.4000;0.40;469;46889.90
2026-07-28;09:14:00;GPW;GPW;14;99.8000;-0.1000;-0.10;207;20677.50
2026-07-28;09:16:00;GPW;GPW;15;99.9500;0.0000;0.00;32;3193.90
2026-07-28;09:17:00;GPW;GPW;16;99.9000;0.0000;0.00;1;99.90
2026-07-28;09:18:00;GPW;GPW;17;99.7500;-0.0500;-0.05;5;498.80
2026-07-28;09:19:00;GPW;GPW;18;99.8000;-0.1000;-0.10;247;24669.15
2026-07-28;09:20:00;GPW;GPW;19;100.1000;0.0000;0.00;2;200.20
2026-07-28;09:22:00;GPW;GPW;20;100.0000;0.0000;0.00;2;200.00
2026-07-28;09:23:00;GPW;GPW;21;100.2000;0.2000;0.20;59;5900.20
2026-07-28;09:24:00;GPW;GPW;22;100.2000;0.2000;0.20;48;4806.40
2026-07-28;09:25:00;GPW;GPW;23;100.0000;0.0000;0.00;124;12400.00
2026-07-28;09:26:00;GPW;GPW;24;100.1000;0.0000;0.00;28;2802.80
2026-07-28;09:27:00;GPW;GPW;25;100.2000;0.1000;0.10;128;12812.90
2026-07-28;09:28:00;GPW;GPW;26;100.2000;0.0000;0.00;15;1503.00
2026-07-28;09:29:00;GPW;GPW;27;99.9000;-0.3000;-0.30;148;14803.00
2026-07-28;09:30:00;GPW;GPW;28;100.3000;0.0000;0.00;9;902.70
2026-07-28;09:31:00;GPW;GPW;29;100.3000;0.0000;0.00;100;10030.00
2026-07-28;09:32:00;GPW;GPW;30;100.3000;0.0000;0.00;10;1002.80
2026-07-28;09:33:00;GPW;GPW;31;100.0000;-0.3000;-0.30;10;1002.40
2026-07-28;09:34:00;GPW;GPW;32;100.6000;0.3000;0.30;309;31026.30
2026-07-28;09:35:00;GPW;GPW;33;100.1000;0.0000;0.00;377;37737.70
2026-07-28;09:36:00;GPW;GPW;34;99.8000;-0.2000;-0.20;217;21697.00
2026-07-28;09:37:00;GPW;GPW;35;99.9500;0.0000;0.00;42;4192.05
2026-07-28;09:38:00;GPW;GPW;36;99.9500;0.1000;0.10;11;1098.15
2026-07-28;09:39:00;GPW;GPW;37;99.9500;0.0000;0.00;1;99.95
2026-07-28;09:40:00;GPW;GPW;38;99.9500;0.0000;0.00;21;2098.95
2026-07-28;09:41:00;GPW;GPW;39;99.5000;-0.3000;-0.30;167;16646.20
2026-07-28;09:42:00;GPW;GPW;40;99.8000;0.0000;0.00;64;6387.20
2026-07-28;09:43:00;GPW;GPW;41;99.6000;-0.2500;-0.25;9;896.65
2026-07-28;09:44:00;GPW;GPW;42;99.5000;-0.3000;-0.30;332;33068.30
2026-07-28;09:45:00;GPW;GPW;43;99.7000;0.0000;0.00;1;99.70
2026-07-28;09:46:00;GPW;GPW;44;99.7000;0.0000;0.00;151;15054.70
2026-07-28;09:47:00;GPW;GPW;45;99.9500;0.0000;0.00;1;99.95
2026-07-28;09:48:00;GPW;GPW;46;99.9500;0.0000;0.00;20;1999.00
2026-07-28;09:50:00;GPW;GPW;47;99.9000;0.0500;0.05;268;26769.85
2026-07-28;09:52:00;GPW;GPW;48;99.9000;0.0000;0.00;12;1198.80
2026-07-28;09:54:00;GPW;GPW;49;99.9000;0.0000;0.00;1;99.90
2026-07-28;09:55:00;GPW;GPW;50;99.8500;-0.0500;-0.05;488;48747.05
2026-07-28;09:57:00;GPW;GPW;51;100.0000;0.0000;0.00;1;100.00
2026-07-28;09:58:00;GPW;GPW;52;100.0000;0.0000;0.00;45;4500.00
2026-07-28;09:59:00;GPW;GPW;53;100.0000;0.0000;0.00;1;100.00
2026-07-28;10:00:00;GPW;GPW;54;99.8000;0.0000;0.00;3;299.40
