Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;GRODNO;GRN (GRODNO);1;16.5000;0.0000;0.00;1546;25509.25
2026-07-15;09:02:00;GRODNO;GRN (GRODNO);2;16.5000;0.0000;0.00;660;10890.00
2026-07-15;09:03:00;GRODNO;GRN (GRODNO);3;16.5500;-0.1500;-0.90;238;3942.00
2026-07-15;09:05:00;GRODNO;GRN (GRODNO);4;16.7000;0.0000;0.00;12;200.40
2026-07-15;09:14:00;GRODNO;GRN (GRODNO);5;16.2500;-0.3000;-1.81;220;3592.75
2026-07-15;09:17:00;GRODNO;GRN (GRODNO);6;16.4000;0.0000;0.00;88;1443.20
2026-07-15;09:37:00;GRODNO;GRN (GRODNO);7;16.4000;0.0000;0.00;198;3247.20
2026-07-15;09:46:00;GRODNO;GRN (GRODNO);8;16.4000;0.0000;0.00;2;32.80
2026-07-15;10:08:00;GRODNO;GRN (GRODNO);9;16.6500;0.0000;0.00;10;166.50
2026-07-15;10:47:00;GRODNO;GRN (GRODNO);10;16.6500;0.0000;0.00;59;982.35
2026-07-15;11:08:00;GRODNO;GRN (GRODNO);11;16.4500;0.0000;0.00;1;16.45
