Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;GRX;GRX (GREENX);1;2.4100;0.0000;0.00;9761;23524.01
2026-08-07;09:02:00;GRX;GRX (GREENX);2;2.4100;-0.0020;-0.08;985;2375.13
2026-08-07;09:05:00;GRX;GRX (GREENX);3;2.4200;0.0060;0.25;1105;2669.88
2026-08-07;09:06:00;GRX;GRX (GREENX);4;2.4220;0.0120;0.50;2964;7168.66
2026-08-07;09:07:00;GRX;GRX (GREENX);5;2.4300;0.0080;0.33;1670;4050.00
2026-08-07;09:08:00;GRX;GRX (GREENX);6;2.4340;0.0220;0.91;4377;10601.52
2026-08-07;09:09:00;GRX;GRX (GREENX);7;2.4200;0.0100;0.41;7000;16920.00
2026-08-07;09:10:00;GRX;GRX (GREENX);8;2.4200;0.0000;0.00;2000;4840.00
2026-08-07;09:11:00;GRX;GRX (GREENX);9;2.4200;0.0000;0.00;409;989.78
2026-08-07;09:15:00;GRX;GRX (GREENX);10;2.4200;0.0020;0.08;2458;5943.49
2026-08-07;09:19:00;GRX;GRX (GREENX);11;2.4120;-0.0080;-0.33;2310;5574.20
2026-08-07;09:21:00;GRX;GRX (GREENX);12;2.4200;0.0000;0.00;10;24.20
2026-08-07;09:24:00;GRX;GRX (GREENX);13;2.4200;0.0000;0.00;211;510.62
2026-08-07;09:26:00;GRX;GRX (GREENX);14;2.4060;-0.0040;-0.17;1850;4455.61
2026-08-07;09:37:00;GRX;GRX (GREENX);15;2.4120;-0.0040;-0.17;16;38.63
2026-08-07;09:40:00;GRX;GRX (GREENX);16;2.4100;0.0000;0.00;295;710.95
2026-08-07;09:42:00;GRX;GRX (GREENX);17;2.4160;0.0000;0.00;75;181.20
2026-08-07;09:47:00;GRX;GRX (GREENX);18;2.4100;0.0000;0.00;4185;10085.85
2026-08-07;09:58:00;GRX;GRX (GREENX);19;2.4140;0.0000;0.00;200;482.80
2026-08-07;09:59:00;GRX;GRX (GREENX);20;2.4100;0.0000;0.00;2300;5543.00
2026-08-07;10:00:00;GRX;GRX (GREENX);21;2.4100;0.0000;0.00;178;428.98
2026-08-07;10:01:00;GRX;GRX (GREENX);22;2.4160;0.0060;0.25;207;499.69
2026-08-07;10:04:00;GRX;GRX (GREENX);23;2.4200;0.0040;0.17;4589;11088.74
2026-08-07;10:06:00;GRX;GRX (GREENX);24;2.4300;0.0100;0.41;4404;10673.79
2026-08-07;10:08:00;GRX;GRX (GREENX);25;2.4440;0.0140;0.58;7462;18203.69
2026-08-07;10:15:00;GRX;GRX (GREENX);26;2.4300;0.0000;0.00;2461;5980.23
2026-08-07;10:18:00;GRX;GRX (GREENX);27;2.4300;0.0000;0.00;200;486.00
2026-08-07;10:22:00;GRX;GRX (GREENX);28;2.4280;0.0000;0.00;301;730.83
2026-08-07;10:23:00;GRX;GRX (GREENX);29;2.4380;0.0140;0.58;3944;9577.11
2026-08-07;10:25:00;GRX;GRX (GREENX);30;2.4440;0.0060;0.25;6326;15437.33
2026-08-07;10:28:00;GRX;GRX (GREENX);31;2.4260;0.0000;0.00;200;485.20
2026-08-07;10:30:00;GRX;GRX (GREENX);32;2.4440;0.0000;0.00;1050;2566.20
2026-08-07;10:42:00;GRX;GRX (GREENX);33;2.4260;0.0000;0.00;850;2062.10
2026-08-07;10:47:00;GRX;GRX (GREENX);34;2.4260;0.0000;0.00;30;72.78
2026-08-07;10:48:00;GRX;GRX (GREENX);35;2.4260;0.0000;0.00;8;19.41
2026-08-07;10:52:00;GRX;GRX (GREENX);36;2.4360;0.0000;0.00;1;2.44
2026-08-07;11:02:00;GRX;GRX (GREENX);37;2.4440;0.0080;0.33;2000;4880.45
2026-08-07;11:04:00;GRX;GRX (GREENX);38;2.4440;0.0080;0.33;200;487.56
2026-08-07;11:06:00;GRX;GRX (GREENX);39;2.4280;0.0000;0.00;60;145.68
2026-08-07;11:09:00;GRX;GRX (GREENX);40;2.4280;0.0000;0.00;310;752.68
2026-08-07;11:15:00;GRX;GRX (GREENX);41;2.4200;-0.0080;-0.33;2790;6765.20
2026-08-07;11:16:00;GRX;GRX (GREENX);42;2.4300;0.0000;0.00;134;325.62
2026-08-07;11:17:00;GRX;GRX (GREENX);43;2.4200;0.0000;0.00;2;4.84
2026-08-07;11:18:00;GRX;GRX (GREENX);44;2.4200;0.0000;0.00;2789;6749.38
2026-08-07;11:26:00;GRX;GRX (GREENX);45;2.4240;0.0000;0.00;23;55.75
2026-08-07;11:38:00;GRX;GRX (GREENX);46;2.4120;-0.0060;-0.25;1793;4327.59
2026-08-07;11:43:00;GRX;GRX (GREENX);47;2.4120;0.0000;0.00;20;48.24
2026-08-07;11:47:00;GRX;GRX (GREENX);48;2.4240;0.0020;0.08;1002;2427.02
2026-08-07;11:48:00;GRX;GRX (GREENX);49;2.4240;0.0000;0.00;2052;4975.56
2026-08-07;11:49:00;GRX;GRX (GREENX);50;2.4240;0.0080;0.33;1259;3042.62
2026-08-07;11:50:00;GRX;GRX (GREENX);51;2.4180;0.0000;0.00;950;2297.10
2026-08-07;11:51:00;GRX;GRX (GREENX);52;2.4240;0.0000;0.00;344;833.86
2026-08-07;11:52:00;GRX;GRX (GREENX);53;2.4260;0.0020;0.08;6241;15129.96
2026-08-07;12:01:00;GRX;GRX (GREENX);54;2.4200;0.0000;0.00;165;399.30
2026-08-07;12:03:00;GRX;GRX (GREENX);55;2.4260;0.0020;0.08;1057;2563.96
2026-08-07;12:11:00;GRX;GRX (GREENX);56;2.4260;0.0000;0.00;103;249.88
2026-08-07;12:31:00;GRX;GRX (GREENX);57;2.4160;-0.0020;-0.08;2000;4832.67
2026-08-07;12:57:00;GRX;GRX (GREENX);58;2.4260;0.0000;0.00;1;2.43
2026-08-07;13:41:00;GRX;GRX (GREENX);59;2.4260;0.0000;0.00;1708;4143.61
2026-08-07;14:16:00;GRX;GRX (GREENX);60;2.4260;0.0000;0.00;1355;3287.23
2026-08-07;14:32:00;GRX;GRX (GREENX);61;2.4260;0.0000;0.00;185;448.81
2026-08-07;15:20:00;GRX;GRX (GREENX);62;2.4180;-0.0020;-0.08;3019;7301.60
2026-08-07;15:35:00;GRX;GRX (GREENX);63;2.4180;0.0000;0.00;23;55.61
2026-08-07;15:36:00;GRX;GRX (GREENX);64;2.4260;0.0000;0.00;334;810.28
2026-08-07;15:46:00;GRX;GRX (GREENX);65;2.4260;0.0000;0.00;2748;6666.65
2026-08-07;15:49:00;GRX;GRX (GREENX);66;2.4440;0.0160;0.66;5000;12182.77
2026-08-07;15:55:00;GRX;GRX (GREENX);67;2.4280;0.0000;0.00;3090;7502.52
2026-08-07;15:58:00;GRX;GRX (GREENX);68;2.4240;0.0000;0.00;1000;2424.00
2026-08-07;16:01:00;GRX;GRX (GREENX);69;2.4220;0.0000;0.00;2000;4844.00
2026-08-07;16:02:00;GRX;GRX (GREENX);70;2.4200;0.0000;0.00;1000;2420.00
2026-08-07;16:06:00;GRX;GRX (GREENX);71;2.4300;0.0000;0.00;858;2084.94
2026-08-07;16:13:00;GRX;GRX (GREENX);72;2.4200;0.0000;0.00;3079;7451.18
2026-08-07;16:15:00;GRX;GRX (GREENX);73;2.4280;0.0000;0.00;1655;4018.34
2026-08-07;16:18:00;GRX;GRX (GREENX);74;2.4340;0.0040;0.16;1242;3021.86
2026-08-07;16:19:00;GRX;GRX (GREENX);75;2.4360;0.0020;0.08;1342;3268.91
