Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-28;09:03:00;GVT;GVT (VIRTUS);1;1.4000;0.0000;0.00;100;140.00
2026-07-28;09:07:00;GVT;GVT (VIRTUS);2;1.4000;0.0000;0.00;686;960.40
2026-07-28;09:11:00;GVT;GVT (VIRTUS);3;1.4000;0.0000;0.00;372;520.80
2026-07-28;09:18:00;GVT;GVT (VIRTUS);4;1.4000;0.0000;0.00;750;1050.00
2026-07-28;09:22:00;GVT;GVT (VIRTUS);5;1.4180;0.0020;0.14;729;1032.72
2026-07-28;09:32:00;GVT;GVT (VIRTUS);6;1.4200;0.0020;0.14;1442;2045.74
2026-07-28;09:37:00;GVT;GVT (VIRTUS);7;1.4400;0.0080;0.56;1396;2006.33
2026-07-28;09:43:00;GVT;GVT (VIRTUS);8;1.4140;0.0000;0.00;12;16.97
2026-07-28;09:44:00;GVT;GVT (VIRTUS);9;1.4140;0.0000;0.00;2000;2828.00
2026-07-28;09:47:00;GVT;GVT (VIRTUS);10;1.4160;0.0000;0.00;1025;1451.40
2026-07-28;09:50:00;GVT;GVT (VIRTUS);11;1.4300;0.0000;0.00;1727;2469.61
2026-07-28;09:51:00;GVT;GVT (VIRTUS);12;1.4400;0.0020;0.14;3000;4319.80
2026-07-28;10:02:00;GVT;GVT (VIRTUS);13;1.4400;0.0000;0.00;1651;2377.44
2026-07-28;10:03:00;GVT;GVT (VIRTUS);14;1.4500;0.0060;0.42;1472;2131.40
2026-07-28;10:26:00;GVT;GVT (VIRTUS);15;1.4420;0.0000;0.00;200;288.40
2026-07-28;10:40:00;GVT;GVT (VIRTUS);16;1.4420;0.0000;0.00;69;99.50
2026-07-28;10:48:00;GVT;GVT (VIRTUS);17;1.4360;0.0000;0.00;40;57.44
2026-07-28;10:50:00;GVT;GVT (VIRTUS);18;1.4020;-0.0180;-1.27;3350;4729.23
2026-07-28;10:53:00;GVT;GVT (VIRTUS);19;1.4000;-0.0060;-0.43;5000;7006.00
2026-07-28;10:54:00;GVT;GVT (VIRTUS);20;1.4000;-0.0020;-0.14;7305;10228.32
2026-07-28;10:55:00;GVT;GVT (VIRTUS);21;1.4000;0.0000;0.00;659;922.60
2026-07-28;10:56:00;GVT;GVT (VIRTUS);22;1.4000;0.0000;0.00;1;1.40
2026-07-28;11:01:00;GVT;GVT (VIRTUS);23;1.3800;-0.0180;-1.29;6106;8473.06
2026-07-28;11:11:00;GVT;GVT (VIRTUS);24;1.3800;0.0000;0.00;728;1004.64
2026-07-28;11:17:00;GVT;GVT (VIRTUS);25;1.3800;0.0000;0.00;772;1065.36
2026-07-28;11:26:00;GVT;GVT (VIRTUS);26;1.3800;-0.0020;-0.14;9502;13120.40
2026-07-28;11:31:00;GVT;GVT (VIRTUS);27;1.3800;0.0000;0.00;242;333.96
2026-07-28;11:56:00;GVT;GVT (VIRTUS);28;1.3800;0.0000;0.00;50;69.00
2026-07-28;12:04:00;GVT;GVT (VIRTUS);29;1.3800;0.0000;0.00;258;356.04
2026-07-28;12:07:00;GVT;GVT (VIRTUS);30;1.3800;0.0000;0.00;11922;16452.36
2026-07-28;12:17:00;GVT;GVT (VIRTUS);31;1.3980;0.0040;0.29;3384;4726.66
2026-07-28;12:58:00;GVT;GVT (VIRTUS);32;1.4080;0.0000;0.00;4200;5913.60
2026-07-28;13:05:00;GVT;GVT (VIRTUS);33;1.3700;-0.0300;-2.14;9717;13401.37
2026-07-28;13:24:00;GVT;GVT (VIRTUS);34;1.3700;-0.0060;-0.44;4028;5534.70
2026-07-28;13:31:00;GVT;GVT (VIRTUS);35;1.3800;0.0000;0.00;2405;3318.90
2026-07-28;13:36:00;GVT;GVT (VIRTUS);36;1.3800;0.0000;0.00;2192;3024.96
2026-07-28;13:42:00;GVT;GVT (VIRTUS);37;1.3700;-0.0020;-0.15;2405;3296.85
2026-07-28;13:43:00;GVT;GVT (VIRTUS);38;1.3700;0.0000;0.00;3000;4110.00
2026-07-28;13:55:00;GVT;GVT (VIRTUS);39;1.3800;0.0000;0.00;2;2.76
2026-07-28;14:07:00;GVT;GVT (VIRTUS);40;1.3800;0.0000;0.00;4;5.52
2026-07-28;14:11:00;GVT;GVT (VIRTUS);41;1.3800;0.0000;0.00;397;547.86
2026-07-28;14:26:00;GVT;GVT (VIRTUS);42;1.3960;0.0160;1.16;7262;9983.55
2026-07-28;14:27:00;GVT;GVT (VIRTUS);43;1.3960;0.0000;0.00;4;5.58
2026-07-28;14:31:00;GVT;GVT (VIRTUS);44;1.3700;-0.0060;-0.44;4000;5481.01
2026-07-28;14:41:00;GVT;GVT (VIRTUS);45;1.3700;0.0000;0.00;8180;11206.60
2026-07-28;14:50:00;GVT;GVT (VIRTUS);46;1.3700;0.0000;0.00;250;342.50
2026-07-28;15:11:00;GVT;GVT (VIRTUS);47;1.3700;0.0000;0.00;1600;2192.00
2026-07-28;16:34:00;GVT;GVT (VIRTUS);48;1.3740;0.0000;0.00;400;549.60
2026-07-28;16:39:00;GVT;GVT (VIRTUS);49;1.3620;-0.0100;-0.73;5400;7397.06
2026-07-28;16:42:00;GVT;GVT (VIRTUS);50;1.3980;0.0000;0.00;4;5.59
2026-07-28;16:45:00;GVT;GVT (VIRTUS);51;1.3680;0.0000;0.00;1528;2090.31
2026-07-28;16:46:00;GVT;GVT (VIRTUS);52;1.3940;0.0260;1.90;1444;1975.58
2026-07-28;16:47:00;GVT;GVT (VIRTUS);53;1.3620;-0.0060;-0.44;5911;8058.40
2026-07-28;17:00:00;GVT;GVT (VIRTUS);54;1.3940;0.0000;0.00;9;12.54
