Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-16;09:00:00;HERKULES;HRS (HERKULES);1;1.3400;0.0000;0.00;2;2.68
2026-07-16;09:32:00;HERKULES;HRS (HERKULES);2;1.3100;0.0000;0.00;607;795.17
2026-07-16;09:36:00;HERKULES;HRS (HERKULES);3;1.3400;0.0000;0.00;1000;1340.00
2026-07-16;09:46:00;HERKULES;HRS (HERKULES);4;1.3400;0.0000;0.00;999;1338.66
2026-07-16;10:00:00;HERKULES;HRS (HERKULES);5;1.3400;0.0000;0.00;1231;1649.54
2026-07-16;10:18:00;HERKULES;HRS (HERKULES);6;1.3450;0.0050;0.37;279;373.91
2026-07-16;10:26:00;HERKULES;HRS (HERKULES);7;1.3400;0.0000;0.00;6;8.04
2026-07-16;11:08:00;HERKULES;HRS (HERKULES);8;1.3400;0.0000;0.00;3;4.02
2026-07-16;11:14:00;HERKULES;HRS (HERKULES);9;1.3400;0.0000;0.00;2;2.68
2026-07-16;11:48:00;HERKULES;HRS (HERKULES);10;1.3150;-0.0250;-1.87;2;2.65
2026-07-16;12:03:00;HERKULES;HRS (HERKULES);11;1.3400;0.0000;0.00;59;79.06
2026-07-16;12:22:00;HERKULES;HRS (HERKULES);12;1.3100;-0.0050;-0.38;1000;1310.15
2026-07-16;12:56:00;HERKULES;HRS (HERKULES);13;1.3400;0.0000;0.00;20;26.80
2026-07-16;13:30:00;HERKULES;HRS (HERKULES);14;1.3000;-0.0100;-0.76;18876;24627.09
2026-07-16;13:31:00;HERKULES;HRS (HERKULES);15;1.2950;0.0000;0.00;1200;1554.00
2026-07-16;13:32:00;HERKULES;HRS (HERKULES);16;1.3350;0.0000;0.00;50;66.75
2026-07-16;14:17:00;HERKULES;HRS (HERKULES);17;1.3250;0.0350;2.71;50;65.20
2026-07-16;17:00:00;HERKULES;HRS (HERKULES);18;1.2950;0.0000;0.00;2500;3237.50
2026-07-16;17:04:00;HERKULES;HRS (HERKULES);19;1.2950;0.0000;0.00;382;494.69
