Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;HYDROTOR;HDR (HYDROTOR);1;9.8200;0.0000;0.00;4;39.28
2026-08-05;09:13:00;HYDROTOR;HDR (HYDROTOR);2;9.8000;0.0000;0.00;10;98.00
2026-08-05;09:21:00;HYDROTOR;HDR (HYDROTOR);3;9.5000;-0.0400;-0.42;3000;28511.92
2026-08-05;09:38:00;HYDROTOR;HDR (HYDROTOR);4;9.7600;0.0000;0.00;150;1464.00
2026-08-05;09:57:00;HYDROTOR;HDR (HYDROTOR);5;9.7200;0.0000;0.00;125;1215.00
2026-08-05;10:12:00;HYDROTOR;HDR (HYDROTOR);6;9.7000;0.0000;0.00;50;485.00
2026-08-05;10:54:00;HYDROTOR;HDR (HYDROTOR);7;9.7000;0.0000;0.00;1;9.70
2026-08-05;11:37:00;HYDROTOR;HDR (HYDROTOR);8;9.7000;0.0000;0.00;104;1008.80
2026-08-05;11:56:00;HYDROTOR;HDR (HYDROTOR);9;9.6800;0.0000;0.00;210;2032.80
2026-08-05;11:57:00;HYDROTOR;HDR (HYDROTOR);10;9.6000;0.0000;0.00;2;19.20
2026-08-05;12:13:00;HYDROTOR;HDR (HYDROTOR);11;9.5600;0.0000;0.00;200;1912.00
2026-08-05;12:14:00;HYDROTOR;HDR (HYDROTOR);12;9.5600;0.0000;0.00;267;2552.52
2026-08-05;12:36:00;HYDROTOR;HDR (HYDROTOR);13;9.6600;0.0000;0.00;176;1700.16
2026-08-05;13:11:00;HYDROTOR;HDR (HYDROTOR);14;9.6600;0.0000;0.00;50;483.00
2026-08-05;13:48:00;HYDROTOR;HDR (HYDROTOR);15;9.6600;0.0000;0.00;130;1255.80
2026-08-05;14:01:00;HYDROTOR;HDR (HYDROTOR);16;9.6800;0.0000;0.00;140;1355.20
2026-08-05;14:04:00;HYDROTOR;HDR (HYDROTOR);17;9.7200;0.0000;0.00;51;495.72
2026-08-05;14:33:00;HYDROTOR;HDR (HYDROTOR);18;9.6600;-0.0200;-0.21;350;3382.20
2026-08-05;14:59:00;HYDROTOR;HDR (HYDROTOR);19;9.7800;0.0800;0.82;500;4859.16
2026-08-05;15:17:00;HYDROTOR;HDR (HYDROTOR);20;9.8200;0.0400;0.41;500;4897.96
2026-08-05;15:27:00;HYDROTOR;HDR (HYDROTOR);21;9.8200;0.0000;0.00;200;1964.00
2026-08-05;16:03:00;HYDROTOR;HDR (HYDROTOR);22;9.8200;0.0000;0.00;1;9.82
2026-08-05;16:07:00;HYDROTOR;HDR (HYDROTOR);23;9.8200;0.0000;0.00;16;157.12
2026-08-05;16:37:00;HYDROTOR;HDR (HYDROTOR);24;9.8200;0.0200;0.20;507;4974.74
