Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;ICE;ICE (MEDINICE);1;77.9000;0.2000;0.26;176;13675.80
2026-07-15;09:03:00;ICE;ICE (MEDINICE);2;77.9000;0.0000;0.00;3;233.70
2026-07-15;09:06:00;ICE;ICE (MEDINICE);3;76.1000;-1.5000;-1.93;110;8419.10
2026-07-15;09:07:00;ICE;ICE (MEDINICE);4;77.6000;0.0000;0.00;2;155.20
2026-07-15;09:12:00;ICE;ICE (MEDINICE);5;77.5000;0.0000;0.00;1;77.50
2026-07-15;09:16:00;ICE;ICE (MEDINICE);6;77.1000;0.0000;0.00;1;77.10
2026-07-15;09:18:00;ICE;ICE (MEDINICE);7;76.6000;-0.2000;-0.26;9;690.20
2026-07-15;09:19:00;ICE;ICE (MEDINICE);8;76.0000;-0.5000;-0.65;444;33771.40
2026-07-15;09:20:00;ICE;ICE (MEDINICE);9;76.6000;0.0000;0.00;3;229.80
2026-07-15;09:23:00;ICE;ICE (MEDINICE);10;76.8000;0.2000;0.26;100;7676.50
2026-07-15;09:24:00;ICE;ICE (MEDINICE);11;76.7000;0.1000;0.13;7;536.30
2026-07-15;09:25:00;ICE;ICE (MEDINICE);12;76.6000;-0.1000;-0.13;101;7746.60
2026-07-15;09:27:00;ICE;ICE (MEDINICE);13;76.7000;0.0000;0.00;57;4371.90
2026-07-15;09:30:00;ICE;ICE (MEDINICE);14;77.0000;0.1000;0.13;100;7697.80
2026-07-15;09:31:00;ICE;ICE (MEDINICE);15;77.4000;0.4000;0.52;122;9407.60
2026-07-15;09:33:00;ICE;ICE (MEDINICE);16;77.5000;0.0000;0.00;1;77.50
2026-07-15;09:37:00;ICE;ICE (MEDINICE);17;77.3000;-0.2000;-0.26;146;11291.60
2026-07-15;09:40:00;ICE;ICE (MEDINICE);18;77.5000;0.2000;0.26;142;10990.70
2026-07-15;09:41:00;ICE;ICE (MEDINICE);19;77.3000;0.0000;0.00;30;2319.00
2026-07-15;09:43:00;ICE;ICE (MEDINICE);20;77.2000;0.0000;0.00;10;772.00
2026-07-15;09:45:00;ICE;ICE (MEDINICE);21;76.8000;-0.4000;-0.52;751;57902.60
2026-07-15;09:48:00;ICE;ICE (MEDINICE);22;76.8000;0.0000;0.00;3;230.40
2026-07-15;09:49:00;ICE;ICE (MEDINICE);23;76.8000;0.0000;0.00;42;3225.60
2026-07-15;09:52:00;ICE;ICE (MEDINICE);24;76.5000;-0.2000;-0.26;424;32472.80
2026-07-15;09:53:00;ICE;ICE (MEDINICE);25;77.0000;0.0000;0.00;4;308.00
2026-07-15;09:54:00;ICE;ICE (MEDINICE);26;76.6000;0.0000;0.00;3;229.80
2026-07-15;09:58:00;ICE;ICE (MEDINICE);27;77.1000;0.5000;0.65;21;1613.20
2026-07-15;10:00:00;ICE;ICE (MEDINICE);28;76.8000;0.1000;0.13;21;1612.20
2026-07-15;10:11:00;ICE;ICE (MEDINICE);29;76.8000;0.5000;0.66;29;2215.20
2026-07-15;10:12:00;ICE;ICE (MEDINICE);30;76.7000;0.1000;0.13;20;1533.70
2026-07-15;10:18:00;ICE;ICE (MEDINICE);31;76.1000;-0.4000;-0.52;118;8982.10
2026-07-15;10:21:00;ICE;ICE (MEDINICE);32;76.7000;0.0000;0.00;27;2070.90
2026-07-15;10:22:00;ICE;ICE (MEDINICE);33;77.0000;0.0000;0.00;10;770.00
2026-07-15;10:27:00;ICE;ICE (MEDINICE);34;77.0000;0.0000;0.00;25;1925.00
2026-07-15;10:29:00;ICE;ICE (MEDINICE);35;77.1000;0.1000;0.13;400;30832.40
2026-07-15;10:30:00;ICE;ICE (MEDINICE);36;77.2000;0.0000;0.00;29;2238.80
2026-07-15;10:32:00;ICE;ICE (MEDINICE);37;77.2000;0.0000;0.00;5;386.00
2026-07-15;10:35:00;ICE;ICE (MEDINICE);38;77.5000;0.0000;0.00;4;310.00
2026-07-15;10:36:00;ICE;ICE (MEDINICE);39;77.5000;0.0000;0.00;21;1627.50
2026-07-15;10:37:00;ICE;ICE (MEDINICE);40;77.2000;0.0000;0.00;8;617.60
2026-07-15;10:42:00;ICE;ICE (MEDINICE);41;77.1000;-0.1000;-0.13;417;32152.10
