Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-24;09:00:00;IFI;IFI (IFIRMA);1;24.4000;0.0000;0.00;108;2635.20
2026-08-24;09:03:00;IFI;IFI (IFIRMA);2;24.6500;0.2500;1.02;21;514.90
2026-08-24;09:04:00;IFI;IFI (IFIRMA);3;24.6500;0.0000;0.00;1;24.65
2026-08-24;09:13:00;IFI;IFI (IFIRMA);4;24.6500;0.0000;0.00;4;98.60
2026-08-24;09:21:00;IFI;IFI (IFIRMA);5;24.6500;0.0000;0.00;7;172.55
2026-08-24;09:26:00;IFI;IFI (IFIRMA);6;24.5000;0.0000;0.00;2;49.00
2026-08-24;09:35:00;IFI;IFI (IFIRMA);7;24.5000;0.0000;0.00;1;24.50
2026-08-24;09:41:00;IFI;IFI (IFIRMA);8;24.7500;0.2500;1.02;100;2466.40
2026-08-24;09:52:00;IFI;IFI (IFIRMA);9;24.7500;0.0000;0.00;1;24.75
2026-08-24;09:56:00;IFI;IFI (IFIRMA);10;24.7500;0.0000;0.00;61;1509.75
2026-08-24;10:05:00;IFI;IFI (IFIRMA);11;24.7500;0.0000;0.00;2;49.50
2026-08-24;10:12:00;IFI;IFI (IFIRMA);12;24.3500;-0.1500;-0.61;20;488.30
2026-08-24;10:13:00;IFI;IFI (IFIRMA);13;24.7500;0.1500;0.61;16;394.75
2026-08-24;10:14:00;IFI;IFI (IFIRMA);14;24.5000;0.0000;0.00;5;122.50
2026-08-24;10:51:00;IFI;IFI (IFIRMA);15;24.5000;0.0000;0.00;25;612.50
2026-08-24;10:59:00;IFI;IFI (IFIRMA);16;24.7500;0.0500;0.20;20;494.15
2026-08-24;11:13:00;IFI;IFI (IFIRMA);17;24.7500;0.0000;0.00;20;495.00
2026-08-24;11:21:00;IFI;IFI (IFIRMA);18;24.5000;0.0000;0.00;45;1102.50
2026-08-24;11:35:00;IFI;IFI (IFIRMA);19;24.7500;0.0000;0.00;55;1361.25
2026-08-24;11:41:00;IFI;IFI (IFIRMA);20;24.7500;0.0000;0.00;16;396.00
2026-08-24;11:42:00;IFI;IFI (IFIRMA);21;24.8000;0.0000;0.00;204;5059.20
2026-08-24;11:44:00;IFI;IFI (IFIRMA);22;24.7500;0.0000;0.00;30;742.50
2026-08-24;11:48:00;IFI;IFI (IFIRMA);23;24.7500;0.0000;0.00;38;940.50
2026-08-24;12:26:00;IFI;IFI (IFIRMA);24;24.5000;0.0000;0.00;14;343.00
2026-08-24;13:02:00;IFI;IFI (IFIRMA);25;24.8000;0.0500;0.20;52;1287.10
2026-08-24;13:32:00;IFI;IFI (IFIRMA);26;24.8000;0.0000;0.00;60;1488.00
2026-08-24;13:33:00;IFI;IFI (IFIRMA);27;24.5000;0.0000;0.00;21;514.50
2026-08-24;14:23:00;IFI;IFI (IFIRMA);28;24.6000;0.0000;0.00;19;467.40
2026-08-24;14:45:00;IFI;IFI (IFIRMA);29;24.6000;0.0000;0.00;7;172.20
2026-08-24;14:46:00;IFI;IFI (IFIRMA);30;24.6000;0.0000;0.00;1;24.60
2026-08-24;14:47:00;IFI;IFI (IFIRMA);31;24.6000;0.0000;0.00;1;24.60
2026-08-24;14:48:00;IFI;IFI (IFIRMA);32;24.6000;0.0000;0.00;10;246.00
2026-08-24;14:49:00;IFI;IFI (IFIRMA);33;24.6000;0.0000;0.00;1;24.60
2026-08-24;14:50:00;IFI;IFI (IFIRMA);34;24.6000;0.0000;0.00;17;418.20
2026-08-24;14:52:00;IFI;IFI (IFIRMA);35;24.6000;0.0000;0.00;3;73.80
2026-08-24;14:53:00;IFI;IFI (IFIRMA);36;24.6000;0.0000;0.00;2;49.20
2026-08-24;15:10:00;IFI;IFI (IFIRMA);37;24.5000;-0.1000;-0.41;10;245.30
2026-08-24;16:08:00;IFI;IFI (IFIRMA);38;24.5500;0.0000;0.00;2;49.10
2026-08-24;16:11:00;IFI;IFI (IFIRMA);39;24.8000;0.0500;0.20;70;1735.90
2026-08-24;16:13:00;IFI;IFI (IFIRMA);40;24.8000;0.0000;0.00;12;297.60
2026-08-24;16:32:00;IFI;IFI (IFIRMA);41;24.5000;-0.1000;-0.41;18;441.35
2026-08-24;16:45:00;IFI;IFI (IFIRMA);42;24.5500;-0.0500;-0.20;3;73.70
