Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-11;09:26:00;IFR;IFR (IFSA);1;0.1090;-0.0030;-2.68;60278;6587.67
2026-09-11;10:45:00;IFR;IFR (IFSA);2;0.1150;0.0000;0.00;3650;419.75
2026-09-11;11:53:00;IFR;IFR (IFSA);3;0.1090;-0.0010;-0.91;33000;3617.00
2026-09-11;12:19:00;IFR;IFR (IFSA);4;0.1150;0.0000;0.00;18;2.07
2026-09-11;12:44:00;IFR;IFR (IFSA);5;0.1040;0.0000;0.00;1886;196.14
2026-09-11;13:06:00;IFR;IFR (IFSA);6;0.1040;0.0000;0.00;59468;6184.68
2026-09-11;13:07:00;IFR;IFR (IFSA);7;0.1040;0.0000;0.00;532;55.33
2026-09-11;13:08:00;IFR;IFR (IFSA);8;0.1150;0.0000;0.00;1868;214.82
2026-09-11;13:09:00;IFR;IFR (IFSA);9;0.1000;0.0000;0.00;107907;10790.70
2026-09-11;13:10:00;IFR;IFR (IFSA);10;0.1000;0.0000;0.00;19;1.90
2026-09-11;13:11:00;IFR;IFR (IFSA);11;0.1000;0.0000;0.00;3796;379.60
2026-09-11;13:12:00;IFR;IFR (IFSA);12;0.1140;0.0000;0.00;204;23.26
2026-09-11;13:50:00;IFR;IFR (IFSA);13;0.1020;0.0000;0.00;10000;1020.00
2026-09-11;13:51:00;IFR;IFR (IFSA);14;0.1100;0.0000;0.00;10000;1100.00
2026-09-11;13:52:00;IFR;IFR (IFSA);15;0.1140;0.0000;0.00;10000;1140.00
2026-09-11;14:19:00;IFR;IFR (IFSA);16;0.1120;0.0000;0.00;12000;1344.00
2026-09-11;14:30:00;IFR;IFR (IFSA);17;0.1100;0.0070;6.80;5096;559.89
2026-09-11;14:56:00;IFR;IFR (IFSA);18;0.1030;0.0000;0.00;100;10.30
2026-09-11;15:07:00;IFR;IFR (IFSA);19;0.1100;0.0000;0.00;500;55.00
2026-09-11;15:08:00;IFR;IFR (IFSA);20;0.1030;0.0000;0.00;100;10.30
2026-09-11;15:26:00;IFR;IFR (IFSA);21;0.1040;0.0000;0.00;100;10.40
2026-09-11;15:30:00;IFR;IFR (IFSA);22;0.1050;0.0000;0.00;18;1.89
2026-09-11;15:39:00;IFR;IFR (IFSA);23;0.1100;0.0000;0.00;4404;484.44
2026-09-11;15:40:00;IFR;IFR (IFSA);24;0.1120;0.0000;0.00;5596;626.75
2026-09-11;16:14:00;IFR;IFR (IFSA);25;0.1100;0.0000;0.00;14900;1639.00
2026-09-11;16:15:00;IFR;IFR (IFSA);26;0.1110;0.0010;0.91;500;55.40
