Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-18;09:00:00;IMS;IMS;1;2.4200;0.0000;0.00;373;904.52
2026-08-18;09:02:00;IMS;IMS;2;2.4300;0.0000;0.00;97;235.71
2026-08-18;09:03:00;IMS;IMS;3;2.4300;0.0000;0.00;275;668.25
2026-08-18;09:51:00;IMS;IMS;4;2.4900;0.0300;1.22;1000;2476.23
2026-08-18;09:56:00;IMS;IMS;5;2.4900;0.0000;0.00;20;49.80
2026-08-18;10:55:00;IMS;IMS;6;2.4900;0.0000;0.00;75;186.75
2026-08-18;11:03:00;IMS;IMS;7;2.4300;0.0000;0.00;2;4.87
2026-08-18;11:16:00;IMS;IMS;8;2.4300;0.0000;0.00;20;48.70
2026-08-18;12:54:00;IMS;IMS;9;2.4800;0.0000;0.00;10;24.80
2026-08-18;12:56:00;IMS;IMS;10;2.4800;0.0000;0.00;350;868.00
2026-08-18;13:22:00;IMS;IMS;11;2.4300;0.0000;0.00;50;121.50
2026-08-18;15:05:00;IMS;IMS;12;2.4300;0.0000;0.00;650;1579.50
2026-08-18;15:06:00;IMS;IMS;13;2.4200;0.0000;0.00;427;1035.47
2026-08-18;15:09:00;IMS;IMS;14;2.4200;0.0000;0.00;5;12.12
2026-08-18;15:54:00;IMS;IMS;15;2.4100;0.0000;0.00;22;53.13
2026-08-18;16:25:00;IMS;IMS;16;2.4100;0.0000;0.00;403;973.25
2026-08-18;16:31:00;IMS;IMS;17;2.4100;0.0000;0.00;598;1444.17
2026-08-18;17:00:00;IMS;IMS;18;2.4200;0.0000;0.00;3200;7760.00
