Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-07;09:00:00;INC;INC;1;1.3700;0.0000;0.00;11000;15070.00
2026-09-07;09:02:00;INC;INC;2;1.3500;-0.0200;-1.46;10000;13575.15
2026-09-07;09:07:00;INC;INC;3;1.3500;-0.0100;-0.74;10000;13503.00
2026-09-07;09:08:00;INC;INC;4;1.3500;0.0000;0.00;18457;24916.95
2026-09-07;09:12:00;INC;INC;5;1.4000;0.0000;0.00;178;249.20
2026-09-07;09:39:00;INC;INC;6;1.3950;0.0000;0.00;163;227.38
2026-09-07;09:53:00;INC;INC;7;1.3550;-0.0150;-1.09;3020;4104.63
2026-09-07;10:02:00;INC;INC;8;1.3950;0.0000;0.00;4;5.58
2026-09-07;11:03:00;INC;INC;9;1.3700;0.0000;0.00;1;1.37
2026-09-07;11:16:00;INC;INC;10;1.3600;0.0000;0.00;2310;3141.60
2026-09-07;11:23:00;INC;INC;11;1.3600;0.0000;0.00;1249;1698.64
2026-09-07;12:50:00;INC;INC;12;1.3950;0.0100;0.72;722;1001.19
