Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-22;09:00:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);1;31.8000;0.6000;1.92;584;18317.70
2026-07-22;09:02:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);2;31.8000;0.0000;0.00;2;63.60
2026-07-22;09:27:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);3;31.8000;0.0000;0.00;5;159.00
2026-07-22;09:33:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);4;31.8000;0.0500;0.16;3;95.30
2026-07-22;09:35:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);5;31.8000;0.0500;0.16;3;95.30
2026-07-22;09:44:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);6;31.8000;0.0000;0.00;4;127.20
2026-07-22;10:09:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);7;31.2000;0.0000;0.00;56;1747.20
2026-07-22;10:15:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);8;31.7000;0.0000;0.00;3;95.10
2026-07-22;10:18:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);9;31.7000;0.0000;0.00;35;1109.50
2026-07-22;10:54:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);10;31.7000;0.0500;0.16;2;63.35
2026-07-22;11:21:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);11;31.0000;0.0000;0.00;2;62.00
2026-07-22;12:04:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);12;31.7000;0.0500;0.16;3;95.00
2026-07-22;15:54:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);13;30.9500;-0.0500;-0.16;11;340.60
2026-07-22;16:00:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);14;30.5500;0.0000;0.00;3;91.65
2026-07-22;16:01:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);15;30.5500;0.0000;0.00;3;91.65
2026-07-22;16:03:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);16;30.5500;0.0000;0.00;4;122.20
2026-07-22;16:05:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);17;30.5500;0.0000;0.00;45;1374.75
2026-07-22;16:06:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);18;30.5500;0.0000;0.00;5;152.75
2026-07-22;16:09:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);19;30.5500;0.0000;0.00;30;916.50
2026-07-22;16:14:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);20;31.2500;0.6500;2.12;358;10961.30
2026-07-22;16:30:00;INDUSTRIAL-MILK-COMPANY;IMC (IMCOMPANY);21;31.2500;0.0000;0.00;8;250.00
