Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-21;09:00:00;INPRO;INP (INPRO);1;7.6500;0.0000;0.00;666;5094.90
2026-07-21;09:30:00;INPRO;INP (INPRO);2;7.6500;0.0000;0.00;2;15.30
2026-07-21;10:34:00;INPRO;INP (INPRO);3;7.6000;0.0000;0.00;10;76.00
2026-07-21;12:04:00;INPRO;INP (INPRO);4;7.6500;0.0000;0.00;16;122.40
2026-07-21;12:06:00;INPRO;INP (INPRO);5;7.6500;0.0000;0.00;26;198.90
2026-07-21;12:10:00;INPRO;INP (INPRO);6;7.6000;0.0000;0.00;6;45.60
2026-07-21;12:36:00;INPRO;INP (INPRO);7;7.6500;0.0000;0.00;40;306.00
2026-07-21;12:46:00;INPRO;INP (INPRO);8;7.6500;0.0000;0.00;30;229.50
2026-07-21;12:47:00;INPRO;INP (INPRO);9;7.6500;0.0000;0.00;10;76.50
2026-07-21;13:30:00;INPRO;INP (INPRO);10;7.6500;0.0000;0.00;18;137.70
2026-07-21;14:33:00;INPRO;INP (INPRO);11;7.6500;0.0000;0.00;500;3825.00
2026-07-21;15:21:00;INPRO;INP (INPRO);12;7.6500;0.0000;0.00;65;497.25
2026-07-21;16:06:00;INPRO;INP (INPRO);13;7.6500;0.0000;0.00;234;1790.10
2026-07-21;16:20:00;INPRO;INP (INPRO);14;7.6500;0.0000;0.00;3;22.95
